year	pop/1000 births
1935	127362	2377000
1936	128181	2355000
1937	128961	2413000
1938	129969	2496000
1939	131028	2466000
1940	132165	2559000
1941	133002	2703000
1942	134464	2989000
1943	136003	3104000
1944	138083	2939000
1945	139994	2858000
1946	140008	3411000
1947	145023	3817000
1948	148013	3637000
1949	149336	3649000
1950	151861	3632000
1951	154056	3823000
1952	156431	3913000
1953	159047	3965000
1954	161948	4078000
1955	163476	4097000
1956	166578	4218000
1957	169637	4308000
1958	172668	4255000
1959	175642	4244796
1960	179979	4257850
1961	182992	4268326
1962	185771	4167362
1963	188483	4098020
1964	191141	4027490
1965	193526	3760358
1966	195576	3606274
1967	197457	3520959
1968	199399	3501564
1969	201385	3600206
1970	203984	3731386
1971	206827	3555970
1972	209284	3258411
1973	211357	3136965
1974	213342	3159958
1975	215465	3144198
1976	217563	3167788
1977	219760	3326632
1978	222095	3333279
1979	224567	3494398
1980	227225	3612258
1981	229466	3629238
1982	231664	3680537
1983	233792	3638933
1984	235825	3669141
1985	237924	3760561
1986	240133	3756547
1987	242289	3809394
1988	244499	3909510
1989	246819	4040958
1990	249623	4158212
1991	252981	4110907
1992	256514	4065014
1993	259919	4000240
1994	263126	3952767
1995	266278	3899589
1996	269394	3891494
1997	272647	3880894
1998	275854	3941553
1999	279040	3959417
2000	282172	4058814
2001	285082	4025933
2002	287804	4021726
2003	290326	4089950
2004	293046	4112052
2005	295753	4138349
2006	298593	4265555
2007	301580	4316233
2008	304375	4247694
2009	307007	4130665
2010	309330	3999386
2011	311583	3953593
2012	313874	3952937
2013	316129	3932181
