Age	Male	Year	Deaths	Population	Rate
35	0	1999	553	321720	171.9
35	0	2000	518	320639	161.6
35	0	2001	557	298842	186.4
35	0	2002	502	285907	175.6
35	0	2003	525	286649	183.2
35	0	2004	471	285402	165.0
35	0	2005	452	310270	145.7
35	0	2006	487	311364	156.4
35	0	2007	461	298332	154.5
35	0	2008	412	289371	142.4
35	0	2009	380	279811	135.8
35	0	2010	390	288076	135.4
35	0	2011	384	282037	136.2
35	0	2012	436	294638	148.0
35	0	2013	407	297739	136.7
35	1	1999	894	287876	310.6
35	1	2000	827	286790	288.4
35	1	2001	864	267460	323.0
35	1	2002	882	253390	348.1
35	1	2003	786	254947	308.3
35	1	2004	766	255368	300.0
35	1	2005	722	278354	259.4
35	1	2006	803	274966	292.0
35	1	2007	719	266020	270.3
35	1	2008	648	258233	250.9
35	1	2009	626	249132	251.3
35	1	2010	574	258095	222.4
35	1	2011	589	251767	233.9
35	1	2012	645	262981	245.3
35	1	2013	716	268759	266.4
36	0	1999	621	312134	199.0
36	0	2000	610	312746	195.0
36	0	2001	624	318314	196.0
36	0	2002	555	299624	185.2
36	0	2003	570	286450	199.0
36	0	2004	482	287387	167.7
36	0	2005	477	286108	166.7
36	0	2006	520	311062	167.2
36	0	2007	488	311933	156.4
36	0	2008	455	298949	152.2
36	0	2009	414	289922	142.8
36	0	2010	411	279943	146.8
36	0	2011	440	289280	152.1
36	0	2012	409	282922	144.6
36	0	2013	412	295207	139.6
36	1	1999	965	276331	349.2
36	1	2000	980	276858	354.0
36	1	2001	894	284532	314.2
36	1	2002	944	267131	353.4
36	1	2003	826	252336	327.3
36	1	2004	762	254895	298.9
36	1	2005	767	254801	301.0
36	1	2006	824	277851	296.6
36	1	2007	796	274071	290.4
36	1	2008	670	265239	252.6
36	1	2009	675	257224	262.4
36	1	2010	635	246765	257.3
36	1	2011	600	258642	232.0
36	1	2012	649	252703	256.8
36	1	2013	691	263738	262.0
37	0	1999	697	313010	222.7
37	0	2000	703	310053	226.7
37	0	2001	632	316571	199.6
37	0	2002	634	318908	198.8
37	0	2003	631	299992	210.3
37	0	2004	574	286911	200.1
37	0	2005	559	287788	194.2
37	0	2006	504	286508	175.9
37	0	2007	497	311261	159.7
37	0	2008	492	312090	157.6
37	0	2009	487	298994	162.9
37	0	2010	458	292639	156.5
37	0	2011	451	280676	160.7
37	0	2012	390	289928	134.5
37	0	2013	435	283377	153.5
37	1	1999	1039	276879	375.3
37	1	2000	965	275594	350.2
37	1	2001	1051	279956	375.4
37	1	2002	955	283953	336.3
37	1	2003	886	265915	333.2
37	1	2004	867	251987	344.1
37	1	2005	849	253956	334.3
37	1	2006	809	254071	318.4
37	1	2007	872	276460	315.4
37	1	2008	827	272669	303.3
37	1	2009	760	263734	288.2
37	1	2010	673	258558	260.3
37	1	2011	693	248303	279.1
37	1	2012	680	259202	262.3
37	1	2013	662	253136	261.5
38	0	1999	792	302978	261.4
38	0	2000	693	308251	224.8
38	0	2001	754	311724	241.9
38	0	2002	724	316937	228.4
38	0	2003	699	319116	219.0
38	0	2004	621	300387	206.7
38	0	2005	598	287282	208.2
38	0	2006	592	288205	205.4
38	0	2007	580	286812	202.2
38	0	2008	532	311532	170.8
38	0	2009	548	312373	175.4
38	0	2010	518	299862	172.7
38	0	2011	514	289456	177.6
38	0	2012	486	281121	172.9
38	0	2013	461	290276	158.8
38	1	1999	1090	264840	411.6
38	1	2000	1105	271188	407.5
38	1	2001	1060	275302	385.0
38	1	2002	1105	279734	395.0
38	1	2003	1034	283600	364.6
38	1	2004	876	266849	328.3
38	1	2005	932	252667	368.9
38	1	2006	890	255169	348.8
38	1	2007	820	255289	321.2
38	1	2008	812	277964	292.1
38	1	2009	787	274449	286.8
38	1	2010	762	266229	286.2
38	1	2011	697	255574	272.7
38	1	2012	692	248735	278.2
38	1	2013	689	259487	265.5
39	0	1999	829	314568	263.5
39	0	2000	813	311990	260.6
39	0	2001	796	308968	257.6
39	0	2002	816	312112	261.4
39	0	2003	778	317242	245.2
39	0	2004	688	319712	215.2
39	0	2005	715	300915	237.6
39	0	2006	669	287887	232.4
39	0	2007	658	288752	227.9
39	0	2008	589	287380	205.0
39	0	2009	571	312156	182.9
39	0	2010	593	315830	187.8
39	0	2011	505	299052	168.9
39	0	2012	529	289831	182.5
39	0	2013	464	281510	164.8
39	1	1999	1183	281129	420.8
39	1	2000	1138	276466	411.6
39	1	2001	1153	273377	421.8
39	1	2002	1110	275227	403.3
39	1	2003	1088	279451	389.3
39	1	2004	991	284772	348.0
39	1	2005	977	267878	364.7
39	1	2006	942	254080	370.7
39	1	2007	940	256610	366.3
39	1	2008	814	256951	316.8
39	1	2009	881	279940	314.7
39	1	2010	796	278259	286.1
39	1	2011	744	265298	280.4
39	1	2012	720	255876	281.4
39	1	2013	765	248914	307.3
40	0	1999	839	319109	262.9
40	0	2000	882	321452	274.4
40	0	2001	911	310413	293.5
40	0	2002	814	309003	263.4
40	0	2003	892	312002	285.9
40	0	2004	886	317230	279.3
40	0	2005	765	319644	239.3
40	0	2006	680	300944	226.0
40	0	2007	663	287833	230.3
40	0	2008	673	288584	233.2
40	0	2009	631	287135	219.8
40	0	2010	566	309518	182.9
40	0	2011	598	313418	190.8
40	0	2012	606	299351	202.4
40	0	2013	577	290172	198.8
40	1	1999	1265	282243	448.2
40	1	2000	1296	287181	451.3
40	1	2001	1178	273309	431.0
40	1	2002	1164	273239	426.0
40	1	2003	1090	274832	396.6
40	1	2004	1075	280103	383.8
40	1	2005	1087	285315	381.0
40	1	2006	1044	268779	388.4
40	1	2007	916	254838	359.4
40	1	2008	853	257373	331.4
40	1	2009	875	257800	339.4
40	1	2010	794	280347	283.2
40	1	2011	884	276223	320.0
40	1	2012	825	265554	310.7
40	1	2013	850	256037	332.0
41	0	1999	941	293446	320.7
41	0	2000	947	298736	317.0
41	0	2001	952	322134	295.5
41	0	2002	972	310955	312.6
41	0	2003	922	309784	297.6
41	0	2004	876	313210	279.7
41	0	2005	873	318667	274.0
41	0	2006	832	321515	258.8
41	0	2007	720	302948	237.7
41	0	2008	723	290028	249.3
41	0	2009	659	291015	226.4
41	0	2010	627	287077	218.4
41	0	2011	639	310606	205.7
41	0	2012	637	313645	203.1
41	0	2013	610	299602	203.6
41	1	1999	1372	259951	527.8
41	1	2000	1351	263090	513.5
41	1	2001	1370	287192	477.0
41	1	2002	1283	273333	469.4
41	1	2003	1282	273154	469.3
41	1	2004	1187	275659	430.6
41	1	2005	1132	280967	402.9
41	1	2006	1157	286853	403.3
41	1	2007	1046	270300	387.0
41	1	2008	900	256384	351.0
41	1	2009	926	259045	357.5
41	1	2010	853	257448	331.3
41	1	2011	824	279600	294.7
41	1	2012	924	276352	334.4
41	1	2013	825	265478	310.8
42	0	1999	1013	296917	341.2
42	0	2000	954	298820	319.3
42	0	2001	1031	303697	339.5
42	0	2002	1001	322146	310.7
42	0	2003	997	310835	320.7
42	0	2004	972	309762	313.8
42	0	2005	939	313142	299.9
42	0	2006	955	318615	299.7
42	0	2007	838	321493	260.7
42	0	2008	819	302919	270.4
42	0	2009	771	289903	266.0
42	0	2010	744	291148	255.5
42	0	2011	714	288707	247.3
42	0	2012	671	310627	216.0
42	0	2013	697	313473	222.3
42	1	1999	1503	262654	572.2
42	1	2000	1417	266008	532.7
42	1	2001	1398	268165	521.3
42	1	2002	1406	287385	489.2
42	1	2003	1427	273352	522.0
42	1	2004	1274	274115	464.8
42	1	2005	1249	276683	451.4
42	1	2006	1300	282613	460.0
42	1	2007	1186	288632	410.9
42	1	2008	1103	272225	405.2
42	1	2009	1018	258396	394.0
42	1	2010	932	260305	358.0
42	1	2011	880	258890	339.9
42	1	2012	885	279621	316.5
42	1	2013	976	275968	353.7
43	0	1999	1073	282575	379.7
43	0	2000	1107	290823	380.6
43	0	2001	1130	297663	379.6
43	0	2002	1159	304251	380.9
43	0	2003	1035	323000	320.4
43	0	2004	1105	311972	354.2
43	0	2005	1080	311141	347.1
43	0	2006	1062	314893	337.3
43	0	2007	942	320711	293.7
43	0	2008	900	323842	277.9
43	0	2009	816	305390	267.2
43	0	2010	753	293309	256.7
43	0	2011	758	290628	260.8
43	0	2012	709	288648	245.6
43	0	2013	756	310435	243.5
43	1	1999	1574	245732	640.5
43	1	2000	1557	255007	610.6
43	1	2001	1541	264146	583.4
43	1	2002	1440	268136	537.0
43	1	2003	1568	287170	546.0
43	1	2004	1412	273737	515.8
43	1	2005	1374	274469	500.6
43	1	2006	1330	277353	479.5
43	1	2007	1329	283227	469.2
43	1	2008	1151	289385	397.7
43	1	2009	1115	272957	408.5
43	1	2010	977	260367	375.2
43	1	2011	1030	260008	396.1
43	1	2012	958	258788	370.2
43	1	2013	993	279161	355.7
44	0	1999	1116	276072	404.2
44	0	2000	1079	281119	383.8
44	0	2001	1165	294296	395.9
44	0	2002	1209	296484	407.8
44	0	2003	1191	302428	393.8
44	0	2004	1099	320680	342.7
44	0	2005	1102	309098	356.5
44	0	2006	1108	307811	360.0
44	0	2007	1037	310933	333.5
44	0	2008	995	316153	314.7
44	0	2009	924	318634	290.0
44	0	2010	841	304183	276.5
44	0	2011	824	291046	283.1
44	0	2012	801	290489	275.7
44	0	2013	726	288473	251.7
44	1	1999	1682	240774	698.6
44	1	2000	1615	246505	655.2
44	1	2001	1626	258835	628.2
44	1	2002	1560	262949	593.3
44	1	2003	1557	266332	584.6
44	1	2004	1490	285271	522.3
44	1	2005	1537	271393	566.3
44	1	2006	1422	272013	522.8
44	1	2007	1482	274381	540.1
44	1	2008	1410	279748	504.0
44	1	2009	1289	285237	451.9
44	1	2010	1119	272681	410.4
44	1	2011	1021	257981	395.8
44	1	2012	1041	259834	400.6
44	1	2013	1047	258307	405.3
45	0	1999	1132	269864	419.5
45	0	2000	1244	280756	443.1
45	0	2001	1185	281156	421.5
