Age	Male	Year	Deaths	Population	Rate
35	0	1999	173	261276	66.2
35	0	2000	177	268145	66.0
35	0	2001	188	267665	70.2
35	0	2002	182	272022	66.9
35	0	2003	205	284838	72.0
35	0	2004	171	293422	58.3
35	0	2005	193	317697	60.7
35	0	2006	199	324469	61.3
35	0	2007	202	329511	61.3
35	0	2008	192	336197	57.1
35	0	2009	204	340146	60.0
35	0	2010	198	353811	56.0
35	0	2011	192	349849	54.9
35	0	2012	194	354426	54.7
35	0	2013	221	354422	62.4
35	1	1999	496	294997	168.1
35	1	2000	457	304379	150.1
35	1	2001	496	303090	163.6
35	1	2002	413	302651	136.5
35	1	2003	444	317776	139.7
35	1	2004	454	325709	139.4
35	1	2005	485	355032	136.6
35	1	2006	514	351518	146.2
35	1	2007	478	357048	133.9
35	1	2008	450	361298	124.6
35	1	2009	513	363979	140.9
35	1	2010	457	380221	120.2
35	1	2011	425	374857	113.4
35	1	2012	450	380357	118.3
35	1	2013	482	386921	124.6
36	0	1999	184	252196	73.0
36	0	2000	209	258208	80.9
36	0	2001	209	273033	76.5
36	0	2002	166	271701	61.1
36	0	2003	167	275669	60.6
36	0	2004	189	288218	65.6
36	0	2005	206	296963	69.4
36	0	2006	231	321339	71.9
36	0	2007	218	327665	66.5
36	0	2008	196	332517	58.9
36	0	2009	217	338791	64.1
36	0	2010	201	338631	59.4
36	0	2011	199	354543	56.1
36	0	2012	199	349690	56.9
36	0	2013	203	355114	57.2
36	1	1999	493	278137	177.3
36	1	2000	481	284665	169.0
36	1	2001	541	305430	177.1
36	1	2002	440	303199	145.1
36	1	2003	468	301556	155.2
36	1	2004	522	316680	164.8
36	1	2005	456	324665	140.5
36	1	2006	458	353602	129.5
36	1	2007	493	349279	141.1
36	1	2008	503	354550	141.9
36	1	2009	486	358187	135.7
36	1	2010	454	355221	127.8
36	1	2011	491	380545	129.0
36	1	2012	446	374124	119.2
36	1	2013	496	380663	130.3
37	0	1999	188	236916	79.4
37	0	2000	222	250178	88.7
37	0	2001	228	266053	85.7
37	0	2002	230	276526	83.2
37	0	2003	229	274814	83.3
37	0	2004	202	278419	72.6
37	0	2005	199	290993	68.4
37	0	2006	200	299731	66.7
37	0	2007	215	323589	66.4
37	0	2008	237	329679	71.9
37	0	2009	218	334008	65.3
37	0	2010	209	340208	61.4
37	0	2011	227	343874	66.0
37	0	2012	209	354255	59.0
37	0	2013	246	350221	70.2
37	1	1999	490	257515	190.3
37	1	2000	537	272766	196.9
37	1	2001	557	290636	191.6
37	1	2002	507	304879	166.3
37	1	2003	534	301473	177.1
37	1	2004	508	299969	169.4
37	1	2005	535	314783	170.0
37	1	2006	500	322574	155.0
37	1	2007	548	350309	156.4
37	1	2008	495	345922	143.1
37	1	2009	484	350395	138.1
37	1	2010	441	355436	124.1
37	1	2011	459	362963	126.5
37	1	2012	487	379757	128.2
37	1	2013	481	374353	128.5
38	0	1999	234	236034	99.1
38	0	2000	222	239622	92.6
38	0	2001	231	255293	90.5
38	0	2002	253	269937	93.7
38	0	2003	225	280334	80.3
38	0	2004	205	278584	73.6
38	0	2005	204	282546	72.2
38	0	2006	237	295484	80.2
38	0	2007	244	304160	80.2
38	0	2008	209	328292	63.7
