Age	Year	Deaths	Population	Rate
45	1999	8304	3166393	262.3
45	2000	8604	3207271	268.3
45	2001	8836	3152637	280.3
45	2002	9217	3256317	283.0
45	2003	9287	3260376	284.8
45	2004	9210	3211340	286.8
45	2005	9352	3279109	285.2
45	2006	9100	3222835	282.4
45	2007	8805	3137876	280.6
45	2008	8751	3074171	284.7
45	2009	8493	3036030	279.7
45	2010	7878	2992956	263.2
45	2011	7307	2705633	270.1
45	2012	6866	2636774	260.4
45	2013	6718	2576547	260.7
46	1999	8809	3007083	292.9
46	2000	9032	3057374	295.4
46	2001	9417	3187395	295.4
46	2002	9874	3146325	313.8
46	2003	10069	3251902	309.6
46	2004	10083	3259602	309.3
46	2005	10060	3213100	313.1
46	2006	9923	3284351	302.1
46	2007	10007	3230773	309.7
46	2008	9687	3148101	307.7
46	2009	9532	3086394	308.8
46	2010	9220	3052103	302.1
46	2011	8614	2921714	294.8
46	2012	7883	2700655	291.9
46	2013	7621	2629559	289.8
47	1999	9135	2986252	305.9
47	2000	9676	3025064	319.9
47	2001	10160	3090759	328.7
47	2002	10388	3180255	326.6
47	2003	10605	3139918	337.7
47	2004	10782	3247694	332.0
47	2005	10684	3256810	328.1
47	2006	10825	3212288	337.0
47	2007	10573	3285300	321.8
47	2008	10785	3233011	333.6
47	2009	10521	3151371	333.9
47	2010	10134	3092498	327.7
47	2011	9901	3036748	326.0
47	2012	9301	2915120	319.1
47	2013	8710	2692087	323.5
48	1999	9461	2805975	337.2
48	2000	10149	2946150	344.5
48	2001	10512	3014952	348.7
48	2002	11026	3079461	358.0
48	2003	11262	3167433	355.6
48	2004	11282	3126881	360.8
48	2005	11603	3233329	358.9
48	2006	11750	3242020	362.4
48	2007	11460	3196857	358.5
48	2008	11564	3268770	353.8
48	2009	11507	3215655	357.8
48	2010	11035	3155839	349.7
48	2011	10846	3076517	352.5
48	2012	10534	3028553	347.8
48	2013	9962	2905293	342.9
49	1999	10265	2859406	359.0
49	2000	10544	2826535	373.0
49	2001	11226	2939711	381.9
49	2002	11539	3008351	383.6
49	2003	11930	3073970	388.1
49	2004	11906	3164386	376.2
49	2005	12410	3125276	397.1
49	2006	12446	3234204	384.8
49	2007	12297	3244860	379.0
49	2008	12672	3201428	395.8
49	2009	12428	3275212	379.5
49	2010	12469	3220748	387.1
49	2011	12353	3123245	395.5
49	2012	11680	3066877	380.8
49	2013	11604	3017592	384.5
50	1999	10808	2868751	376.7
50	2000	11254	2872642	391.8
50	2001	11433	2862088	399.5
50	2002	11996	2925363	410.1
50	2003	12498	2991058	417.8
50	2004	12725	3054462	416.6
50	2005	13115	3142036	417.4
50	2006	13307	3100862	429.1
50	2007	13411	3206844	418.2
50	2008	13734	3215142	427.2
50	2009	13445	3169493	424.2
50	2010	13446	3266961	411.6
50	2011	13633	3209689	424.7
50	2012	13080	3112270	420.3
50	2013	12896	3054810	422.2
51	1999	12032	2804957	429.0
51	2000	11809	2777109	425.2
51	2001	12089	2849382	424.3
51	2002	12627	2857824	441.8
51	2003	13081	2924026	447.4
51	2004	13312	2993658	444.7
51	2005	13791	3060766	450.6
51	2006	13982	3152546	443.5
51	2007	14247	3114872	457.4
51	2008	14704	3225363	455.9
51	2009	14838	3237545	458.3
51	2010	14287	3175593	449.9
51	2011	14465	3228449	448.0
51	2012	14597	3197205	456.6
51	2013	14444	3099157	466.1
52	1999	13760	3093631	444.8
52	2000	13261	2899231	457.4
52	2001	12975	2792840	464.6
52	2002	13166	2836582	464.2
52	2003	13425	2842984	472.2
52	2004	14018	2907257	482.2
52	2005	14817	2974797	498.1
52	2006	14974	3039993	492.6
52	2007	14857	3129615	474.7
52	2008	15368	3090363	497.3
52	2009	15983	3198300	499.7
52	2010	15684	3228923	485.7
52	2011	15771	3171730	497.2
52	2012	15646	3214963	486.7
52	2013	15736	3182745	494.4
53	1999	11711	2148382	545.1
53	2000	14921	2889238	516.4
53	2001	14352	2812905	510.2
53	2002	14370	2785118	516.0
53	2003	14094	2830433	497.9
53	2004	14562	2838630	513.0
53	2005	15174	2904535	522.4
53	2006	15542	2974095	522.6
53	2007	15875	3041217	522.0
53	2008	16193	3133065	516.8
53	2009	16616	3095670	536.7
53	2010	16504	3156464	522.9
53	2011	16890	3195140	528.6
53	2012	16652	3157425	527.4
53	2013	16851	3199178	526.7
54	1999	12523	2254975	555.3
54	2000	12714	2168570	586.3
54	2001	16086	3030862	530.7
54	2002	15609	2804956	556.5
54	2003	15581	2778432	560.8
54	2004	15157	2825480	536.4
54	2005	15663	2834842	552.5
54	2006	16120	2901996	555.5
54	2007	16366	2972923	550.5
54	2008	16965	3041667	557.8
54	2009	17377	3134965	554.3
54	2010	17377	3102717	560.1
54	2011	18056	3182088	567.4
54	2012	17903	3179596	563.1
54	2013	17989	3141010	572.7
