Age	Male	Year	Deaths	Population	Rate
35	0	1999	1291	1578829	81.8
35	0	2000	1264	1528463	82.7
35	0	2001	1186	1377466	86.1
35	0	2002	1194	1333639	89.5
35	0	2003	1166	1302188	89.5
35	0	2004	1166	1325435	88.0
35	0	2005	1201	1383427	86.8
35	0	2006	1197	1349975	88.7
35	0	2007	1147	1239648	92.5
35	0	2008	1098	1155005	95.1
35	0	2009	989	1118758	88.4
35	0	2010	1013	1150645	88.0
35	0	2011	1038	1104963	93.9
35	0	2012	1073	1144768	93.7
35	0	2013	1168	1157021	100.9
35	1	1999	2624	1601492	163.8
35	1	2000	2443	1545416	158.1
35	1	2001	2380	1388564	171.4
35	1	2002	2194	1343310	163.3
35	1	2003	2161	1315510	164.3
35	1	2004	2268	1344809	168.6
35	1	2005	2202	1410021	156.2
35	1	2006	2326	1364524	170.5
35	1	2007	2067	1257370	164.4
35	1	2008	1915	1166742	164.1
35	1	2009	1890	1134826	166.5
35	1	2010	1887	1171302	161.1
35	1	2011	1887	1118977	168.6
35	1	2012	1989	1160186	171.4
35	1	2013	2026	1173443	172.7
36	0	1999	1494	1587027	94.1
36	0	2000	1377	1559523	88.3
36	0	2001	1432	1496866	95.7
36	0	2002	1375	1377044	99.9
36	0	2003	1293	1332831	97.0
36	0	2004	1200	1301485	92.2
36	0	2005	1282	1324585	96.8
36	0	2006	1280	1382581	92.6
36	0	2007	1265	1348981	93.8
36	0	2008	1144	1238750	92.4
36	0	2009	1156	1153953	100.2
36	0	2010	1185	1113589	106.4
36	0	2011	1161	1147365	101.2
36	0	2012	1122	1105487	101.5
36	0	2013	1189	1144934	103.8
36	1	1999	2682	1584927	169.2
36	1	2000	2671	1558989	171.3
36	1	2001	2638	1511046	174.6
36	1	2002	2438	1385715	175.9
36	1	2003	2398	1338550	179.1
36	1	2004	2193	1313889	166.9
36	1	2005	2211	1340849	164.9
36	1	2006	2351	1406075	167.2
36	1	2007	2327	1359696	171.1
36	1	2008	2151	1252908	171.7
36	1	2009	2039	1161599	175.5
36	1	2010	1888	1124152	167.9
36	1	2011	1942	1165814	166.6
36	1	2012	2087	1119717	186.4
36	1	2013	2057	1159583	177.4
37	0	1999	1636	1624798	100.7
37	0	2000	1592	1576056	101.0
37	0	2001	1652	1554229	106.3
37	0	2002	1545	1494439	103.4
37	0	2003	1453	1373938	105.8
37	0	2004	1403	1329366	105.5
37	0	2005	1322	1297474	101.9
37	0	2006	1383	1320063	104.8
37	0	2007	1387	1377069	100.7
37	0	2008	1389	1343001	103.4
37	0	2009	1351	1232804	109.6
37	0	2010	1229	1164760	105.5
37	0	2011	1154	1118320	103.2
37	0	2012	1219	1147612	106.2
37	0	2013	1226	1105602	110.9
37	1	1999	3015	1630794	184.9
