Id,As,Lsg,Newstat,Oldstat,Func,Rel,Assn,Ed,Drink,Status,Howknow,Cucard,Survey,Change,Why,Time,Shift,Shtime,Fam,Knnosw,Nosw,Inc,Usenow,Nowsw,Comp,X,Y,Nearest,Distcw,Distpw,cw50,cw100,cw150,pw50,pw100,pw150
3,207,1,0,3,1,3,0,10,1,0,1,0,1,0,,,,,,,,,,,1,260873.783,2632848.81,20.967,170.123,20.967,0,0,0,1,1,3
43,280,1,0,2,1,1,0,0,23,0,2,0,0,0,,,,,,2,,,,,1,90.65025,23.78635,107.691,155.858,107.691,0,0,0,0,0,3
44,81,0,0,12,1,1,0,0,23,0,12,1,1,0,,,,,,2,,,,,1,90.65025,23.78635,107.691,155.858,107.691,0,0,0,0,0,3
46,192,0,0,12,1,2,3,0,23,0,2,0,2,0,,,,,,1,,,,,1,90.65025,23.78635,107.691,155.858,107.691,0,0,0,0,0,3
49,395,0,0,2,1,1,0,0,23,0,1,1,1,0,,,,,,2,,,,,1,90.65025,23.78635,107.691,155.858,107.691,0,0,0,0,0,3
58,252,1,0,0,1,3,1,5,23,2,,0,0,0,,,,,,,,,,2,1,260711.0916,2632906.718,3.618,131.977,3.618,0,0,1,1,1,7
63,51,0,0,13,1,1,0,0,23,0,12,1,1,0,,,,,,,,,,4,1,260277.4438,2632867.545,99.013,452.573,99.013,0,0,0,0,1,3
95,391,2,0,0,1,2,1,6,23,2,,1,1,0,,,,,,,,,,,1,255576.2243,2632335.665,11.147,149.681,11.147,0,0,0,3,9,29
98,100,2,0,3,1,1,0,0,23,1,2,1,1,0,,,,,0,,,,,,1,255530.911,2632248.892,69.131,232.986,69.131,0,0,0,0,3,8
107,285,0,0,2,1,1,0,0,23,0,12,1,1,0,,,,,,3,,,,,1,255462.5753,2632117.262,21.965,373.046,21.965,0,0,0,2,3,3
109,81,2,0,0,1,2,0,0,23,2,,1,1,0,,,,,,,,,,,1,255393.3571,2632034.032,91.007,433.504,91.007,0,0,0,0,1,1
125,157,2,0,3,1,2,0,8,23,1,2,1,1,0,,,,,,,,,,8,1,255931.4243,2632668.373,19.382,217.949,19.382,0,0,0,2,7,14
