"switch","arsenic","dist","dist100","assoc","educ","educ4"
1,2.36,16.826000213623,0.16826000213623,0,0,0
1,0.71,47.3219985961914,0.473219985961914,0,0,0
0,2.07,20.9669990539551,0.209669990539551,0,10,2.5
1,1.15,21.4860000610352,0.214860000610352,0,12,3
1,1.1,40.8740005493164,0.408740005493164,1,14,3.5
1,3.9,69.5179977416992,0.695179977416992,1,9,2.25
1,2.97,80.7109985351562,0.807109985351563,1,4,1
1,3.24,55.1459999084473,0.551459999084473,0,10,2.5
1,3.28,52.6469993591309,0.526469993591309,1,0,0
1,2.52,75.0719985961914,0.750719985961914,1,0,0
1,3.13,29.7740001678467,0.297740001678467,1,5,1.25
1,3.04,34.5040016174316,0.345040016174316,0,0,0
1,2.91,63.8040008544922,0.638040008544922,1,0,0
1,3.21,73.6039962768555,0.736039962768555,1,0,0
1,1.7,67.6549987792969,0.676549987792969,1,0,0
1,1.8,80.6600036621094,0.806600036621094,1,7,1.75
1,1.44,52.181999206543,0.52181999206543,0,7,1.75
1,1.43,52.181999206543,0.52181999206543,1,7,1.75
1,2.33,50.5340003967285,0.505340003967285,1,0,0
1,2.83,31.4220008850098,0.314220008850098,0,10,2.5
1,1.79,33.0089988708496,0.330089988708496,1,7,1.75
1,2.54,37.8709983825684,0.378709983825684,0,0,0
1,2.25,48.3730010986328,0.483730010986328,1,5,1.25
1,2.42,47.3089981079102,0.473089981079102,0,0,0
1,1.62,67.7850036621094,0.677850036621094,0,8,2
1,2.34,81.1380004882812,0.811380004882812,1,8,2
1,3.49,95.4599990844727,0.954599990844727,0,10,2.5
1,2.13,114.417999267578,1.14417999267578,0,16,4
1,0.93,157.628997802734,1.57628997802734,1,10,2.5
1,3.36,151.919998168945,1.51919998168945,1,10,2.5
1,1.49,107.69100189209,1.0769100189209,0,10,2.5
1,0.83,105.667999267578,1.05667999267578,0,10,2.5
1,1.37,105.625999450684,1.05625999450684,1,0,0
0,2.8,107.69100189209,1.0769100189209,0,0,0
0,0.81,107.69100189209,1.0769100189209,0,0,0
1,1.48,125.317001342773,1.25317001342773,1,3,0.75
0,1.92,107.69100189209,1.0769100189209,1,0,0
1,2.74,107.69100189209,1.0769100189209,0,10,2.5
1,2.49,107.69100189209,1.0769100189209,1,0,0
0,3.95,107.69100189209,1.0769100189209,0,0,0
1,2.75,107.69100189209,1.0769100189209,0,0,0
1,2.91,54.5699996948242,0.545699996948242,0,0,0
1,0.83,54.5699996948242,0.545699996948242,0,0,0
1,3.67,54.5699996948242,0.545699996948242,1,5,1.25
1,2.9,54.5699996948242,0.545699996948242,0,0,0
1,0.78,54.5699996948242,0.545699996948242,1,10,2.5
0,2.52,3.61800003051758,0.0361800003051758,1,5,1.25
1,2.48,58.1669998168945,0.581669998168945,0,0,0
1,4.47,72.3460006713867,0.723460006713867,0,8,2
1,1.52,40.318000793457,0.40318000793457,0,0,0
1,1.8,67.2190017700195,0.672190017700195,0,0,0
0,0.51,99.0130004882812,0.990130004882813,0,0,0
1,0.64,115.91300201416,1.1591300201416,1,0,0
1,1.01,71.7990036010742,0.717990036010742,1,5,1.25
1,0.74,141.535995483398,1.41535995483398,0,8,2
1,1.81,84.6460037231445,0.846460037231445,1,0,0
1,2.69,65.931999206543,0.65931999206543,0,0,0
1,4.85,67.9400024414062,0.679400024414063,1,0,0
1,3.18,64.697998046875,0.64697998046875,0,6,1.5
1,5.06,62.6349983215332,0.626349983215332,1,10,2.5
1,2.69,47.9090003967285,0.479090003967285,0,10,2.5
1,0.57,24.0030002593994,0.240030002593994,0,12,3
1,4.55,17.9820003509521,0.179820003509521,0,7,1.75
0,3.91,11.1470003128052,0.111470003128052,1,6,1.5
1,0.89,39.9770011901855,0.399770011901855,1,5,1.25
0,1,69.1309967041016,0.691309967041016,0,0,0
1,0.95,37.6529998779297,0.376529998779297,1,0,0
1,3.55,32.0709991455078,0.320709991455078,1,7,1.75
1,4.52,19.0839996337891,0.190839996337891,0,5,1.25
1,4.76,23.9120006561279,0.239120006561279,0,0,0
1,1.99,28.5599994659424,0.285599994659424,1,5,1.25
0,2.85,21.9650001525879,0.219650001525879,0,0,0
0,0.81,91.0070037841797,0.910070037841797,0,0,0
1,2.85,26.5130004882812,0.265130004882813,1,8,2
1,2.18,23.3239994049072,0.233239994049072,0,3,0.75
1,4.23,31.5919990539551,0.315919990539551,0,5,1.25
1,1.92,31.3239994049072,0.313239994049072,1,0,0
1,1.63,38.8489990234375,0.388489990234375,0,8,2
1,5.45,9.12600040435791,0.0912600040435791,1,0,0
0,1.57,19.3819999694824,0.193819999694824,0,8,2
1,1.94,12.4610004425049,0.124610004425049,0,8,2
1,1.58,14.9370002746582,0.149370002746582,0,0,0
1,0.67,13.2189998626709,0.132189998626709,1,5,1.25
1,1.4,6.82999992370605,0.0682999992370606,0,5,1.25
0,1.18,30.4060001373291,0.304060001373291,1,3,0.75
0,0.77,18.5510005950928,0.185510005950928,1,5,1.25
0,0.77,24.8290004730225,0.248290004730225,0,0,0
1,1.44,28.6709995269775,0.286709995269775,0,12,3
0,0.77,20.871000289917,0.20871000289917,1,5,1.25
1,0.77,20.1200008392334,0.201200008392334,1,0,0
0,0.73,13.4940004348755,0.134940004348755,1,5,1.25
1,1.9,19.1919994354248,0.191919994354248,0,0,0
0,0.72,28.6459999084473,0.286459999084473,0,8,2
0,0.88,16.1660003662109,0.161660003662109,0,0,0
0,1.04,27.42799949646,0.2742799949646,0,5,1.25
0,1.21,15.83899974823,0.1583899974823,1,0,0
1,1.44,14.4180002212524,0.144180002212524,1,5,1.25
0,0.64,29.2779998779297,0.292779998779297,1,14,3.5
0,0.8,43.9440002441406,0.439440002441406,1,14,3.5
1,1.93,20.2299995422363,0.202299995422363,0,0,0
0,0.56,50.0919990539551,0.500919990539551,0,5,1.25
0,1.32,66.879997253418,0.66879997253418,0,5,1.25
0,0.52,69.4820022583008,0.694820022583008,0,3,0.75
0,1.19,48.7080001831055,0.487080001831055,1,5,1.25
0,1.18,22.6359996795654,0.226359996795654,1,12,3
0,1.26,10.1230001449585,0.101230001449585,0,5,1.25
0,0.88,42.8279991149902,0.428279991149902,0,8,2
0,3.16,21.0890007019043,0.210890007019043,0,5,1.25
0,2.12,47.5340003967285,0.475340003967285,0,5,1.25
1,0.76,15.7119998931885,0.157119998931885,0,5,1.25
0,0.56,12.1850004196167,0.121850004196167,0,5,1.25
0,0.62,23.5590000152588,0.235590000152588,0,0,0
1,1.03,1.84800004959106,0.0184800004959106,0,5,1.25
0,0.78,90.9209976196289,0.909209976196289,0,5,1.25
0,1.02,93.8280029296875,0.938280029296875,1,5,1.25
0,0.65,82.1060028076172,0.821060028076172,1,9,2.25
1,2.29,46.9560012817383,0.469560012817383,1,3,0.75
1,1.6,24.2099990844727,0.242099990844727,1,4,1
1,0.82,43.2900009155273,0.432900009155273,0,5,1.25
1,1.44,25.1469993591309,0.251469993591309,0,10,2.5
1,0.97,14.6040000915527,0.146040000915527,0,0,0
0,0.89,1.40100002288818,0.0140100002288818,0,8,2
1,1.39,8.21000003814697,0.0821000003814697,0,12,3
1,0.83,18.8680000305176,0.188680000305176,0,0,0
1,0.57,23.4009990692139,0.234009990692139,0,0,0
1,1.47,18.5319995880127,0.185319995880127,1,9,2.25
1,1.11,36.2869987487793,0.362869987487793,0,10,2.5
1,2.38,40.4980010986328,0.404980010986328,0,12,3
0,3.97,90.5709991455078,0.905709991455078,0,0,0
1,3.51,115.157997131348,1.15157997131348,1,3,0.75
0,3.69,112.762001037598,1.12762001037598,1,0,0
1,2.95,93.4309997558594,0.934309997558594,1,0,0
0,3.21,97.2170028686523,0.972170028686523,0,0,0
1,3.65,88.3450012207031,0.883450012207031,1,0,0
1,4.42,41.1040000915527,0.411040000915527,1,5,1.25
1,4.12,46.2400016784668,0.462400016784668,0,3,0.75
1,3.62,65.3539962768555,0.653539962768555,1,3,0.75
1,3.8,43.7350006103516,0.437350006103516,1,2,0.5
1,4.46,61.5709991455078,0.615709991455078,0,5,1.25
1,4.04,78.4150009155273,0.784150009155273,1,0,0
1,3.32,63.5019989013672,0.635019989013672,0,5,1.25
0,2.07,69.2689971923828,0.692689971923828,1,5,1.25
1,1.43,57.9290008544922,0.579290008544922,1,6,1.5
1,2.3,85.3870010375977,0.853870010375977,0,5,1.25
1,1.41,110.609001159668,1.10609001159668,0,5,1.25
1,2.34,111.48999786377,1.1148999786377,1,0,0
1,1.5,176.197006225586,1.76197006225586,0,0,0
0,1.44,172.108001708984,1.72108001708984,0,0,0
0,1.54,177.802993774414,1.77802993774414,0,0,0
1,1.35,22.6709995269775,0.226709995269775,1,0,0
1,0.54,27.8810005187988,0.278810005187988,1,5,1.25
1,1.17,19.2600002288818,0.192600002288818,0,8,2
0,1.02,24.5,0.245,0,0,0
1,1.11,6.63299989700317,0.0663299989700317,0,5,1.25
0,0.52,7.04099988937378,0.0704099988937378,0,10,2.5
0,0.56,30.3139991760254,0.303139991760254,1,8,2
1,0.61,21.9790000915527,0.219790000915527,1,0,0
1,2.17,10.4580001831055,0.104580001831055,1,5,1.25
0,0.61,74.9990005493164,0.749990005493164,0,5,1.25
1,0.96,81.9710006713867,0.819710006713867,1,3,0.75
1,0.94,92.1760025024414,0.921760025024414,1,5,1.25
1,0.93,106.608001708984,1.06608001708984,1,3,0.75
0,1.02,103.060997009277,1.03060997009277,1,4,1
0,1.24,86.6050033569336,0.866050033569336,0,0,0
0,1.42,110.561996459961,1.10561996459961,0,5,1.25
0,1.31,122.325996398926,1.22325996398926,0,5,1.25
0,0.83,122.018997192383,1.22018997192383,0,0,0
0,2.64,57.632999420166,0.57632999420166,1,2,0.5
0,1.84,39.5960006713867,0.395960006713867,0,5,1.25
0,2.48,39.515998840332,0.39515998840332,0,0,0
0,1.27,21.5550003051758,0.215550003051758,0,10,2.5
0,0.69,51.7480010986328,0.517480010986328,0,0,0
1,0.61,13.5209999084473,0.135209999084473,1,5,1.25
0,0.89,31.4540004730225,0.314540004730225,0,5,1.25
1,0.75,89.4309997558594,0.894309997558594,0,5,1.25
0,0.81,19.2639999389648,0.192639999389648,1,0,0
0,1.81,53.3629989624023,0.533629989624023,1,9,2.25
0,1.25,30.128999710083,0.30128999710083,1,0,0
1,1.12,27.136999130249,0.27136999130249,1,9,2.25
1,0.71,28.7119998931885,0.287119998931885,1,0,0
1,2.16,20.6399993896484,0.206399993896484,1,0,0
1,1.7,36.75,0.3675,0,5,1.25
1,1.84,49.6800003051758,0.496800003051758,0,5,1.25
0,1.26,102.710998535156,1.02710998535156,1,0,0
0,2.53,108.615997314453,1.08615997314453,1,0,0
0,2.95,96.4359970092773,0.964359970092773,0,0,0
0,0.62,100.861000061035,1.00861000061035,0,0,0
1,3.01,137.899993896484,1.37899993896484,0,10,2.5
0,2.56,124.670997619629,1.24670997619629,1,5,1.25
1,1.97,151.065994262695,1.51065994262695,0,10,2.5
0,1.2,121.575996398926,1.21575996398926,1,5,1.25
0,0.89,32.8499984741211,0.328499984741211,0,0,0
0,0.52,8.54699993133545,0.0854699993133545,0,10,2.5
1,2.49,27.9740009307861,0.279740009307861,0,4,1
1,1.25,29.4580001831055,0.294580001831055,0,0,0
0,1.13,19.6599998474121,0.196599998474121,1,5,1.25
1,1.13,47.7089996337891,0.477089996337891,0,12,3
1,0.52,71.5230026245117,0.715230026245117,0,10,2.5
1,0.88,67.1760025024414,0.671760025024414,1,10,2.5
0,3.48,69.9670028686523,0.699670028686523,0,5,1.25
0,0.56,83.5719985961914,0.835719985961914,0,10,2.5
0,1.35,71.4250030517578,0.714250030517578,0,5,1.25
1,1.67,71.4250030517578,0.714250030517578,0,0,0
0,1.92,71.4250030517578,0.714250030517578,0,10,2.5
0,2.41,190.287994384766,1.90287994384766,0,7,1.75
0,2.36,186.304992675781,1.86304992675781,0,5,1.25
0,2.41,218.300003051758,2.18300003051758,0,0,0
1,1.46,53.5439987182617,0.535439987182617,0,14,3.5
1,2,63.6020011901855,0.636020011901855,0,0,0
1,1.32,67.4929962158203,0.674929962158203,0,5,1.25
1,1.75,66.7360000610352,0.667360000610352,0,5,1.25
1,1.84,47.9959983825684,0.479959983825684,0,0,0
0,1.72,54.4160003662109,0.544160003662109,0,5,1.25
0,1.77,94.7229995727539,0.947229995727539,0,5,1.25
1,2.77,70.7740020751953,0.707740020751953,0,7,1.75
1,0.73,11.2489995956421,0.112489995956421,1,0,0
1,0.69,4.88000011444092,0.0488000011444092,1,0,0
0,0.58,18.1429996490479,0.181429996490479,1,5,1.25
1,0.52,15.7790002822876,0.157790002822876,1,12,3
1,0.62,0.386999994516373,0.00386999994516373,1,5,1.25
1,3.33,14.9650001525879,0.149650001525879,1,5,1.25
0,0.51,24.6770000457764,0.246770000457764,0,0,0
0,1.26,17.5069999694824,0.175069999694824,1,0,0
1,0.6,22.8819999694824,0.228819999694824,0,5,1.25
1,0.59,6.7960000038147,0.067960000038147,0,5,1.25
1,0.66,8.99600028991699,0.0899600028991699,1,0,0
1,0.74,2.40899991989136,0.0240899991989136,1,0,0
1,0.71,9.30599975585938,0.0930599975585937,1,0,0
1,0.86,21.996000289917,0.21996000289917,1,7,1.75
0,0.51,14.0769996643066,0.140769996643066,0,10,2.5
1,0.58,29.6490001678467,0.296490001678467,1,5,1.25
0,0.55,11.3769998550415,0.113769998550415,0,5,1.25
1,1.26,29.5410003662109,0.295410003662109,0,0,0
0,0.52,33.367000579834,0.33367000579834,0,10,2.5
0,0.83,26.7150001525879,0.267150001525879,0,10,2.5
0,0.57,21.1180000305176,0.211180000305176,0,5,1.25
0,0.53,71.4820022583008,0.714820022583008,0,0,0
0,0.67,71.6370010375977,0.716370010375977,1,0,0
1,3.5,23.8309993743896,0.238309993743896,0,5,1.25
1,2.8,5.72800016403198,0.0572800016403198,1,12,3
1,0.77,15.8149995803833,0.158149995803833,1,5,1.25
1,0.74,32.5870018005371,0.325870018005371,1,5,1.25
1,0.77,40.1310005187988,0.401310005187988,0,10,2.5
1,1.58,49.6380004882812,0.496380004882812,1,2,0.5
1,0.8,24.886999130249,0.24886999130249,0,10,2.5
0,0.55,47.6710014343262,0.476710014343262,1,0,0
1,0.9,56.5909996032715,0.565909996032715,1,10,2.5
0,0.52,74.1169967651367,0.741169967651367,0,8,2
1,2.59,81.8489990234375,0.818489990234375,1,0,0
1,1.27,86.0940017700195,0.860940017700195,1,8,2
0,0.97,71.8059997558594,0.718059997558594,0,14,3.5
0,1.47,61.7449989318848,0.617449989318848,1,4,1
0,1.03,25.0450000762939,0.250450000762939,0,12,3
0,0.93,19.9290008544922,0.199290008544922,1,2,0.5
0,0.79,50.1189994812012,0.501189994812012,0,10,2.5
0,0.66,53.8160018920898,0.538160018920898,1,5,1.25
0,0.85,33.5029983520508,0.335029983520508,1,10,2.5
0,0.93,58.3559989929199,0.583559989929199,0,5,1.25
0,1.42,17.9540004730225,0.179540004730225,0,12,3
0,0.75,28.0270004272461,0.280270004272461,0,4,1
0,1.46,31.6679992675781,0.316679992675781,0,8,2
0,1.16,34.4370002746582,0.344370002746582,0,5,1.25
0,1.17,50.9519996643066,0.509519996643066,0,15,3.75
1,0.83,60.7529983520508,0.607529983520508,1,0,0
1,1.24,74.8769989013672,0.748769989013672,0,5,1.25
1,3.08,57.9599990844727,0.579599990844727,0,5,1.25
1,3.59,61.6240005493164,0.616240005493164,0,0,0
1,1.96,76.0660018920898,0.760660018920898,0,7,1.75
1,1.67,105.866996765137,1.05866996765137,0,5,1.25
0,1.69,112.675003051758,1.12675003051758,0,0,0
0,2.71,197.134994506836,1.97134994506836,1,5,1.25
0,1.27,304.096984863281,3.04096984863281,1,5,1.25
0,1.43,339.531005859375,3.39531005859375,0,4,1
0,1,70.2710037231445,0.702710037231445,0,5,1.25
0,0.52,92.7440032958984,0.927440032958984,0,5,1.25
0,0.65,55.9210014343262,0.559210014343262,0,9,2.25
0,0.7,50.8289985656738,0.508289985656738,1,0,0
0,0.51,37.601001739502,0.37601001739502,0,0,0
0,1.02,17.9309997558594,0.179309997558594,0,0,0
1,2.05,11.8170003890991,0.118170003890991,0,5,1.25
1,0.77,18.7970008850098,0.187970008850098,1,0,0
1,1.2,17.5750007629395,0.175750007629395,0,5,1.25
1,0.62,22.443000793457,0.22443000793457,0,5,1.25
1,1.31,27.0259990692139,0.270259990692139,1,5,1.25
1,1.79,17.1399993896484,0.171399993896484,0,0,0
1,0.56,25.4540004730225,0.254540004730225,0,0,0
1,0.77,45.576000213623,0.45576000213623,0,5,1.25
1,0.66,52.7610015869141,0.527610015869141,0,0,0
1,1.1,30.5410003662109,0.305410003662109,0,0,0
1,0.82,16.3990001678467,0.163990001678467,1,5,1.25
1,2.22,29.3190002441406,0.293190002441406,0,5,1.25
1,2.82,36.0610008239746,0.360610008239746,1,0,0
0,0.64,22.6070003509521,0.226070003509521,0,6,1.5
1,1.26,27.1410007476807,0.271410007476807,1,6,1.5
1,1.53,9.44699954986572,0.0944699954986572,1,5,1.25
1,1.8,16.69700050354,0.1669700050354,0,0,0
1,1.24,50.4770011901855,0.504770011901855,1,8,2
0,0.93,9.22399997711182,0.0922399997711182,0,5,1.25
1,0.54,6.93100023269653,0.0693100023269653,1,6,1.5
1,0.82,27.2919998168945,0.272919998168945,0,5,1.25
1,0.61,25.2950000762939,0.252950000762939,0,5,1.25
0,0.71,52.7120018005371,0.527120018005371,1,5,1.25
1,0.81,51.7290000915527,0.517290000915527,0,4,1
1,0.65,68.5719985961914,0.685719985961914,1,4,1
1,0.68,23.6790008544922,0.236790008544922,1,0,0
1,1.26,45.2019996643066,0.452019996643066,1,9,2.25
1,0.92,9.16899967193604,0.0916899967193603,0,5,1.25
1,1.25,16.371000289917,0.16371000289917,1,0,0
1,1.16,19.4169998168945,0.194169998168945,0,5,1.25
1,0.76,57.7929992675781,0.577929992675781,1,5,1.25
1,1.2,43.2719993591309,0.432719993591309,0,10,2.5
0,0.9,19.8400001525879,0.198400001525879,0,9,2.25
1,0.52,5.17999982833862,0.0517999982833862,0,5,1.25
1,0.53,42.685001373291,0.42685001373291,0,8,2
0,0.64,5.16200017929077,0.0516200017929077,1,8,2
1,1.96,38.9640007019043,0.389640007019043,1,10,2.5
1,0.59,58.0979995727539,0.580979995727539,0,9,2.25
1,1.48,61.5900001525879,0.615900001525879,0,9,2.25
1,1.78,32.5940017700195,0.325940017700195,0,0,0
1,1.41,30.1639995574951,0.301639995574951,0,5,1.25
1,1.5,18.5219993591309,0.185219993591309,0,5,1.25
