"arsenic","dist","dist100","assoc","educ","switch"
2.36,16.826000213623,0.16826000213623,0,0,1
0.71,47.3219985961914,0.473219985961914,0,0,1
2.07,20.9669990539551,0.209669990539551,0,10,0
1.15,21.4860000610352,0.214860000610352,0,12,1
1.96,32.5820007324219,0.325820007324219,1,12,1
1.1,40.8740005493164,0.408740005493164,1,14,1
1.41,47.3139991760254,0.473139991760254,1,0,1
3.9,69.5179977416992,0.695179977416992,1,9,1
2.97,80.7109985351562,0.807109985351563,1,4,1
3.24,55.1459999084473,0.551459999084473,0,10,1
3.28,52.6469993591309,0.526469993591309,1,0,1
2.52,75.0719985961914,0.750719985961914,1,0,1
3.13,29.7740001678467,0.297740001678467,1,5,1
3.94,30.5960006713867,0.305960006713867,0,0,1
3.04,34.5040016174316,0.345040016174316,0,0,1
2.91,63.8040008544922,0.638040008544922,1,0,1
3.21,73.6039962768555,0.736039962768555,1,0,1
1.35,44.6199989318848,0.446199989318848,1,0,1
1.7,67.6549987792969,0.676549987792969,1,0,1
1.8,80.6600036621094,0.806600036621094,1,7,1
1.44,52.181999206543,0.52181999206543,0,7,1
1.43,52.181999206543,0.52181999206543,1,7,1
2.33,50.5340003967285,0.505340003967285,1,0,1
2.83,31.4220008850098,0.314220008850098,0,10,1
1.79,33.0089988708496,0.330089988708496,1,7,1
2.54,37.8709983825684,0.378709983825684,0,0,1
2.25,48.3730010986328,0.483730010986328,1,5,1
2.42,47.3089981079102,0.473089981079102,0,0,1
2.07,54.0139999389648,0.540139999389648,0,0,1
1.62,67.7850036621094,0.677850036621094,0,8,1
2.34,81.1380004882812,0.811380004882812,1,8,1
3.49,95.4599990844727,0.954599990844727,0,10,1
3.08,93.0009994506836,0.930009994506836,1,3,1
2.13,114.417999267578,1.14417999267578,0,16,1
1.13,131.744995117188,1.31744995117187,1,10,1
0.93,157.628997802734,1.57628997802734,1,10,1
3.36,151.919998168945,1.51919998168945,1,10,1
1.49,107.69100189209,1.0769100189209,0,10,1
0.83,105.667999267578,1.05667999267578,0,10,1
2.06,98.7789993286133,0.987789993286133,1,0,1
1.37,105.625999450684,1.05625999450684,1,0,1
2.8,107.69100189209,1.0769100189209,0,0,0
0.81,107.69100189209,1.0769100189209,0,0,0
1.48,125.317001342773,1.25317001342773,1,3,1
1.92,107.69100189209,1.0769100189209,1,0,0
2.74,107.69100189209,1.0769100189209,0,10,1
2.49,107.69100189209,1.0769100189209,1,0,1
3.95,107.69100189209,1.0769100189209,0,0,0
2.75,107.69100189209,1.0769100189209,0,0,1
2.91,54.5699996948242,0.545699996948242,0,0,1
0.83,54.5699996948242,0.545699996948242,0,0,1
3.67,54.5699996948242,0.545699996948242,1,5,1
2.9,54.5699996948242,0.545699996948242,0,0,1
0.78,54.5699996948242,0.545699996948242,1,10,1
3.4,54.5699996948242,0.545699996948242,1,7,1
2.67,72.5410003662109,0.725410003662109,1,0,1
2.52,3.61800003051758,0.0361800003051758,1,5,0
2.48,58.1669998168945,0.581669998168945,0,0,1
4.47,72.3460006713867,0.723460006713867,0,8,1
1.52,40.318000793457,0.40318000793457,0,0,1
1.8,67.2190017700195,0.672190017700195,0,0,1
0.51,99.0130004882812,0.990130004882813,0,0,0
0.2,111.63500213623,1.1163500213623,1,5,0
0.64,115.91300201416,1.1591300201416,1,0,1
0.71,127.098999023438,1.27098999023438,1,12,1
0.41,82.5739974975586,0.825739974975586,0,0,0
0.05,80.6129989624023,0.806129989624023,0,0,0
0.16,174.811996459961,1.74811996459961,1,0,0
0.3,139.923004150391,1.39923004150391,0,5,0
0.35,101.147003173828,1.01147003173828,1,9,0
0.21,98.2630004882812,0.982630004882812,1,9,0
0.46,70.2939987182617,0.702939987182617,1,5,1
1.01,71.7990036010742,0.717990036010742,1,5,1
0.28,128.134994506836,1.28134994506836,0,10,0
0.74,141.535995483398,1.41535995483398,0,8,1
1.81,84.6460037231445,0.846460037231445,1,0,1
2.69,65.931999206543,0.65931999206543,0,0,1
4.85,67.9400024414062,0.679400024414063,1,0,1
3.18,64.697998046875,0.64697998046875,0,6,1
5.06,62.6349983215332,0.626349983215332,1,10,1
2.69,47.9090003967285,0.479090003967285,0,10,1
0.57,24.0030002593994,0.240030002593994,0,12,1
0.33,23.3090000152588,0.233090000152588,1,6,0
0.16,10.2340002059937,0.102340002059937,1,5,0
0.05,13.1199998855591,0.131199998855591,1,10,1
0.05,2.28699994087219,0.0228699994087219,1,4,0
0.11,5.18900012969971,0.0518900012969971,0,9,0
0.05,7.39499998092651,0.0739499998092651,0,10,0
0.12,4.28399991989136,0.0428399991989136,0,10,1
0.13,8.0019998550415,0.080019998550415,0,5,0
0.08,10.3669996261597,0.103669996261597,1,0,0
0.05,20.4099998474121,0.204099998474121,1,10,0
4.55,17.9820003509521,0.179820003509521,0,7,1
3.91,11.1470003128052,0.111470003128052,1,6,0
0.32,35.0449981689453,0.350449981689453,0,5,0
0.89,39.9770011901855,0.399770011901855,1,5,1
1,69.1309967041016,0.691309967041016,0,0,0
0.95,37.6529998779297,0.376529998779297,1,0,1
0.05,21.8929996490479,0.218929996490479,1,4,0
3.55,32.0709991455078,0.320709991455078,1,7,1
4.52,19.0839996337891,0.190839996337891,0,5,1
0.05,12.4309997558594,0.124309997558594,1,8,0
0.05,25.1480007171631,0.251480007171631,1,0,0
4.76,23.9120006561279,0.239120006561279,0,0,1
1.99,28.5599994659424,0.285599994659424,1,5,1
2.85,21.9650001525879,0.219650001525879,0,0,0
8.04,79.9629974365234,0.799629974365234,0,5,1
0.81,91.0070037841797,0.910070037841797,0,0,0
0.25,7.37099981307983,0.0737099981307983,1,5,0
2.85,26.5130004882812,0.265130004882813,1,8,1
2.18,23.3239994049072,0.233239994049072,0,3,1
4.23,31.5919990539551,0.315919990539551,0,5,1
0.05,32.064998626709,0.32064998626709,1,10,0
2.47,27.2770004272461,0.272770004272461,1,10,1
0.08,28.5499992370605,0.285499992370605,1,10,0
0.25,43.9169998168945,0.439169998168945,1,7,0
0.05,33.7529983520508,0.337529983520508,0,12,0
0.05,29.7840003967285,0.297840003967285,0,0,0
1.92,31.3239994049072,0.313239994049072,1,0,1
1.63,38.8489990234375,0.388489990234375,0,8,1
1.63,20.9060001373291,0.209060001373291,1,4,1
5.45,9.12600040435791,0.0912600040435791,1,0,1
0.05,14.5129995346069,0.145129995346069,1,7,0
1.57,19.3819999694824,0.193819999694824,0,8,0
1.94,12.4610004425049,0.124610004425049,0,8,1
0.47,19.4379997253418,0.194379997253418,1,10,0
0.14,14.4399995803833,0.144399995803833,1,6,0
0.21,19.2210006713867,0.192210006713867,0,10,0
0.05,19.181999206543,0.19181999206543,0,0,0
0.19,13.3559999465942,0.133559999465942,0,8,0
0.05,8.52700042724609,0.0852700042724609,0,12,0
0.05,13.6120004653931,0.136120004653931,0,10,0
0.09,18.8819999694824,0.188819999694824,0,11,0
0.05,20.2630004882812,0.202630004882812,1,0,0
0.05,23.8780002593994,0.238780002593994,1,10,0
0.05,21.2250003814697,0.212250003814697,1,0,1
0.18,3.08200001716614,0.0308200001716614,0,0,1
0.3,9.44200038909912,0.0944200038909912,0,0,1
0.05,30.9909992218018,0.309909992218018,0,10,0
0.17,16.1639995574951,0.161639995574951,1,0,0
0.26,20.2250003814697,0.202250003814697,1,5,0
0.24,11.3509998321533,0.113509998321533,0,3,0
