"","y","dist100","arsenic","educ4","assoc"
"1",1,0.16826000213623,2.36,0,0
"2",1,0.473219985961914,0.71,0,0
"3",0,0.209669990539551,2.07,2.5,0
"4",1,0.214860000610352,1.15,3,0
"5",1,0.408740005493164,1.1,3.5,1
"6",1,0.695179977416992,3.9,2.25,1
"7",1,0.807109985351562,2.97,1,1
"8",1,0.551459999084473,3.24,2.5,0
"9",1,0.526469993591309,3.28,0,1
"10",1,0.750719985961914,2.52,0,1
"11",1,0.297740001678467,3.13,1.25,1
"12",1,0.345040016174316,3.04,0,0
"13",1,0.638040008544922,2.91,0,1
"14",1,0.736039962768555,3.21,0,1
"15",1,0.676549987792969,1.7,0,1
"16",1,0.806600036621094,1.8,1.75,1
"17",1,0.52181999206543,1.44,1.75,0
"18",1,0.52181999206543,1.43,1.75,1
"19",1,0.505340003967285,2.33,0,1
"20",1,0.314220008850098,2.83,2.5,0
"21",1,0.330089988708496,1.79,1.75,1
"22",1,0.378709983825684,2.54,0,0
"23",1,0.483730010986328,2.25,1.25,1
"24",1,0.473089981079102,2.42,0,0
"25",1,0.677850036621094,1.62,2,0
"26",1,0.811380004882812,2.34,2,1
"27",1,0.954599990844727,3.49,2.5,0
"28",1,1.14417999267578,2.13,4,0
"29",1,1.57628997802734,0.93,2.5,1
"30",1,1.51919998168945,3.36,2.5,1
"31",1,1.0769100189209,1.49,2.5,0
"32",1,1.05667999267578,0.83,2.5,0
"33",1,1.05625999450684,1.37,0,1
"34",0,1.0769100189209,2.8,0,0
"35",0,1.0769100189209,0.81,0,0
"36",1,1.25317001342773,1.48,0.75,1
"37",0,1.0769100189209,1.92,0,1
"38",1,1.0769100189209,2.74,2.5,0
"39",1,1.0769100189209,2.49,0,1
"40",0,1.0769100189209,3.95,0,0
"41",1,1.0769100189209,2.75,0,0
"42",1,0.545699996948242,2.91,0,0
"43",1,0.545699996948242,0.83,0,0
"44",1,0.545699996948242,3.67,1.25,1
"45",1,0.545699996948242,2.9,0,0
"46",1,0.545699996948242,0.78,2.5,1
"47",0,0.0361800003051758,2.52,1.25,1
"48",1,0.581669998168945,2.48,0,0
"49",1,0.723460006713867,4.47,2,0
"50",1,0.40318000793457,1.52,0,0
"51",1,0.672190017700195,1.8,0,0
"52",0,0.990130004882812,0.51,0,0
"53",1,1.1591300201416,0.64,0,1
"54",1,0.717990036010742,1.01,1.25,1
"55",1,1.41535995483398,0.74,2,0
"56",1,0.846460037231445,1.81,0,1
"57",1,0.65931999206543,2.69,0,0
"58",1,0.679400024414062,4.85,0,1
"59",1,0.64697998046875,3.18,1.5,0
"60",1,0.626349983215332,5.06,2.5,1
"61",1,0.479090003967285,2.69,2.5,0
"62",1,0.240030002593994,0.57,3,0
"63",1,0.179820003509521,4.55,1.75,0
"64",0,0.111470003128052,3.91,1.5,1
"65",1,0.399770011901855,0.89,1.25,1
"66",0,0.691309967041016,1,0,0
"67",1,0.376529998779297,0.95,0,1
"68",1,0.320709991455078,3.55,1.75,1
"69",1,0.190839996337891,4.52,1.25,0
"70",1,0.239120006561279,4.76,0,0
"71",1,0.285599994659424,1.99,1.25,1
"72",0,0.219650001525879,2.85,0,0
"73",0,0.910070037841797,0.81,0,0
"74",1,0.265130004882812,2.85,2,1
"75",1,0.233239994049072,2.18,0.75,0
"76",1,0.315919990539551,4.23,1.25,0
"77",1,0.313239994049072,1.92,0,1
"78",1,0.388489990234375,1.63,2,0
"79",1,0.0912600040435791,5.45,0,1
"80",0,0.193819999694824,1.57,2,0
"81",1,0.124610004425049,1.94,2,0
"82",1,0.149370002746582,1.58,0,0
"83",1,0.132189998626709,0.67,1.25,1
"84",1,0.0682999992370605,1.4,1.25,0
"85",0,0.304060001373291,1.18,0.75,1
"86",0,0.185510005950928,0.77,1.25,1
"87",0,0.248290004730225,0.77,0,0
"88",1,0.286709995269775,1.44,3,0
"89",0,0.20871000289917,0.77,1.25,1
"90",1,0.201200008392334,0.77,0,1
"91",0,0.134940004348755,0.73,1.25,1
"92",1,0.191919994354248,1.9,0,0
"93",0,0.286459999084473,0.72,2,0
"94",0,0.161660003662109,0.88,0,0
"95",0,0.2742799949646,1.04,1.25,0
"96",0,0.1583899974823,1.21,0,1
"97",1,0.144180002212524,1.44,1.25,1
"98",0,0.292779998779297,0.64,3.5,1
"99",0,0.439440002441406,0.8,3.5,1
"100",1,0.202299995422363,1.93,0,0
"101",0,0.500919990539551,0.56,1.25,0
"102",0,0.66879997253418,1.32,1.25,0
"103",0,0.694820022583008,0.52,0.75,0
"104",0,0.487080001831055,1.19,1.25,1
"105",0,0.226359996795654,1.18,3,1
"106",0,0.101230001449585,1.26,1.25,0
"107",0,0.428279991149902,0.88,2,0
"108",0,0.210890007019043,3.16,1.25,0
"109",0,0.475340003967285,2.12,1.25,0
"110",1,0.157119998931885,0.76,1.25,0
"111",0,0.121850004196167,0.56,1.25,0
"112",0,0.235590000152588,0.62,0,0
"113",1,0.0184800004959106,1.03,1.25,0
"114",0,0.909209976196289,0.78,1.25,0
"115",0,0.938280029296875,1.02,1.25,1
"116",0,0.821060028076172,0.65,2.25,1
