"eval","beauty","female","age","minority","nonenglish","lower","course_id"
4.3,0.2015666,1,36,1,0,0,3
4.5,-0.8260813,0,59,0,0,0,0
3.7,-0.6603327,0,51,0,0,0,4
4.3,-0.7663125,1,40,0,0,0,2
4.4,1.421445,1,31,0,0,0,0
4.2,0.5002196,0,62,0,0,0,0
4,-0.2143501,1,33,0,0,0,4
3.4,-0.346539,1,51,0,0,0,0
4.5,0.0613435,1,33,0,0,0,0
3.9,0.4525679,0,47,0,0,0,4
3.1,0.1432643,0,35,1,1,0,4
4,-0.1550228,0,37,0,0,0,0
3.8,0.1285433,0,42,0,0,0,0
3.4,-0.3470453,0,49,0,1,0,0
2.9,0.4619388,1,37,0,0,0,9
4.5,-0.1503849,0,45,0,0,0,9
4,-1.070734,1,56,0,0,0,10
3.8,-0.1426931,0,48,0,0,1,0
4.3,-0.1563634,1,46,0,0,0,0
3.4,-0.0589354,1,57,0,0,0,0
3.4,0.1511368,1,52,0,0,0,9
3.3,-0.937076,1,29,1,1,0,8
4.3,-0.8214405,0,62,0,0,0,10
4.4,-0.1994712,0,64,0,0,0,0
4.6,1.687167,1,34,0,0,0,0
4.2,-0.4101976,0,58,0,0,0,25
4,0.1233448,0,52,1,1,0,17
3.3,-0.8059942,0,73,0,0,0,13
4.4,-0.8210418,0,70,0,0,0,19
2.3,0.3198185,1,41,0,0,0,15
3.5,-0.0985568,0,63,0,0,0,12
4.7,-1.012306,0,47,0,0,0,0
3.9,0.4883314,0,39,0,0,1,0
4,-0.1719505,1,47,1,0,1,21
4.3,-1.167907,0,54,0,0,0,16
3.8,0.9525534,1,44,1,0,0,0
3.8,-1.140457,0,47,1,0,0,16
4,-0.8161172,0,62,0,0,0,0
4.6,-0.4837456,0,60,0,0,0,0
3.5,0.8450468,0,37,0,0,0,14
4.7,-0.3261277,0,42,0,0,0,0
4.2,0.1865589,0,35,0,0,0,22
3.4,1.881674,1,39,0,0,1,21
3.9,0.9626006,0,49,0,0,0,22
4.5,0.1534694,0,61,0,0,1,21
4.7,1.261046,0,33,0,0,0,22
3.5,0.0232144,1,58,0,0,0,23
3.7,-0.3460746,1,56,0,0,0,22
4,-0.744618,1,50,0,0,1,21
4.1,-0.7447439,0,52,0,0,0,0
4.4,0.6361284,1,33,0,0,0,0
4.2,0.5434852,0,57,0,0,0,0
4.5,0.9825948,1,38,0,0,0,1
3.8,-1.538843,1,34,0,0,1,0
3.1,1.067531,0,34,0,0,0,0
3.7,-0.4143639,0,32,0,0,1,0
3.9,0.7962944,1,42,0,0,1,0
4,-0.6466943,1,43,0,0,1,0
3.3,-0.4299034,0,35,0,1,0,25
3.1,-0.5924066,1,62,0,0,0,0
4,-0.9889295,0,42,0,0,0,0
4.3,0.5546651,0,39,0,0,0,0
3.7,0.6851749,1,52,0,0,0,0
3.4,0.9755885,1,52,0,0,0,0
4.3,-1.178738,1,52,0,0,0,0
3.7,-1.157511,0,64,0,0,0,0
4.2,1.327346,0,50,0,0,0,0
2.2,-1.511268,0,60,0,0,0,0
3,0.3034731,1,51,0,0,0,0
4.3,-0.5783117,0,43,0,0,1,0
4.6,-0.671936,0,50,1,0,1,0
3.5,0.6683338,0,52,0,0,0,0
4.6,0.7924695,0,51,0,0,1,0
3.7,-0.6548505,0,38,0,0,1,0
3.8,0.2510546,1,47,0,0,1,24
3.6,-0.2397178,1,43,1,0,1,0
4.4,-1.113346,1,38,0,0,1,0
4.1,-0.1135935,0,43,0,0,1,0
4.3,-0.8351366,0,57,0,0,0,0
4,0.9005994,1,51,0,0,0,0
4.8,-0.620769,0,45,0,0,1,20
3.5,-0.8552412,0,57,0,0,1,0
3.6,1.065906,1,47,0,0,1,0
3.8,1.144253,1,54,1,0,1,30
4.7,1.685985,0,58,0,0,1,28
4.9,1.684802,0,42,0,0,1,0
4.3,0.6362435,0,33,0,0,1,0
3.3,-1.269975,0,62,0,0,1,0
3.4,1.681103,1,35,1,0,1,0
3.6,-0.6756103,0,61,0,0,1,0
4,-0.0901815,1,52,0,0,1,0
3.9,-0.1450257,1,60,0,1,0,0
4.3,1.143045,0,32,0,0,1,0
3.3,0.3320507,1,42,1,1,0,0
3.7,0.2015666,1,36,1,0,0,3
3.6,0.2015666,1,36,1,0,0,3
4.4,0.2015666,1,36,1,0,0,3
4,-0.8260813,0,59,0,0,0,0
2.1,-0.8260813,0,59,0,0,0,0
3.2,-0.6603327,0,51,0,0,0,4
3.5,-0.7663125,1,40,0,0,0,4
4.1,-0.7663125,1,40,0,0,0,0
4.6,-0.7663125,1,40,0,0,0,5
3.8,-0.7663125,1,40,0,0,0,27
3.8,-0.7663125,1,40,0,0,0,26
3.8,-0.7663125,1,40,0,0,0,0
4.2,-0.7663125,1,40,0,0,0,0
3.9,1.421445,1,31,0,0,0,0
4.5,1.421445,1,31,0,0,0,0
4.5,1.421445,1,31,0,0,0,0
4.4,1.421445,1,31,0,0,0,0
4.4,1.421445,1,31,0,0,0,26
4.4,0.5002196,0,62,0,0,0,0
4.5,0.5002196,0,62,0,0,0,0
4.3,0.5002196,0,62,0,0,0,4
4.6,0.5002196,0,62,0,0,0,0
4.8,0.5002196,0,62,0,0,0,0
4.3,0.5002196,0,62,0,0,0,4
4,-0.2143501,1,33,0,0,0,4
4,-0.2143501,1,33,0,0,0,3
3.9,-0.2143501,1,33,0,0,0,4
3.3,-0.2143501,1,33,0,0,0,4
4.5,-0.346539,1,51,0,0,0,0
4.5,-0.346539,1,51,0,0,0,0
4.5,-0.346539,1,51,0,0,0,0
2.5,-0.346539,1,51,0,0,1,0
4.3,-0.346539,1,51,0,0,0,0
4.5,-0.346539,1,51,0,0,0,0
4.7,0.0613435,1,33,0,0,0,26
3.5,0.0613435,1,33,0,0,0,0
4.5,0.0613435,1,33,0,0,0,2
3.8,0.0613435,1,33,0,0,0,4
4.5,0.0613435,1,33,0,0,0,0
4.3,0.0613435,1,33,0,0,0,0
3.9,0.4525679,0,47,0,0,0,0
4.3,0.4525679,0,47,0,0,0,4
4.2,0.4525679,0,47,0,0,0,4
5,0.4525679,0,47,0,0,1,0
5,0.4525679,0,47,0,0,1,0
4.6,0.4525679,0,47,0,0,0,0
5,0.4525679,0,47,0,0,1,0
4.7,0.4525679,0,47,0,0,0,4
5,0.4525679,0,47,0,0,1,0
2.7,0.1432643,0,35,1,1,0,4
4,0.1432643,0,35,1,1,0,4
4.4,-0.1550228,0,37,0,0,0,27
4.4,-0.1550228,0,37,0,0,0,0
4.3,-0.1550228,0,37,0,0,0,0
3.5,-0.1550228,0,37,0,0,0,0
3.8,0.1285433,0,42,0,0,0,0
3.9,0.1285433,0,42,0,0,0,0
3.7,0.1285433,0,42,0,0,0,3
3.3,0.1285433,0,42,0,0,0,3
4,0.1285433,0,42,0,0,0,3
3.8,0.1285433,0,42,0,0,0,0
4.2,-0.3470453,0,49,0,1,0,4
3.1,-0.3470453,0,49,0,1,0,0
3.6,-0.3470453,0,49,0,1,0,4
3.3,0.4619388,1,37,0,0,0,0
2.9,0.4619388,1,37,0,0,0,9
3.1,0.4619388,1,37,0,0,0,9
4,-0.1503849,0,45,0,0,1,6
4,-0.1503849,0,45,0,0,1,6
4.2,-0.1503849,0,45,0,0,0,9
3.8,-0.1503849,0,45,0,0,0,9
4.3,-0.1503849,0,45,0,0,1,6
4.6,-1.070734,1,56,0,0,0,10
4.3,-1.070734,1,56,0,0,0,0
3.6,-1.070734,1,56,0,0,0,0
4.2,-1.070734,1,56,0,0,0,10
3.9,-0.1426931,0,48,0,0,0,0
4.1,-0.1426931,0,48,0,0,0,0
4,-0.1426931,0,48,0,0,1,0
4.3,-0.1426931,0,48,0,0,1,0
3.9,-0.1426931,0,48,0,0,0,0
4.2,-0.1426931,0,48,0,0,1,0
4.2,-0.1426931,0,48,0,0,1,0
4.9,-0.1563634,1,46,0,0,1,0
4,-0.1563634,1,46,0,0,0,0
4.3,-0.1563634,1,46,0,0,0,0
4.9,-0.1563634,1,46,0,0,0,0
3.9,-0.1563634,1,46,0,0,0,0
4.9,-0.1563634,1,46,0,0,1,0
3.9,-0.1563634,1,46,0,0,0,0
4,-0.1563634,1,46,0,0,1,0
3.5,-0.0589354,1,57,0,0,0,0
3.9,-0.0589354,1,57,0,0,0,0
4,-0.0589354,1,57,0,0,0,0
3.6,-0.0589354,1,57,0,0,0,0
3,-0.0589354,1,57,0,0,0,0
3,-0.0589354,1,57,0,0,0,0
3.6,-0.0589354,1,57,0,0,0,0
3.6,-0.0589354,1,57,0,0,0,0
3.2,-0.0589354,1,57,0,0,0,0
3.9,0.1511368,1,52,0,0,0,0
3.5,0.1511368,1,52,0,0,0,0
3.5,0.1511368,1,52,0,0,0,0
3.1,0.1511368,1,52,0,0,0,0
4.2,0.1511368,1,52,0,0,0,9
3.6,-0.8214405,0,62,0,0,1,6
4.5,-0.8214405,0,62,0,0,0,10
3.7,-0.8214405,0,62,0,0,1,6
3.4,-0.8214405,0,62,0,0,1,6
4.5,-0.1994712,0,64,0,0,0,0
4.6,-0.1994712,0,64,0,0,0,0
4.8,-0.1994712,0,64,0,0,0,0
4.5,-0.1994712,0,64,0,0,0,0
4.4,-0.1994712,0,64,0,0,0,0
4.1,-0.1994712,0,64,0,0,0,0
3.9,1.687167,1,34,0,0,0,0
4.3,-0.4101976,0,58,0,0,0,8
3.5,-0.4101976,0,58,0,0,1,24
4,-0.4101976,0,58,0,0,0,25
4,-0.4101976,0,58,0,0,1,24
