"inc86","inc88","inc90","v86","v88","v90","v86_adj","v88_adj","v90_adj"
1,1,1,0.745036174097959,0.772442744081804,0.714029426366385,0.745036174097959,0.772442744081804,0.714029426366385
1,1,1,0.673845451516984,0.636181649511077,0.597050117324879,0.673845451516984,0.636181649511077,0.597050117324879
1,1,0,0.696456649723919,0.66492833910019,0.521043326521709,0.696456649723919,0.66492833910019,0.521043326521709
-1,-1,-1,0.464590079813606,0.273834199436133,0.234377037541475,0.464590079813606,0.273834199436133,0.234377037541475
-1,-1,0,0.39109451661678,0.263613098798692,0.477439278858192,0.39109451661678,0.263613098798692,0.477439278858192
-1,-1,-1,0.358245357103732,0.33419269486164,0.256297006846463,0.358245357103732,0.33419269486164,0.256297006846463
0,1,0,0.548597979361392,0.632175271586222,0.601966537264014,0.548597979361392,0.632175271586222,0.601966537264014
-1,-1,-1,0.226702844311377,0.337903592992181,0.48971497094364,0.226702844311377,0.337903592992181,0.48971497094364
-1,-1,-1,0.221815965874467,0.172718111718303,0.224383743484994,0.221815965874467,0.172718111718303,0.224383743484994
1,1,1,0.65939661729021,1,1,0.65939661729021,0.75,0.75
1,1,1,1,1,1,0.75,0.75,0.75
1,1,1,1,0.703131861303285,0.655346302648828,0.75,0.703131861303285,0.655346302648828
1,1,1,1,1,0.521810754133747,0.75,0.75,0.521810754133747
1,1,1,1,0.697106687229475,0.650585502547274,0.75,0.697106687229475,0.650585502547274
1,1,1,1,1,1,0.75,0.75,0.75
0,1,1,0.722179283693327,0.804349197567711,0.761452524136927,0.722179283693327,0.804349197567711,0.761452524136927
1,1,1,1,1,1,0.75,0.75,0.75
1,1,1,0.710861900613346,0.666726033154996,0.534082365069645,0.710861900613346,0.666726033154996,0.534082365069645
1,1,1,1,0.808176445094276,1,0.75,0.808176445094276,0.75
-1,-1,0,0.436459378933448,0.396540121860222,0.447558501284999,0.436459378933448,0.396540121860222,0.447558501284999
-1,-1,-1,0.257782177186173,0.428218069993649,0.527365883911707,0.257782177186173,0.428218069993649,0.527365883911707
1,1,-1,0.576894910289271,0.443671663669871,0.448397856450881,0.576894910289271,0.443671663669871,0.448397856450881
-1,-1,0,0.281852720479932,0.278767500881563,0.592139129677697,0.281852720479932,0.278767500881563,0.592139129677697
-1,0,-1,0,0.314209070681445,0,0.25,0.314209070681445,0.25
1,1,1,0.664203899624027,0.675166405846911,0.667049124840085,0.664203899624027,0.675166405846911,0.667049124840085
1,1,0,0.762170666492761,0.702823907932187,0.559856232343154,0.762170666492761,0.702823907932187,0.559856232343154
1,1,1,0.704449188153427,0.664997231341217,1,0.704449188153427,0.664997231341217,0.75
1,1,1,0.587008955223881,0.52125806782092,0.514084413866102,0.587008955223881,0.52125806782092,0.514084413866102
-1,-1,-1,0.385111220495511,0.33738569398632,0.353295702144468,0.385111220495511,0.33738569398632,0.353295702144468
-1,-1,-1,0.254315732843874,0.23797907895308,0.228657640535298,0.254315732843874,0.23797907895308,0.228657640535298
1,1,1,0.704572514778685,0.616186797572698,0.522505229481974,0.704572514778685,0.616186797572698,0.522505229481974
-1,-1,-1,0.209585660920525,0.253912882713256,0.236810058757269,0.209585660920525,0.253912882713256,0.236810058757269
1,1,1,0.62787768221701,1,1,0.62787768221701,0.75,0.75
1,1,1,0.690235638379794,0.675042186571598,0.580623881539703,0.690235638379794,0.675042186571598,0.580623881539703
1,0,1,1,0.859452546965868,0.824485373781148,0.75,0.859452546965868,0.824485373781148
-1,-1,-1,0.319805650987608,0.295191567127108,0.334186599524409,0.319805650987608,0.295191567127108,0.334186599524409
-1,-1,0,0.365143170368824,0.301439073065167,0.326742224794767,0.365143170368824,0.301439073065167,0.326742224794767
0,-1,-1,0.346410486962283,0.305193107940472,0.404482801514012,0.346410486962283,0.305193107940472,0.404482801514012
1,1,1,0.725802552975978,0.687409943553611,0.69329592795049,0.725802552975978,0.687409943553611,0.69329592795049
0,1,1,0.547840916508911,0.507927348269544,0.618557294536602,0.547840916508911,0.507927348269544,0.618557294536602
1,1,1,0.665100140129453,0.616465656461533,0.606127312168068,0.665100140129453,0.616465656461533,0.606127312168068
1,1,1,0.581806971846597,0.584786154981819,0.552755869752797,0.581806971846597,0.584786154981819,0.552755869752797
-1,-1,-1,0.320932287639457,0.282537752295539,0.342486651411137,0.320932287639457,0.282537752295539,0.342486651411137
-1,-1,-1,0.347260144831391,0.338205494305999,0.428385292528681,0.347260144831391,0.338205494305999,0.428385292528681
0,1,1,0.677395748635149,1,0.770137319659308,0.677395748635149,0.75,0.770137319659308
1,1,1,0.77365180989904,1,1,0.77365180989904,0.75,0.75
1,1,1,1,1,0.722636529048461,0.75,0.75,0.722636529048461
0,0,1,0.737706824856786,1,0.725194301853341,0.737706824856786,0.75,0.725194301853341
1,1,1,1,0.814925895759274,0.80422865067839,0.75,0.814925895759274,0.80422865067839
1,1,1,0.911394342180053,0.908614933537014,1,0.75,0.75,0.75
1,1,1,0.938694586767654,0.930125428735949,1,0.75,0.75,0.75
1,1,1,0.848104956268222,0.747007102103068,0.804128603630324,0.848104956268222,0.747007102103068,0.804128603630324
-1,-1,-1,0.30184563214791,0.367004505941972,0.37134951362598,0.30184563214791,0.367004505941972,0.37134951362598
-1,-1,-1,0.419953966182083,0.374511696042413,0.387391037588414,0.419953966182083,0.374511696042413,0.387391037588414
0,0,1,0.5,0.5,1,0.5,0.5,0.75
1,1,1,0.859171854247793,0.843663368991126,0.838747616020343,0.859171854247793,0.843663368991126,0.838747616020343
1,1,1,0.94589934965737,0.929034879282962,0.969678422971974,0.75,0.75,0.75
0,0,1,0.5,0.673210484067986,0.72755314581909,0.5,0.673210484067986,0.72755314581909
-1,-1,1,0.452718329365052,0.514519375943634,0.697948683115692,0.452718329365052,0.514519375943634,0.697948683115692
-1,-1,-1,0.217308621337484,0.239176279603716,0.254697971550965,0.217308621337484,0.239176279603716,0.254697971550965
-1,-1,-1,0.281106975041191,0.273558343700734,0.279440726180685,0.281106975041191,0.273558343700734,0.279440726180685
1,0,1,1,0.617459493056561,0.640653774064339,0.75,0.617459493056561,0.640653774064339
-1,-1,-1,0.295627890216804,0.276171609538996,0.318596558295901,0.295627890216804,0.276171609538996,0.318596558295901
-1,-1,-1,0.245249130938586,0,0,0.245249130938586,0.25,0.25
-1,-1,-1,0,0.249587694985913,0,0.25,0.249587694985913,0.25
-1,0,-1,0.497170340101615,0.421045314252347,0.355131452410299,0.497170340101615,0.421045314252347,0.355131452410299
1,1,1,0.683061510245134,1,0.648245102457387,0.683061510245134,0.75,0.648245102457387
-1,-1,-1,0.255373493256061,0.278720268043144,0.281063417782798,0.255373493256061,0.278720268043144,0.281063417782798
-1,1,1,0.50991602959237,0.590206446273392,0.590241120293179,0.50991602959237,0.590206446273392,0.590241120293179
-1,0,-1,0.422121162904012,0.466136325497648,0.434481245887256,0.422121162904012,0.466136325497648,0.434481245887256
1,1,1,1,0.727232739239516,0.63644572705269,0.75,0.727232739239516,0.63644572705269
1,1,1,0.850883546334587,1,0.823632695031333,0.850883546334587,0.75,0.823632695031333
0,0,-1,0.398573770262129,0,0.294070034262723,0.398573770262129,0.25,0.294070034262723
1,1,1,0.747439318846105,0.76315209295397,0.794268776841445,0.747439318846105,0.76315209295397,0.794268776841445
1,1,1,1,0.937133618388607,0.920955774960565,0.75,0.75,0.75
1,1,1,0.617798586795189,0.632124159086989,0.600150858760155,0.617798586795189,0.632124159086989,0.600150858760155
1,1,1,0.609583999773528,0.703008903725282,0.559000776871846,0.609583999773528,0.703008903725282,0.559000776871846
-1,-1,-1,0.342597248594652,0.217918465325593,0.402541091858004,0.342597248594652,0.217918465325593,0.402541091858004
1,1,1,0.691140845070423,0.636125464751362,0.570125759654218,0.691140845070423,0.636125464751362,0.570125759654218
0,-1,-1,0.38712675664394,0.321845050014839,0.347138628515047,0.38712675664394,0.321845050014839,0.347138628515047
1,1,1,0.550340869699187,0.577783688982466,0.566332478433201,0.550340869699187,0.577783688982466,0.566332478433201
-1,0,-1,0,0.5,0,0.25,0.5,0.25
-1,-1,-1,0.253369509792195,0.267567638217227,0,0.253369509792195,0.267567638217227,0.25
1,1,1,0.706105911175325,1,1,0.706105911175325,0.75,0.75
1,1,1,0.674211505358432,1,0.617370478908587,0.674211505358432,0.75,0.617370478908587
-1,-1,-1,0.414808056624168,0.334291275725565,0.396966555364067,0.414808056624168,0.334291275725565,0.396966555364067
1,1,1,1,0.786393251890634,0.717967687939852,0.75,0.786393251890634,0.717967687939852
-1,-1,-1,0.432257721868575,0.425235653865583,0.394259522333237,0.432257721868575,0.425235653865583,0.394259522333237
-1,-1,-1,0.254462469393341,0.260214031429451,0.338746185638688,0.254462469393341,0.260214031429451,0.338746185638688
-1,0,-1,0.263565721950082,0.5,0,0.263565721950082,0.5,0.25
1,1,1,0.630044517565083,0.628382874634578,0.485541221176993,0.630044517565083,0.628382874634578,0.485541221176993
-1,-1,-1,0.271150512099535,0.227518597236982,0,0.271150512099535,0.227518597236982,0.25
1,1,1,1,1,0.655936835712117,0.75,0.75,0.655936835712117
-1,-1,-1,0.191486266294227,0.212569398178992,0,0.191486266294227,0.212569398178992,0.25
1,1,1,1,0.724058028826694,0.632648283878467,0.75,0.724058028826694,0.632648283878467
-1,-1,-1,0.445215027531888,0.375484321299489,0.406102359214304,0.445215027531888,0.375484321299489,0.406102359214304
1,1,1,0.963985253804707,0.960480576785777,0.937656833770144,0.75,0.75,0.75
1,1,1,0.838291799319354,0.827449173185227,0.782153126370681,0.838291799319354,0.827449173185227,0.782153126370681
1,1,1,0.661766312906979,0.622307953196541,0.709269563766358,0.661766312906979,0.622307953196541,0.709269563766358
0,-1,1,0.484492882115793,0.502861864756921,0.592042773539235,0.484492882115793,0.502861864756921,0.592042773539235
1,1,1,0.703610798266271,0.612770555682897,0.681832879116818,0.703610798266271,0.612770555682897,0.681832879116818
-1,-1,-1,0.246153846153846,0.263191006055833,0.333102756545499,0.246153846153846,0.263191006055833,0.333102756545499
1,1,1,0.811699577877942,1,0.799250898921294,0.811699577877942,0.75,0.799250898921294
1,1,1,0.787347039598693,0.756585924276795,1,0.787347039598693,0.756585924276795,0.75
