Othelia Jones,208,416,867,1259,1610,2020,Clotelia Smith
Roger Toppin,55,106,215,313,401,505,Earl Coppin
Vanessa Fuentes,133,250,505,716,902,1129,Clarissa Montes
Gloria Wharton,101,202,406,589,787,976,NA
Bernard Cylich,108,249,512,745,970,1192,NA
Cecil McIntosh,54,94,196,279,360,451,NA
Alan Berger,158,327,673,963,1236,1519,NA
Betty Wright-Wells,52,115,232,308,400,502,NA
Geraldine Shivers,64,126,222,316,407,507,NA
Josephine Dance,68,130,256,336,420,530,NA
Al Shapiro,333,650,1326,1870,2418,3040,Hal Spitzer
Marie Heath,236,483,1017,1422,1821,2300,Margie Best
Saul Weber,229,450,922,1318,1688,2131,Josh Walker
Alice Rosario,125,241,482,713,908,1149,NA
Nels Grumer,67,134,297,401,506,647,NA
Craig Williams,235,462,970,1342,1724,2176,Greg Stevens
Lynn Burch,39,62,124,161,206,255,NA
Tom Barrett,212,427,864,1211,1565,1973,Dave Barron
"Richard Lawson, Jr.",43,70,135,178,228,281,NA
Eugene (Gene) Kaufman,146,273,542,786,1018,1271,NA
Tony Illis,158,358,702,987,1277,1571,Andy Willis
Andrea Leslie,86,180,353,487,649,791,NA
Helen Bass-Murray,51,118,222,313,402,501,NA
Alonzo Newton,192,390,837,1146,1472,1855,Alphonse Preston
Ruben Berkowitz,147,310,596,847,1098,1346,NA
Monique Harrison,45,89,193,271,333,411,NA
Elaine Johnson,108,209,428,623,788,975,NA
