	TOTLDF	DOR	DORAVG	HRST	HRAVG	TOTRELFRATE	%EXECUTED
AL	296.00	33.47	32.65	11.61	11.56	77.00	5.00
AR	77.00	15.40	15.65	9.70	9.71	79.00	4.00
AZ	231.00	41.50	39.42	7.92	7.60	70.00	2.00
CA	528.00	9.21	9.14	8.80	8.45	87.00	.40
CO	9.00	2.67	2.74	5.48	5.43	NA	NA
CT	4.00	1.37	1.53	4.09	4.08	NA	NA
DE	20.00	31.32	31.90	5.48	5.44	NA	18.00
FL	851.00	30.19	30.18	10.91	10.41	74.00	4.00
GA	323.00	19.63	19.12	12.78	12.40	80.00	6.00
ID	31.00	48.48	44.16	3.55	3.51	81.00	2.00
IL	238.00	11.26	10.98	8.18	8.16	62.00	3.00
IN	79.00	11.81	10.93	5.61	5.60	75.00	3.00
KY	59.00	10.67	10.24	7.03	7.01	100.00	0.00
LA	122.00	9.88	9.35	12.82	12.80	64.00	16.00
MD	54.00	6.90	6.41	7.78	7.68	100.00	2.00
MO	115.00	13.18	12.67	8.34	8.28	33.00	2.00
MS	131.00	20.76	21.06	12.98	12.98	93.00	13.00
MT	8.00	10.01	13.61	4.65	4.64	87.00	5.00
NC	264.00	22.50	22.75	9.61	9.56	70.00	4.00
NE	20.00	16.00	16.31	3.22	3.21	67.00	5.00
NJ	43.00	6.41	5.94	5.11	5.08	NA	NA
NM	9.00	3.36	3.50	9.98	9.88	NA	NA
NV	101.00	42.42	40.30	10.67	10.03	68.00	3.00
OH	183.00	19.58	18.79	4.63	4.62	NA	NA
OK	191.00	38.74	38.15	8.38	8.36	73.00	3.00
OR	31.00	13.17	13.74	4.70	4.69	NA	NA
PA	265.00	21.67	20.96	4.82	4.81	53.00	0.70
SC	130.00	20.82	20.17	10.23	10.16	67.00	4.00
TN	122.00	14.20	13.77	9.06	8.99	100.00	0.00
TX	665.00	14.64	14.53	11.73	11.36	51.00	14.00
UT	23.00	23.35	19.51	3.34	3.29	66.00	13.00
VA	99.00	10.95	10.98	7.70	7.62	17.00	26.00
WA	15.00	3.74	4.23	4.72	4.69	NA	7.00
WY	5.00	9.98	11.63	4.58	4.55	89.00	10.00
