"height","weight","male","earn","earnk","ethnicity","education","mother_education","father_education","walk","exercise","smokenow","tense","angry","age"
74,210,1,50000,50,"White",16,16,16,3,3,2,0,0,45
66,125,0,60000,60,"White",16,16,16,6,5,1,0,0,58
64,126,0,30000,30,"White",16,16,16,8,1,2,1,1,29
65,200,0,25000,25,"White",17,17,NA,8,1,2,0,0,57
63,110,0,50000,50,"Other",16,16,16,5,6,2,0,0,91
68,165,0,62000,62,"Black",18,18,18,1,1,2,2,2,54
63,190,0,51000,51,"White",17,17,17,3,1,2,4,4,39
64,125,0,9000,9,"White",15,15,15,7,4,1,4,4,26
62,200,0,29000,29,"White",12,12,12,2,2,2,0,0,49
73,230,1,32000,32,"White",17,17,17,7,1,1,0,0,46
72,176,1,2000,2,"Hispanic",15,15,15,8,1,2,0,0,21
72,265,1,35000,35,"White",NA,99,99,1,1,2,0,0,53
72,160,1,27000,27,"White",12,12,12,1,2,2,1,1,26
70,225,1,6530,6.53,"White",16,16,NA,4,1,2,0,0,65
63,107,0,0,0,"White",14,14,14,7,4,2,2,2,50
68,170,1,30000,30,"White",11,NA,NA,7,4,2,0,0,34
68,144,1,12000,12,"White",12,12,12,6,5,2,2,2,27
71,193,1,15000,15,"White",18,18,18,4,6,2,0,0,51
65,250,0,12000,12,"White",12,12,12,5,1,2,1,1,51
66,130,0,20000,20,"White",11,11,11,8,1,1,0,0,45
60,100,0,0,0,"White",12,12,12,4,2,1,7,7,27
65,123,0,25000,25,"White",12,12,12,1,4,1,0,0,41
66,130,0,22000,22,"White",16,16,16,5,1,2,1,1,35
65,120,0,25000,25,"White",16,16,16,5,4,2,1,1,29
71,160,1,20000,20,"White",14,14,14,7,4,2,0,0,22
68,172,1,17000,17,"White",12,12,12,8,1,2,0,0,58
68,135,0,40000,40,"White",14,14,14,8,7,2,1,1,29
70,180,1,44000,44,"White",13,13,13,8,2,2,4,4,44
67,112,0,0,0,"White",9,9,9,1,1,1,0,0,21
64,240,0,7000,7,"Black",12,12,12,8,1,2,4,4,55
73,190,1,53000,53,"Black",13,13,13,6,7,2,2,2,35
64,145,0,5000,5,"Black",12,NA,NA,3,1,1,7,7,23
62,120,0,5000,5,"White",13,13,13,2,1,1,0,0,51
63,114,0,14000,14,"White",14,14,14,5,3,2,0,0,21
69,170,1,45000,45,"White",14,14,14,8,7,2,1,1,36
67,166,1,5500,5.5,"White",14,14,14,6,7,2,0,0,22
66,124,0,40000,40,"White",12,12,12,4,4,2,0,0,41
72,175,1,34000,34,"White",12,12,NA,2,1,2,0,0,45
63,120,0,5000,5,"Black",12,12,12,4,1,1,7,7,23
63,184,0,10000,10,"Black",12,12,12,8,3,2,3,3,35
68,150,1,0,0,"White",11,11,NA,2,7,1,1,1,21
64,150,0,27000,27,"White",16,16,16,2,1,1,0,0,60
73,220,1,62000,62,"White",14,14,NA,8,1,2,2,2,44
67,220,0,15000,15,"White",12,12,12,1,1,2,0,0,69
60,NA,0,0,0,"White",12,12,12,8,1,2,0,0,44
72,180,1,50000,50,"White",16,16,16,5,6,2,1,1,38
68,158,0,0,0,"White",12,NA,NA,3,1,2,0,0,55
77,255,1,41000,41,"White",16,16,16,7,7,2,0,0,33
64,150,0,0,0,"White",10,10,10,8,1,2,0,0,19
64,130,0,15000,15,"White",14,14,14,4,1,2,3,3,25
64,NA,0,25000,25,"White",12,12,12,1,5,2,7,7,33
63,146,0,25000,25,"White",16,16,16,5,1,2,1,1,72
72,185,1,75000,75,"White",17,17,17,8,5,2,4,4,39
68,180,1,27000,27,"White",17,17,17,5,2,2,0,0,31
64,135,0,12000,12,"White",12,12,12,8,1,2,7,7,26
70,168,1,40000,40,"White",12,12,12,7,3,2,0,0,51
61,138,0,7500,7.5,"White",14,14,14,8,1,1,0,0,78
65,115,0,25000,25,"White",12,12,12,7,2,1,0,0,46
67,135,0,30000,30,"Black",14,14,14,8,6,2,7,7,31
65,150,0,21000,21,"White",12,12,12,8,1,1,0,0,57
64,120,0,27000,27,"White",14,14,14,5,1,2,0,0,26
73,165,1,45000,45,"White",16,16,16,7,2,1,0,0,44
67,130,0,3000,3,"White",15,15,15,1,1,2,1,1,65
65,170,0,25000,25,"White",12,12,12,8,7,2,2,2,30
65,140,0,24000,24,"White",12,12,12,1,7,2,1,1,41
67,145,0,32000,32,"White",18,18,18,4,5,1,1,1,29
68,145,0,10000,10,"White",17,17,17,7,2,2,1,1,30
70,150,0,0,0,"White",12,12,12,5,1,2,0,0,57
60,100,0,11000,11,"Hispanic",12,12,12,2,1,2,0,0,21
65,105,0,18700,18.7,"White",13,13,13,5,6,2,0,0,32
62,120,0,20000,20,"White",12,12,12,2,1,1,7,7,29
72,160,1,3500,3.5,"White",10,10,10,4,7,2,0,0,18
67,206,1,13000,13,"Black",8,8,8,8,1,2,5,5,56
70,170,1,25000,25,"White",12,12,12,1,1,2,0,0,65
70,183,1,21000,21,"White",17,17,17,5,5,2,0,0,41
68,150,0,34000,34,"White",17,17,17,5,5,2,2,2,49
66,115,0,5000,5,"Black",12,12,12,7,4,2,1,1,23
60,120,0,6000,6,"White",12,12,12,1,1,1,0,0,65
71,195,1,17000,17,"White",12,12,12,8,7,1,1,1,28
71,140,1,35000,35,"White",12,NA,NA,1,2,1,0,0,32
73,180,1,4000,4,"White",13,13,13,6,6,2,0,0,18
64,115,0,5000,5,"White",16,16,16,8,6,2,1,1,22
68,150,0,14000,14,"White",14,14,14,4,1,2,0,0,55
66,118,0,10000,10,"White",12,12,12,8,1,2,0,0,57
69,155,1,25000,25,"White",16,16,16,2,6,2,4,4,29
63,126,0,0,0,"White",8,NA,8,1,1,1,0,0,63
70,130,1,87000,87,"White",18,18,18,1,1,2,0,0,60
63,130,0,16000,16,"White",14,14,14,4,6,2,0,0,27
66,123,0,0,0,"Black",13,13,13,8,3,2,1,1,30
66,110,0,15000,15,"White",12,12,12,5,2,2,2,2,33
64,200,0,0,0,"White",12,NA,NA,4,1,2,3,3,26
62,130,1,16000,16,"Hispanic",14,14,NA,1,1,2,0,0,28
66,190,0,25000,25,"White",18,18,18,8,2,2,0,0,67
64,116,0,16500,16.5,"White",14,14,14,8,7,2,5,5,43
68,170,1,15000,15,"White",12,12,12,3,7,1,0,0,73
64,190,0,4000,4,"White",9,9,NA,2,1,2,0,0,68
67,342,0,3840,3.84,"White",9,9,NA,5,1,2,0,0,52
60,90,0,5000,5,"White",6,NA,NA,1,1,2,0,0,78
71,200,1,22000,22,"White",12,12,12,1,6,2,0,0,39
60,135,0,200,0.2,"White",16,16,16,8,1,2,3,3,53
66,140,0,26000,26,"White",16,16,16,2,5,2,3,3,27
66,120,0,2500,2.5,"White",15,15,15,1,1,2,2,2,21
65,125,0,17000,17,"White",14,14,14,1,1,2,0,0,39
63,112,0,25000,25,"White",16,16,16,4,5,2,0,0,35
70,130,0,8000,8,"White",13,13,13,8,7,2,1,1,22
68,215,1,25000,25,"White",12,NA,12,1,3,2,0,0,31
65,98,0,0,0,"White",13,13,13,7,1,2,0,0,63
66,138,0,12000,12,"White",13,13,13,4,1,1,0,0,68
62,123,0,10000,10,"White",12,12,12,8,6,1,0,0,47
60,105,0,5000,5,"White",8,8,8,7,1,2,0,0,77
76,220,1,1e+05,100,"White",16,16,16,3,6,2,0,0,51
66,140,0,10000,10,"White",15,15,15,8,1,1,2,2,67
64,173,0,0,0,"White",14,14,14,4,1,1,0,0,38
72,185,1,15000,15,"White",12,12,12,8,2,2,0,0,39
66,190,0,45000,45,"Other",12,12,12,8,6,2,0,0,43
69,190,1,15000,15,"Black",11,NA,NA,4,4,2,0,0,73
67,115,0,2400,2.4,"Hispanic",8,8,8,8,4,1,1,1,39
68,150,1,30000,30,"Hispanic",12,12,12,4,6,2,2,2,32
70,150,1,30000,30,"White",12,12,12,5,6,2,1,1,33
62,125,0,10000,10,"White",12,12,12,6,4,2,5,5,38
63,137,0,5000,5,"White",13,13,13,7,2,1,0,0,26
66,125,0,12000,12,"White",13,13,13,1,1,2,5,5,63
70,80,0,20000,20,"White",10,10,10,2,1,2,0,0,61
68,160,0,20000,20,"White",12,12,12,3,1,2,1,1,36
70,160,1,20000,20,"White",14,14,14,8,7,2,0,0,23
65,125,0,25000,25,"White",18,18,18,8,7,2,1,1,57
68,110,0,5000,5,"White",8,NA,NA,1,4,2,0,0,82
66,133,0,0,0,"White",12,12,12,3,1,2,4,4,59
71,180,1,25000,25,"White",18,18,18,8,1,2,0,0,76
66,135,0,1200,1.2,"White",12,12,12,7,7,2,2,2,20
62,130,0,5000,5,"White",12,12,NA,6,4,2,0,0,69
68,120,0,700,0.7,"White",16,16,16,4,5,2,0,0,32
70,150,1,20000,20,"White",16,16,16,1,4,1,0,0,27
61,110,0,10000,10,"Hispanic",12,12,12,8,6,1,0,0,22
63,128,0,30000,30,"White",12,12,12,7,7,2,0,0,73
72,185,1,25000,25,"Hispanic",8,NA,NA,8,1,2,0,0,63
64,200,0,40000,40,"White",14,14,NA,8,7,2,0,0,56
67,155,1,25000,25,"White",12,NA,NA,8,7,2,0,0,89
66,135,0,45000,45,"White",18,18,18,5,2,2,0,0,65
61,130,0,10000,10,"White",17,17,17,7,1,2,0,0,79
69,132,0,60000,60,"White",18,18,18,8,1,2,0,0,63
62,103,0,45000,45,"White",12,12,12,8,1,2,0,0,56
64,150,0,0,0,"White",12,NA,NA,4,7,2,3,3,21
68,130,0,18000,18,"White",12,12,12,7,1,1,0,0,66
60,128,0,15000,15,"White",12,NA,NA,4,5,2,5,5,74
71,155,1,50000,50,"White",18,18,18,8,3,2,1,1,42
64,155,0,16040,16.04,"White",12,NA,NA,8,1,2,3,3,33
67,140,0,15000,15,"Black",14,14,14,8,1,1,7,7,30
69,160,1,10000,10,"White",17,17,NA,1,7,2,2,2,23
67,185,0,33000,33,"White",13,13,13,2,1,2,0,0,43
68,130,0,18000,18,"White",12,12,12,7,7,2,0,0,30
63,105,0,15000,15,"White",12,12,12,7,1,2,7,7,37
71,145,1,21000,21,"White",12,NA,12,4,7,2,0,0,22
64,124,0,21000,21,"Black",17,17,17,3,1,2,0,0,43
68,170,1,37000,37,"White",11,11,11,4,4,2,2,2,37
68,126,0,38000,38,"White",17,17,17,7,6,2,2,2,44
66,142,0,17000,17,"Hispanic",14,14,14,4,4,1,0,0,43
66,130,0,0,0,"White",12,12,12,4,3,1,2,2,29
66,130,0,0,0,"Other",16,16,16,8,2,2,0,0,32
60,100,0,15000,15,"White",16,16,16,1,1,2,1,1,91
77,210,1,32000,32,"White",16,16,16,1,7,2,1,1,30
67,160,0,27500,27.5,"White",12,12,12,4,1,2,0,0,58
66,140,1,15000,15,"White",12,NA,NA,8,1,1,0,0,76
62,120,0,16500,16.5,"White",12,12,12,8,1,1,3,3,44
64,118,0,0,0,"White",17,17,17,8,6,2,5,5,30
72,175,0,0,0,"White",12,12,12,7,1,2,2,2,51
67,150,0,25000,25,"White",18,18,18,7,5,2,1,1,35
61,116,0,27000,27,"White",18,18,18,4,7,2,2,2,43
64,220,0,5000,5,"White",12,NA,12,5,1,1,7,7,28
62,125,0,70000,70,"White",16,16,16,8,1,2,0,0,38
63,150,0,5000,5,"White",12,12,12,4,5,2,2,2,40
68,135,1,5000,5,"White",16,16,16,1,4,2,1,1,24
69,158,1,62000,62,"Other",18,18,18,4,1,2,1,1,30
64,160,0,15000,15,"Black",12,12,12,8,1,1,0,0,59
64,158,0,20000,20,"White",15,15,15,8,4,1,0,0,26
72,185,1,4000,4,"White",15,15,15,4,5,1,2,2,21
72,172,1,75000,75,"White",12,12,12,7,6,2,0,0,39
64,130,0,60000,60,"White",16,16,16,5,1,2,2,2,35
61,150,0,5000,5,"White",13,13,13,8,1,2,7,7,31
74,230,1,30000,30,"White",12,12,12,7,4,1,3,3,38
70,165,1,70000,70,"White",14,14,14,5,4,1,2,2,35
64,115,0,5000,5,"White",16,16,16,8,1,2,0,0,60
71,195,1,50000,50,"White",16,16,16,8,4,1,0,0,41
63,120,0,44000,44,"White",12,12,12,8,6,1,0,0,39
73,215,1,40000,40,"White",18,18,18,4,4,1,0,0,40
64,133,0,30000,30,"White",14,14,14,4,7,2,2,2,43
73,200,1,15000,15,"Black",14,14,NA,8,7,2,2,2,24
63,150,0,35000,35,"White",15,15,15,6,1,2,0,0,31
62,130,0,0,0,"White",16,16,16,5,1,2,6,6,32
62,140,0,10000,10,"White",16,16,16,3,1,2,7,7,40
70,170,0,23000,23,"White",17,17,17,6,3,2,5,5,42
62,115,0,0,0,"White",12,12,12,1,1,2,7,7,39
71,175,1,45000,45,"White",17,17,17,6,1,2,0,0,62
71,170,1,15000,15,"White",14,14,14,8,6,1,0,0,31
70,169,0,4000,4,"White",14,14,14,8,1,2,0,0,71
67,160,1,17000,17,"White",14,14,14,1,6,2,0,0,31
64,130,0,30000,30,"White",12,12,12,6,4,2,3,3,32
67,112,0,27500,27.5,"White",12,12,12,3,3,1,1,1,30
62,140,0,5688,5.688,"White",8,8,NA,6,1,2,3,3,69
62,137,0,18000,18,"Hispanic",13,13,13,6,1,2,0,0,56
67,170,1,35000,35,"White",14,14,14,6,7,2,3,3,36
66,160,0,45000,45,"White",17,17,17,8,1,2,0,0,32
68,185,1,43000,43,"Black",13,13,13,7,1,2,7,7,44
62,140,0,32000,32,"Black",14,14,14,6,2,2,1,1,44
62,118,0,25000,25,"Black",12,12,NA,7,7,2,0,0,20
66,148,0,0,0,"Black",5,5,NA,6,1,2,1,1,51
68,165,0,10000,10,"Black",18,18,18,3,2,2,4,4,56
65,130,0,50000,50,"Hispanic",12,12,12,8,1,2,1,1,38
74,160,1,15000,15,"White",12,12,12,2,5,1,3,3,20
74,185,1,60000,60,"White",13,13,13,8,3,1,0,0,45
71,175,1,30000,30,"White",15,15,15,1,1,2,0,0,23
68,150,0,21000,21,"Other",12,12,12,8,4,2,5,5,50
62,110,0,2400,2.4,"White",16,16,16,3,4,2,7,7,22
68,240,0,5000,5,"White",10,10,10,8,7,1,0,0,50
62,150,0,35000,35,"Black",15,15,15,2,1,2,2,2,42
66,136,0,1000,1,"White",15,15,15,5,7,2,0,0,28
68,170,1,27000,27,"White",12,12,12,8,1,1,3,3,27
60,115,0,6600,6.6,"Hispanic",14,14,14,8,6,1,2,2,28
68,164,1,16000,16,"White",8,8,8,4,1,2,2,2,43
72,185,1,90000,90,"White",12,12,12,8,7,2,6,6,26
66,185,0,8000,8,"White",12,12,NA,5,2,1,0,0,42
68,150,1,20000,20,"White",10,NA,NA,1,1,2,0,0,32
68,130,0,15000,15,"White",12,12,12,6,7,1,5,5,18
69,180,0,12000,12,"White",12,12,12,8,1,2,0,0,60
63,170,0,25000,25,"White",9,9,NA,8,2,2,2,2,67
64,128,0,24000,24,"White",16,16,16,7,3,2,0,0,46
65,175,0,20000,20,"White",14,14,14,8,3,2,0,0,39
61,128,0,19000,19,"White",12,12,12,8,1,2,0,0,46
71,180,1,25000,25,"White",8,NA,8,3,1,1,0,0,53
72,172,1,10000,10,"White",12,12,12,8,1,2,0,0,49
66,125,0,40000,40,"White",16,16,16,8,1,1,1,1,34
69,175,1,62000,62,"Black",8,NA,NA,1,1,2,0,0,35
63,105,0,25000,25,"Black",13,13,13,7,6,2,3,3,38
62,NA,0,0,0,"White",10,10,NA,8,1,1,6,6,57
60,145,0,0,0,"Hispanic",10,10,NA,8,1,2,0,0,48
62,138,0,10000,10,"White",8,NA,NA,2,1,2,0,0,88
68,160,1,25000,25,"White",14,14,14,8,1,2,0,0,64
70,150,1,25000,25,"White",12,12,NA,4,6,2,0,0,24
71,165,1,25000,25,"White",14,14,14,4,5,1,0,0,32
71,209,1,19000,19,"White",16,16,16,8,4,2,4,4,61
68,210,1,44000,44,"White",16,16,16,4,4,2,2,2,48
66,145,0,0,0,"White",12,12,12,8,6,2,0,0,19
63,140,0,0,0,"White",18,18,18,8,1,1,0,0,55
60,105,0,15000,15,"White",14,14,14,8,2,1,0,0,49
63,137,0,17000,17,"White",12,12,NA,5,1,2,5,5,36
68,150,1,24000,24,"White",12,12,12,1,1,2,0,0,56
70,150,1,50000,50,"White",16,16,16,8,6,2,0,0,38
64,170,0,23000,23,"White",12,12,12,8,1,2,7,7,37
70,143,1,13000,13,"White",12,12,12,8,7,2,0,0,74
66,178,0,20000,20,"Black",NA,NA,NA,8,1,2,0,0,72
66,NA,0,45000,45,"White",12,12,12,4,7,1,7,7,49
68,180,1,65000,65,"White",16,16,16,1,6,2,1,1,46
61,135,0,7000,7,"White",12,12,NA,4,1,2,3,3,63
68,180,1,40000,40,"White",18,18,18,8,2,2,0,0,63
66,145,0,15000,15,"White",17,17,17,7,1,2,3,3,43
70,164,1,20000,20,"White",16,16,16,5,5,2,0,0,25
68,150,1,25000,25,"White",6,NA,NA,1,1,1,0,0,77
71,175,1,20000,20,"White",12,12,12,8,2,2,7,7,50
63,175,1,5000,5,"White",9,NA,9,2,1,2,0,0,67
65,195,0,20000,20,"White",12,12,12,8,1,2,0,0,42
66,150,0,25000,25,"White",12,12,12,3,1,2,0,0,49
64,110,0,15000,15,"White",14,14,14,8,6,2,0,0,20
70,195,1,49000,49,"White",13,13,13,7,7,1,0,0,37
70,165,1,25000,25,"White",8,8,8,8,7,1,0,0,24
64,102,0,0,0,"White",12,NA,12,3,1,2,3,3,36
63,150,0,0,0,"White",16,16,16,6,4,2,7,7,35
62,158,0,25000,25,"White",12,12,12,5,1,2,0,0,65
65,160,0,30000,30,"White",12,12,12,5,1,2,0,0,67
66,142,0,25000,25,"White",12,12,12,8,1,2,1,1,62
60,125,0,35000,35,"White",16,16,16,8,1,2,0,0,72
66,128,0,11000,11,"White",14,14,14,7,1,2,0,0,57
61,160,0,16000,16,"White",15,15,15,3,7,2,1,1,38
72,145,1,35000,35,"White",14,14,14,1,7,2,2,2,43
74,240,1,125000,125,"White",18,18,18,4,1,2,7,7,45
67,185,0,23000,23,"White",12,12,12,3,1,1,2,2,47
66,170,0,17000,17,"White",16,16,16,1,1,2,1,1,28
62,125,0,0,0,"White",13,13,13,2,2,1,7,7,31
62,115,0,27000,27,"White",12,12,12,2,1,2,3,3,41
72,180,1,70000,70,"White",14,14,14,8,7,2,0,0,32
65,170,0,35000,35,"White",15,15,15,8,1,2,0,0,47
60,150,0,10000,10,"White",12,12,12,1,1,1,3,3,62
64,107,0,15000,15,"White",13,NA,13,8,4,1,4,4,30
62,135,0,35000,35,"White",15,15,15,6,6,2,0,0,39
66,130,0,15000,15,"White",12,12,12,8,5,2,1,1,38
64,250,0,12000,12,"White",12,12,12,7,6,2,0,0,39
