"","earn","height1","height2","sex","race","hisp","ed","yearbn","height","age","age_category","eth","male"
"3",50000,6,2,1,1,2,16,45,74,45,2,3,1
"4",60000,5,6,2,1,2,16,32,66,58,3,3,0
"5",30000,5,4,2,1,2,16,61,64,29,1,3,0
"9",51000,5,3,2,1,2,17,51,63,39,2,3,0
"10",9000,5,4,2,1,2,15,64,64,26,1,3,0
"11",29000,5,2,2,1,2,12,41,62,49,2,3,0
"12",32000,6,1,1,1,2,17,44,73,46,2,3,1
"13",2000,6,0,1,1,1,15,69,72,21,1,2,1
"15",27000,6,0,1,1,2,12,64,72,26,1,3,1
"16",6530,5,10,1,1,2,16,25,70,65,3,3,1
"17",0,5,3,2,1,2,14,40,63,50,3,3,0
"18",30000,5,8,1,1,2,11,56,68,34,1,3,1
"19",12000,5,8,1,1,2,12,63,68,27,1,3,1
"21",12000,5,5,2,1,2,12,39,65,51,3,3,0
"23",0,5,0,2,1,2,12,63,60,27,1,3,0
"26",22000,5,6,2,1,2,16,55,66,35,2,3,0
"29",17000,5,8,1,1,2,12,32,68,58,3,3,1
"30",40000,5,8,2,1,2,14,61,68,29,1,3,0
"31",44000,5,10,1,1,2,13,46,70,44,2,3,1
"32",0,5,7,2,1,2,9,69,67,21,1,3,0
"33",7000,5,4,2,2,2,12,35,64,55,3,1,0
"34",53000,6,1,1,2,2,13,55,73,35,2,1,1
"36",5000,5,2,2,1,2,13,39,62,51,3,3,0
"38",14000,5,3,2,1,2,14,69,63,21,1,3,0
"40",5500,5,7,1,1,2,14,68,67,22,1,3,1
"41",40000,5,6,2,1,2,12,49,66,41,2,3,0
"42",34000,6,0,1,1,2,12,45,72,45,2,3,1
"45",10000,5,3,2,2,2,12,55,63,35,2,1,0
"46",0,5,8,1,1,2,11,69,68,21,1,3,1
"47",27000,5,4,2,1,2,16,30,64,60,3,3,0
"50",0,5,0,2,1,2,12,46,60,44,2,3,0
"51",50000,6,0,1,1,2,16,52,72,38,2,3,1
"52",0,5,8,2,1,2,12,35,68,55,3,3,0
"53",41000,6,5,1,1,2,16,57,77,33,1,3,1
"54",0,5,4,2,1,2,10,71,64,19,1,3,0
"55",15000,5,4,2,1,2,14,65,64,25,1,3,0
"56",25000,5,4,2,1,2,12,57,64,33,1,3,0
"58",75000,6,0,1,1,2,17,51,72,39,2,3,1
"60",27000,5,8,1,1,2,17,59,68,31,1,3,1
"61",12000,5,4,2,1,2,12,64,64,26,1,3,0
"63",7500,5,1,2,1,2,14,12,61,78,3,3,0
"67",30000,5,7,2,2,2,14,59,67,31,1,1,0
"68",21000,5,5,2,1,2,12,33,65,57,3,3,0
"69",27000,5,4,2,1,2,14,64,64,26,1,3,0
"71",3000,5,7,2,1,2,15,25,67,65,3,3,0
"72",25000,5,5,2,1,2,12,60,65,30,1,3,0
"73",24000,5,5,2,1,2,12,49,65,41,2,3,0
"74",32000,5,7,2,1,2,18,61,67,29,1,3,0
"77",10000,5,8,2,1,2,17,60,68,30,1,3,0
"78",0,5,10,2,1,2,12,33,70,57,3,3,0
"79",11000,5,0,2,1,1,12,69,60,21,1,2,0
"80",18700,5,5,2,1,2,13,58,65,32,1,3,0
"81",20000,5,2,2,1,2,12,61,62,29,1,3,0
"82",3500,6,0,1,1,2,10,72,72,18,1,3,1
"84",13000,5,7,1,2,2,8,34,67,56,3,1,1
"86",25000,5,10,1,1,2,12,25,70,65,3,3,1
"87",21000,5,10,1,1,2,17,49,70,41,2,3,1
"88",34000,5,8,2,1,2,17,41,68,49,2,3,0
"91",6000,5,0,2,1,2,12,25,60,65,3,3,0
"92",17000,5,11,1,1,2,12,62,71,28,1,3,1
"94",35000,5,11,1,1,2,12,58,71,32,1,3,1
"95",4000,6,1,1,1,2,13,72,73,18,1,3,1
"97",14000,5,8,2,1,2,14,35,68,55,3,3,0
"98",10000,5,6,2,1,2,12,33,66,57,3,3,0
"100",25000,5,9,1,1,2,16,61,69,29,1,3,1
"101",0,5,3,2,1,2,8,27,63,63,3,3,0
"104",16000,5,3,2,1,2,14,63,63,27,1,3,0
"105",0,5,6,2,2,2,13,60,66,30,1,1,0
"107",0,5,4,2,1,2,12,64,64,26,1,3,0
"108",16000,5,2,1,1,1,14,62,62,28,1,2,1
"110",16500,5,4,2,1,2,14,47,64,43,2,3,0
"112",4000,5,4,2,1,2,9,22,64,68,3,3,0
"113",3840,5,7,2,1,2,9,38,67,52,3,3,0
"115",22000,5,11,1,1,2,12,51,71,39,2,3,1
"116",200,5,0,2,1,2,16,37,60,53,3,3,0
"117",26000,5,6,2,1,2,16,63,66,27,1,3,0
"118",2500,5,6,2,1,2,15,69,66,21,1,3,0
"119",17000,5,5,2,1,2,14,51,65,39,2,3,0
"121",8000,5,10,2,1,2,13,68,70,22,1,3,0
"123",0,5,5,2,1,2,13,27,65,63,3,3,0
"124",12000,5,6,2,1,2,13,22,66,68,3,3,0
"125",10000,5,2,2,1,2,12,43,62,47,2,3,0
"128",10000,5,6,2,1,2,15,23,66,67,3,3,0
"129",0,5,4,2,1,2,14,52,64,38,2,3,0
"130",15000,6,0,1,1,2,12,51,72,39,2,3,1
"136",2400,5,7,2,1,1,8,51,67,39,2,2,0
"137",30000,5,8,1,1,1,12,58,68,32,1,2,1
"138",30000,5,10,1,1,2,12,57,70,33,1,3,1
"139",10000,5,2,2,1,2,12,52,62,38,2,3,0
"141",5000,5,3,2,1,2,13,64,63,26,1,3,0
"142",12000,5,6,2,1,2,13,27,66,63,3,3,0
"143",20000,5,10,2,1,2,10,29,70,61,3,3,0
"144",20000,5,8,2,1,2,12,54,68,36,2,3,0
"145",20000,5,10,1,1,2,14,67,70,23,1,3,1
"148",0,5,6,2,1,2,12,31,66,59,3,3,0
"150",1200,5,6,2,1,2,12,70,66,20,1,3,0
"152",700,5,8,2,1,2,16,58,68,32,1,3,0
"153",20000,5,10,1,1,2,16,63,70,27,1,3,1
"154",10000,5,1,2,1,1,12,68,61,22,1,2,0
"155",30000,5,3,2,1,2,12,17,63,73,3,3,0
"157",40000,5,4,2,1,2,14,34,64,56,3,3,0
"161",10000,5,1,2,1,2,17,11,61,79,3,3,0
"162",60000,5,9,2,1,2,18,27,69,63,3,3,0
"164",0,5,4,2,1,2,12,69,64,21,1,3,0
"165",18000,5,8,2,1,2,12,24,68,66,3,3,0
"168",16040,5,4,2,1,2,12,57,64,33,1,3,0
"169",15000,5,7,2,2,2,14,60,67,30,1,1,0
"170",10000,5,9,1,1,2,17,67,69,23,1,3,1
