"","post_test","pre_test","grade","treatment","supp","pair_id"
"1",48.9,13.8,1,1,1,1
"2",70.5,16.5,1,1,0,2
"3",89.7,18.5,1,1,1,3
"4",44.2,8.8,1,1,0,4
"5",77.5,15.3,1,1,1,5
"6",84.7,15,1,1,0,6
"7",78.9,19.4,1,1,0,7
"8",86.8,15,1,1,1,8
"9",60.8,11.8,1,1,1,9
"10",75.7,16.4,1,1,1,10
"11",95.1,16.2,1,1,1,11
"12",81.6,55.1,2,1,0,12
"13",101.2,73.1,2,1,0,13
"14",66.4,51.4,2,1,0,14
"15",96.2,62.3,2,1,1,15
"16",101.3,69.7,2,1,1,16
"17",108.9,70.9,2,1,1,17
"18",114.6,82.5,2,1,1,18
"19",111.7,83.9,2,1,1,19
"20",97.3,69.8,2,1,0,20
"21",96.5,69.2,2,1,1,21
"22",94.9,75.1,2,1,1,22
"23",104.8,68.2,2,1,1,23
"24",104.5,83.5,2,1,0,24
"25",108.3,71.7,2,1,0,25
"26",92.8,77.6,3,1,1,26
"27",104.9,96.5,3,1,1,27
"28",88.9,64.2,3,1,1,28
"29",109.9,88.3,3,1,0,29
"30",98.9,88.6,3,1,1,30
"31",113.1,102.4,3,1,0,31
"32",114.1,105,3,1,1,32
"33",114,101.4,3,1,1,33
"34",114,102.6,3,1,1,34
"35",92.4,76.4,3,1,1,35
"36",116.2,105.9,4,1,1,36
"37",116.9,100.8,4,1,0,37
"38",106.9,91.7,4,1,0,38
"39",104.6,97.5,4,1,0,39
"40",114.2,106.5,4,1,0,40
"41",113.6,107.4,4,1,1,41
"42",116.6,111.4,4,1,1,42
"43",114.8,110,4,1,1,43
"44",114.9,106.9,4,1,1,44
"45",111,106.7,4,1,0,45
"46",113.9,104.1,4,1,1,46
"47",60.6,12,1,1,0,47
"48",55.5,12.3,1,1,1,48
"49",84.8,17.2,1,1,1,49
"50",84.9,14.6,1,1,1,50
"51",101.9,18.9,1,1,1,51
"52",70.6,15.3,1,1,0,52
"53",78.4,16.6,1,1,0,53
"54",84.2,16,1,1,1,54
"55",108.6,20.1,1,1,1,55
"56",76.6,16.4,1,1,1,56
"57",101.9,80.3,2,1,1,57
"58",100.1,76.6,2,1,0,58
"59",91.7,70.1,2,1,1,59
"60",92.5,60.9,2,1,0,60
"61",94.4,72.3,2,1,0,61
"62",101.3,78.6,2,1,1,62
"63",102.2,77.4,2,1,1,63
"64",100.6,71.8,2,1,1,64
"65",113.8,93,2,1,1,65
"66",114.3,97.7,2,1,0,66
"67",87.9,65.7,2,1,0,67
"68",105.6,80.4,2,1,1,68
"69",102.5,75.6,2,1,1,69
"70",93.6,68.4,2,1,1,70
"71",109.2,83.3,2,1,1,71
"72",111.2,93.7,2,1,0,72
"73",106.4,87.3,2,1,0,73
"74",110.6,95.2,2,1,0,74
"75",112.1,80.4,2,1,1,75
"76",113.3,85.4,2,1,1,76
"77",111.1,98,3,1,1,77
"78",98.9,83.3,3,1,1,78
"79",112.2,100.8,3,1,1,79
"80",114.5,103.8,3,1,0,80
"81",110.3,100.7,3,1,1,81
"82",103.7,97,3,1,0,82
"83",110.8,97.3,3,1,0,83
"84",108.9,94.5,3,1,1,84
"85",109.6,97.7,3,1,1,85
"86",107.2,93.9,3,1,1,86
"87",115.6,109.7,4,1,0,87
"88",116.2,110.6,4,1,1,88
"89",119.6,115.2,4,1,0,89
"90",109.6,101.9,4,1,1,90
"91",122,119.8,4,1,1,91
"92",109.7,108.8,4,1,1,92
"93",112.4,104.6,4,1,1,93
"94",115.5,111.1,4,1,1,94
"95",119.7,115.5,4,1,0,95
"96",111.5,107.2,4,1,0,96
"97",52.3,12.3,1,0,NA,1
"98",55,14.4,1,0,NA,2
"99",80.4,17.7,1,0,NA,3
"100",47,11.5,1,0,NA,4
"101",69.7,16.4,1,0,NA,5
"102",74.1,16.8,1,0,NA,6
"103",72.7,18.7,1,0,NA,7
"104",97.3,18.2,1,0,NA,8
"105",74.1,15.4,1,0,NA,9
"106",76.3,18.7,1,0,NA,10
"107",84.5,17.1,1,0,NA,11
"108",69.1,50.3,2,0,NA,12
"109",77,63.3,2,0,NA,13
"110",72.9,50.6,2,0,NA,14
"111",94.4,66.4,2,0,NA,15
"112",98,73.7,2,0,NA,16
"113",82.4,46,2,0,NA,17
"114",104.9,88.6,2,0,NA,18
"115",102.4,78.4,2,0,NA,19
"116",95.3,61.1,2,0,NA,20
"117",89.5,68.9,2,0,NA,21
"118",80,66.6,2,0,NA,22
"119",96.9,67.5,2,0,NA,23
"120",102.9,87.3,2,0,NA,24
"121",68.9,40.8,2,0,NA,25
"122",110.6,103.7,3,0,NA,26
"123",107.6,95.4,3,0,NA,27
"124",90.5,68.6,3,0,NA,28
"125",105.8,91.1,3,0,NA,29
"126",110.6,97.8,3,0,NA,30
"127",111.3,100.6,3,0,NA,31
"128",107.1,99.6,3,0,NA,32
"129",105.8,98.7,3,0,NA,33
"130",111,104,3,0,NA,34
"131",91.7,78,3,0,NA,35
"132",95.5,81.2,4,0,NA,36
"133",109.4,102.5,4,0,NA,37
"134",94,78.4,4,0,NA,38
"135",101,91.9,4,0,NA,39
"136",115.3,110.3,4,0,NA,40
"137",110.6,104.9,4,0,NA,41
"138",96,89.7,4,0,NA,42
"139",111.7,106.2,4,0,NA,43
"140",115.9,106.2,4,0,NA,44
"141",113.9,111.9,4,0,NA,45
"142",114.4,109.4,4,0,NA,46
"143",54.6,11.9,1,0,NA,47
"144",56.5,15.1,1,0,NA,48
"145",75.2,16.8,1,0,NA,49
"146",71.1,15.8,1,0,NA,50
"147",75.6,15.8,1,0,NA,51
"148",55.3,13.9,1,0,NA,52
"149",59.3,14.5,1,0,NA,53
"150",87,17,1,0,NA,54
"151",73.7,15.8,1,0,NA,55
"152",52.9,14.3,1,0,NA,56
"153",110.3,90,2,0,NA,57
"154",98.9,81.3,2,0,NA,58
"155",97.2,74.9,2,0,NA,59
"156",97.2,72,2,0,NA,60
"157",67.6,52.2,2,0,NA,61
"158",103.9,81.2,2,0,NA,62
