"","age","gender","race","gayFavorFederalMarriage","gayFavorStateMarriage","gayKnowSomeone"
"1",70,"Female","Hispanic","No",NA,NA
"2",54,"Female","White","No",NA,NA
"3",74,"Male","White","No",NA,NA
"4",73,"Female","Other","Yes","No","No"
"5",48,"Female","White","No","Yes","Yes"
"6",58,"Male","White","No","Yes","Yes"
"7",35,"Female","White","Yes",NA,NA
"8",74,"Female","White","No",NA,NA
"9",63,"Female","White","No","No","No"
"10",64,"Male","White","Yes",NA,NA
"11",29,"Female","White","Yes","No","No"
"12",62,"Female","White","Yes",NA,NA
"13",56,"Male","White","No","Yes","No"
"14",70,"Female",NA,"Yes","No","No"
"15",52,"Female","White","Yes",NA,NA
"16",45,"Female","Black","No","No","Yes"
"17",64,"Female","White","No","No","No"
"18",27,"Male","White","No",NA,NA
"19",26,"Female","White","Yes",NA,NA
"20",42,"Female","White","No","Yes","Yes"
"21",23,"Male","White","Yes",NA,NA
"22",19,"Female","White","Yes","Yes","Yes"
"23",61,"Female","White","Yes",NA,NA
"24",46,"Female","White","No",NA,NA
"25",63,"Male","White","No",NA,NA
"26",54,"Male","White","No","No","No"
"27",24,"Male","Hispanic","No",NA,NA
"28",54,"Female","White","Yes",NA,NA
"29",45,"Female","Hispanic","No",NA,NA
"30",28,"Male","White","Yes","No","No"
"31",53,"Female","White","No",NA,NA
"32",25,"Female","White","No",NA,NA
"33",40,"Female","White","No",NA,NA
"34",NA,"Male","White","Yes",NA,NA
"35",19,"Male","White","No","Yes","Yes"
"36",67,"Female","Other","No",NA,NA
"37",47,"Male","White","No","No","Yes"
"38",45,"Male","White","Yes",NA,NA
"39",66,"Female","White","Yes",NA,NA
"40",77,"Female","Hispanic","No",NA,NA
"41",61,"Male","White","No","Yes","Yes"
"42",59,"Male","White","No","No","No"
"43",37,"Female","White","Yes",NA,NA
"44",39,"Male","White","Yes",NA,NA
"45",80,"Female","White","Yes",NA,NA
"46",67,"Male","White","No","Yes","No"
"47",31,"Female","White","Yes",NA,NA
"48",49,"Male","White","Yes","No","No"
"49",61,"Male","White","No",NA,NA
"50",85,"Male","Other","No",NA,NA
"51",51,"Male","White","No",NA,NA
"52",41,"Male","White","Yes","No","Yes"
"53",45,"Male","White","No","No","Yes"
"54",29,"Female","Other","No",NA,NA
"55",34,"Male","White","No",NA,NA
"56",58,"Male","White","No",NA,NA
"57",69,"Female","White","Yes",NA,NA
"58",19,"Male","White","No",NA,NA
"59",78,"Male","White","No","Yes","Yes"
"60",40,"Male","White","Yes",NA,NA
"61",39,"Male","White","Yes",NA,NA
"62",41,"Male","White","Yes",NA,NA
"63",68,"Male","White","No","No","No"
"64",23,"Female","Hispanic","Yes",NA,NA
"65",29,"Male","Other","No","No","No"
"66",42,"Male","Other","No",NA,NA
"67",37,"Female","White","No",NA,NA
"68",27,"Female","Other","No",NA,NA
"69",21,"Female","White","No",NA,NA
"70",69,"Female","White","No",NA,NA
"71",47,"Male","White","No","No","Yes"
"72",69,"Male","White","Yes",NA,NA
"73",36,"Female","Hispanic","No",NA,NA
"74",35,"Female","White","No",NA,NA
"75",38,"Female","White","Yes","No","Yes"
"76",33,"Male","White","No","Yes","Yes"
"77",41,"Female","White","No",NA,NA
"78",87,"Female","White","No",NA,NA
"79",19,"Male","White","No",NA,NA
"80",36,"Male","White","Yes","No","No"
"81",NA,"Female","White","Yes",NA,NA
"82",48,"Male","White","No","Yes","Yes"
"83",83,"Female","White","No",NA,NA
"84",58,"Male","White","No",NA,NA
"85",54,"Male","White","Yes",NA,NA
"86",36,"Female","White","No",NA,NA
"87",23,"Male","Hispanic","Yes",NA,NA
"88",55,"Male","Black","No",NA,NA
"89",39,"Male","White","No",NA,NA
"90",43,"Female","White","No",NA,NA
"91",18,"Female","White","Yes","No","No"
"92",30,"Male","White","No","Yes","No"
"93",42,"Female","White","No",NA,NA
"94",55,"Male","White","No",NA,NA
"95",37,"Female","White","Yes",NA,NA
"96",60,"Female","White","Yes",NA,NA
"97",24,"Male","White","Yes","No","Yes"
"98",67,"Male","White","Yes",NA,NA
"99",84,"Female","White","Yes",NA,NA
"100",62,"Male","White","No",NA,NA
"101",25,"Male","White","No","Yes","No"
"102",69,"Male","White","Yes",NA,NA
"103",18,"Female","White","No",NA,NA
"104",57,"Female","White","Yes",NA,NA
"105",84,"Female","White","No",NA,NA
"106",68,"Female","Black","Yes",NA,NA
"107",40,"Female","White","No",NA,NA
"108",26,"Male","Hispanic","No",NA,NA
"109",51,"Male","White","Yes",NA,NA
"110",59,"Female","White","No","No","Yes"
"111",48,"Female","Other","No",NA,NA
"112",29,"Female","White","No",NA,NA
"113",48,"Male","White","No",NA,NA
"114",42,"Male","White","Yes",NA,NA
"115",53,"Male","Hispanic","Yes",NA,NA
"116",60,"Male","White","Yes",NA,NA
"117",30,"Male","White","Yes",NA,NA
"118",49,"Male","White","Yes",NA,NA
"119",26,"Female","Black","No",NA,NA
"120",60,"Female","Hispanic","No",NA,NA
"121",51,"Male","White","No","No","Yes"
"122",47,"Male","Hispanic","No",NA,NA
"123",28,"Male","White","No",NA,NA
"124",63,"Female","White","Yes","No","No"
"125",41,"Female","Hispanic","Yes","Yes","No"
"126",34,"Female","Hispanic","No",NA,NA
"127",31,"Female","White","Yes",NA,NA
