HEALTH CARE ACTIVITIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Doctors' consultations, Number per capita",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,,1998,1999,2000,2001,2002,2003,,2004,2005,2006,2007
Australia,2.7,2.8,2.9,2.9,2.9,2.8,2.8,2.9,3.0,3.2,3.1,3.3,3.3,3.3,3.4,3.6,3.6,3.7,3.8,3.9,4.0,4.5,4.5,5.0,5.1,5.4,5.5,5.7,5.9,6.2,6.1,6.3,6.6,6.8,6.5,6.7,6.8,6.7,,6.6,6.5,6.4,6.4,6.2,6.0,,6.0,6.1,6.1,6.3
Austria,4.3,4.5,4.4,4.7,4.8,4.9,4.9,5.0,5.0,5.2,5.2,5.2,5.2,5.1,5.2,5.3,5.4,5.3,5.3,5.3,5.4,5.4,5.3,5.4,5.4,5.5,5.5,5.6,5.8,5.8,5.9,5.9,6.0,6.1,6.2,6.3,6.3,6.2,,6.5,6.7,6.7,6.7,6.7,6.7,,6.7,6.7,6.7,6.7
Belgium,,,,,,,5.4,5.6,5.6,5.8,6.0,6.0,6.2,6.3,6.4,6.4,6.5,6.4,6.7,6.7,7.1,7.1,7.2,7.2,7.2,7.3,7.3,7.4,7.5,7.6,7.7,7.9,8.0,8.0,7.8,8.0,8.0,7.9,,7.9,7.9,7.9,7.8,7.8,7.8,,7.6,7.5,7.5,7.6
Canada,,,4.0,,,,,,,,,,4.3,4.4,4.6,4.9,4.9,5.0,5.1,5.3,5.6,5.6,5.8,5.9,6.0,6.2,6.4,6.6,6.6,6.8,6.7,6.9,6.9,6.8,6.6,6.5,6.4,6.3,,6.4,6.4,6.3,6.2,6.1,6.1,,5.9,5.9,5.8,
Czech Republic,9.3,,,,,9.8,,,,,9.9,10.4,10.5,11.0,11.4,11.7,11.8,12.0,12.0,12.2,12.4,12.5,12.5,12.8,12.9,12.9,13.2,12.9,12.9,12.7,11.8,11.5,11.0,11.3,12.4,12.5,13.2,12.9,,12.4,12.3,12.6,12.7,12.9,13.0,,13.1,13.2,13.0,12.6
Denmark,,,,,,,,,,,,,,,,,,4.5,4.8,4.9,5.0,5.0,5.1,5.3,5.4,5.2,5.5,5.2,,,5.7,5.8,5.6,5.4,5.5,5.7,5.7,6.7,b,6.8,6.6,6.9,7.0,7.1,7.3,,7.5,,,
Finland,,,,,1.6,1.7,1.7,1.8,2.0,2.2,2.4,2.7,2.8,2.8,3.0,3.0,3.0,3.0,3.0,3.1,3.2,3.3,3.3,3.4,3.4,3.6,3.6,3.6,3.7,3.9,3.9,4.0,3.9,3.9,4.0,4.1,4.3,4.2,,4.2,4.3,4.3,4.3,4.2,4.2,,4.2,4.3,4.3,4.2
France,,,,,,,,,,,,,,,,,,,,,4.2,4.4,4.6,4.8,4.8,5.2,5.4,5.4,5.6,5.7,5.9,6.1,6.2,6.3,6.4,6.4,6.5,6.5,,6.6,6.6,6.9,6.9,6.8,6.8,,6.6,6.6,6.4,6.3
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,5.7,5.9,6.1,6.4,6.7,6.9,,7.1,7.2,7.3,7.5,7.6,7.6,,7.0,7.5,7.4,7.5
Greece,,,1.8,1.5,1.6,1.7,1.8,2.0,2.0,2.1,2.2,2.4,2.5,2.6,2.7,2.5,2.5,2.5,2.5,2.6,2.6,2.7,2.7,3.0,3.1,3.0,,2.7,2.7,2.4,2.5,2.5,2.6,2.7,2.8,2.8,2.8,2.6,,2.5,,,,,,,,,,
