HEALTH EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total expenditure on health, /capita, US$ purchasing power parity",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,,1991,1992,,1993,,1994,1995,,1996,1997,,1998,,1999,,2000,,2001,,2002,,2003,,2004,,2005,,2006,,2007,
Australia,90,,,107,,,128,,,176,,238,253,279,343,438,,467,507,546,586,644,720,753,800,853,930,1000,1035,1085,1140,1203,,1274,1352,,1428,,1517,1610,,1709,1805,,1939,b,2097,,2263,,2383,,2558,,2664,,2870,,2979,,3167,,3357,
Austria,77,86,90,97,103,107,124,139,153,171,196,215,235,266,309,435,,495,546,615,697,783,753,801,836,877,939,1016,1080,1155,1271,1618,b,1716,1831,,1987,,2142,2216,,2281,2416,,2571,,2699,,2824,,2874,,3057,,3200,,3392,,3472,,3608,,3763,
Belgium,,,,,,,,,,,150,167,189,226,260,349,,404,467,530,585,643,749,827,884,918,969,1033,1102,1190,1263,1357,,1487,1576,,1616,,1654,1853,,1923,1969,,2042,,2176,,2377,,2484,,2685,,3059,b,3272,e,3301,b,3356,e,3595,e
Canada,125,137,146,156,165,180,195,213,240,267,301,333,354,376,412,480,,527,570,627,685,780,897,1015,1096,1177,1264,1349,1413,1503,1612,1738,,1876,1969,,2015,,2055,2057,b,2058,2152,,2310,,2416,,2516,,2734,,2876,,3066,,3220,,3464,,3696,,3895,
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,559,,540,568,,767,,817,899,b,917,922,,926,,938,,980,b,1082,,1195,,1339,b,1422,,1477,,1535,,1626,
Denmark,,,,,,,,,,,,361,393,417,490,543,,600,634,701,796,896,994,1096,1135,1169,1256,1294,1382,1452,1486,1544,,1591,1665,,1772,,1856,1871,,1978,2060,,2176,,2281,,2378,,2521,,2696,,2832,b,3055,,3152,,3357,,3512,
Finland,63,68,75,81,91,107,118,134,150,171,185,204,232,255,283,345,,381,418,452,506,571,647,717,777,829,925,979,1058,1115,1221,1366,,1503,1506,,1393,b,1373,1481,b,1552,1606,,1666,,1749,,1853,,1967,,2144,,2254,,2459,,2590,,2709,,2840,
France,69,,,,,117,,,,,194,,,,,369,,,,,,668,,,,,1035,,,,,1449,,1552,1649,,1751,,1812,2101,b,2162,2226,,2309,,2396,,2542,,2718,,2922,,2985,,3115,,3303,,3423,,3601,
Germany,,,,,,,,,,,269,311,353,409,483,572,,638,694,776,857,971,1101,1147,1212,1310,1409,1454,1533,1666,1659,1768,,,1976,b,1992,,2128,2274,,2399,2413,,2483,,2592,,2671,,2808,,2937,,3088,,3160,,3348,,3464,,3588,
Greece,,,,,,,,,,,161,,,,,,,,,,,491,,,,,,,714,690,815,853,,873,973,,1086,,1227,1263,,1301,1354,,1382,,1468,,1449,b,1755,,1965,,2029,,2092,,2352,,2547,,2727,
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,577,615,,628,,709,660,,659,679,,763,b,810,,852,,970,,1114,,1284,b,1305,,1411,,1457,,1388,
Iceland,57,58,67,75,87,94,107,118,159,143,175,226,241,246,319,374,,390,443,537,683,755,881,983,1072,1070,1183,1362,1536,1672,1681,1666,,1748,1736,,1802,,1847,1909,,1977,2114,,2479,,2756,,2736,,2845,,3156,,3196,b,3335,,3304,,3207,,3319,
Ireland,43,44,49,53,55,61,71,83,89,103,117,149,165,183,221,275,b,287,310,374,419,513,547,566,589,613,657,656,679,701,726,791,b,886,1009,,1040,,1119,1203,,1280,1396,,1499,,1626,,1805,,2128,,2367,,2521,,2753,,2831,,3001,,3424,
Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1131,1211,1359,,1471,1522,,1533,,1539,1538,,1612,1728,,1830,,1879,,2052,,2214,,2223,,2271,,2399,,2536,,2673,,2686,
Japan,30,39,45,53,54,73,85,98,115,134,152,169,191,210,245,301,,327,369,426,493,585,661,734,782,805,874,908,965,1013,1058,1125,,1203,1291,,1378,,1477,1551,b,1659,1695,,1747,,1829,,1967,,2080,,2137,,2224,,2337,,2474,,2581,,,
Korea,,,,,,,,,,,,,,,,,,,,,,107,127,143,156,164,180,193,213,254,320,357,,386,434,,453,,493,525,,593,623,,593,,690,,809,,951,,997,,1068,,1155,,1296,,1491,,1688,
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1910,b,1990,1972,,2083,,2384,,2553,,2737,,3081,,3580,b,4080,,4021,,4162,e,,
Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296,,338,377,,401,,421,386,,370,407,,434,b,470,,508,,551,,584,,629,,670,,724,,777,,823,
Netherlands,,,,,,,,,,,,,317,337,387,441,,476,522,579,647,728,802,864,894,926,958,1024,1087,1164,1301,1416,,1517,1603,,1673,,1718,1798,,1862,1916,,2054,b,2178,,2337,,2555,,2833,,3099,b,3310,e,3450,e,3611,e,3837,e
New Zealand,,,,,,,,,,,215,229,249,290,367,424,,417,445,506,509,509,565,638,655,672,640,678,768,855,912,990,,1042,1093,,1112,,1189,1245,,1269,1352,,1451,,1522,,1605,,1708,,1842,,1846,,2043,,2180,,2398,,2454,
Norway,49,55,62,68,73,78,88,96,107,123,144,168,202,228,259,323,,370,421,509,523,668,711,766,847,884,943,1072,1193,1256,1282,1369,,1523,1621,,1664,,1754,1862,,2042,2350,b,2537,,2780,,3039,,3265,,3629,,3837,,4079,,4301,,4507,,4763,
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289,,346,366,,372,,375,411,,478,498,,559,,573,,583,,642,,733,b,748,,808,,857,,920,,1035,
Portugal,,,,,,,,,,,48,56,79,100,113,155,,167,168,191,210,276,326,349,340,350,397,468,497,575,587,636,,754,805,,842,,872,1035,b,1117,1186,,1210,,1329,,1509,b,1568,,1657,,1823,,1912,,2098,,2150,,,
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,564,,584,,599,,603,,665,,730,,792,,1058,b,1139,,1322,,1555,
Spain,16,19,23,27,35,42,50,57,64,80,95,117,137,150,185,212,,250,283,304,322,363,406,444,476,483,496,518,569,684,765,872,,952,1029,,1085,,1114,1193,,1249,1299,,1383,,1450,b,1536,,1636,,1745,,2017,b,2126,,2267,,2466,,2671,
Sweden,,,,,,,,,,,312,346,368,395,455,532,,589,679,743,820,946,1048,1139,1191,1258,1273,1293,1373,1436,1526,1596,,1580,1621,,1660,b,1666,1745,,1861,1887,,1982,,2129,,2283,,2508,b,2697,,2829,,2950,,2958,,3124,,3323,
Switzerland,166,167,171,175,184,199,228,252,277,312,346,393,417,457,537,621,,674,736,792,890,1017,1135,1213,1328,1371,1459,1550,1653,1767,1915,2033,,2226,2358,,2408,,2490,2568,b,2735,2846,,2982,,3073,,3217,,3428,,3673,,3779,,3938,,4015,,4165,,4417,e
Turkey,,,,,,,,,,,,,,,,44,,40,50,60,65,70,85,76,83,86,68,90,103,116,129,155,,168,176,,187,,173,173,,215,250,,295,,372,b,432,,456,,483,,502,,576,,618,,,,,
United Kingdom,84,89,91,98,104,110,119,130,142,148,160,174,191,214,259,294,,320,340,374,412,470,533,563,629,660,692,735,800,857,912,963,,1051,1155,,1209,,1298,1349,,1436,1488,b,1558,,1678,,1833,,2003,,2190,,2324,,2557,,2693,,2885,,2992,
United States,149,155,166,178,195,209,228,253,285,318,356,391,432,474,533,601,,682,767,852,956,1091,1255,1402,1532,1671,1811,1925,2076,2304,2541,2810,,3035,3251,,3447,,3589,3748,,3900,4055,,4236,,4450,,4704,,5053,,5453,,5851,,6194,,6558,,6933,,7290,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
