"earnings","retirement","interest","assistance","other","male","over65","white","immig","educ_r","workmos","workhrs_top","any_ssi","any_welfare","any_charity"
84,0.7,0.2,0,0,1,0,1,1,4,12,40,0,0,0
NA,0,0,0,0,0,0,0,1,4,12,40,0,0,0
27.5,0,0.16,0,0,1,0,0,1,2,10,40,0,0,0
85,12,5,0,NA,1,1,1,0,4,11,8,0,0,0
135,0,0.1,0,0.1,1,0,0,0,4,12,40,0,0,0
0,NA,NA,NA,NA,0,0,0,0,4,0,40,0,0,0
92,0,1.5,0,2,0,0,1,0,4,12,40,0,0,0
0,NA,0,0,0,0,1,0,0,2,0,0,0,0,0
35,0,0.65,0,0,0,0,1,0,4,7,40,0,0,0
27,0,0,0,37,1,0,0,0,3,12,32,0,0,0
0,NA,NA,1,0,1,1,0,0,1,0,0,0,0,0
14.4,0,1,0,0,1,0,1,0,4,8,30,0,0,0
NA,0,0,0,0,0,0,0,1,4,12,35,0,0,0
5,NA,0.5,0,0,0,0,1,0,2,4,5,0,0,0
12.2,0,0,NA,0.5,1,0,0,0,2,6,40,0,0,0
25,0,0.1,0,0,1,0,0,1,3,12,40,0,0,0
80,0,0,0,0,1,0,1,0,2,12,40,0,0,0
250,0,0,0,0,1,0,1,1,2.5,12,40,0,0,0
12,0,0.5,1,0,0,0,1,1,2,12,20,0,0,0
2,0,0,1,3,0,0,0,1,2,6,8,0,0,1
64,0,0.18,0,0,0,0,1,0,4,12,30,0,0,0
15,0,0,0,0,1,0,0,0,2,12,40,0,0,0
40,0,0,0,0.1,0,0,0,0,4,8,40,0,0,0
11.6,0,0,2.2,0.1,0,0,0,0,2,10,40,0,1,0
21,0,0,0,0,0,0,0,1,2,12,40,0,0,0
71,0,0,0,0,0,0,0,1,3,12,40,0,0,0
200,0,100,0,0,1,0,0,0,3,12,40,0,0,0
26.88,0,0,0,0,1,0,0,1,3,12,40,0,0,0
57.5,0,0,0,0,1,0,0,0,2,12,40,0,0,0
0,NA,0,NA,0,0,0,0,0,1,0,40,0,0,0
0,5,0,3.36,0,0,0,0,1,1,0,0,1,0,0
9.6,0,0,0,0.25,0,0,0,1,1,12,39,0,0,0
NA,0,0,NA,0.6,0,0,0,0,1,8,40,1,0,0
39,0,0.1,0,0,0,0,0,0,3,12,40,0,0,0
80,0,0.2,0,0,1,0,1,0,4,12,40,0,0,0
2.4,0,0,0,NA,1,0,0,1,1,3,5,0,0,0
110,0,0.1,0,0,0,0,1,0,3,12,40,0,0,0
12,0,0,2.4,0,0,0,0,1,4,12,20,1,0,0
0,3.5,0,0,0,0,1,0,0,1,0,0,0,0,0
55,0,0,0,0,1,0,0,0,3,12,35,0,0,0
0,NA,NA,NA,0,0,1,1,0,4,0,0,0,0,0
0,0,0,0,0,1,0,0,1,2,0,0,0,0,0
6.5,0,0,0,0,1,0,1,0,3,12,12,0,0,0
0,NA,NA,0,0,0,1,1,0,2,0,0,0,0,0
34,7,0,5.16,0.3,0,0,1,0,3,12,40,1,0,0
37.5,0,0,NA,0,1,0,0,0,1,12,40,0,0,0
130,0,0,0,0.5,0,0,0,0,4,12,35,0,0,0
NA,0,NA,0,NA,0,0,0,0,4,12,40,0,0,0
0.66,0,0,2.4,0.05,0,0,0,0,2,3,40,0,1,0
132,0,NA,0,0.5,0,0,1,0,4,12,40,0,0,0
0,0,0,NA,0,0,0,0,1,2,0,0,1,0,0
NA,0,0,0,0,0,0,1,0,4,12,40,0,0,0
NA,0,0,0,NA,1,0,1,0,1,11,40,0,0,0
76.5,0,0,0,0,1,0,1,0,3,10,40,0,0,0
0,33,0,0,0.25,0,1,0,0,3,0,0,0,0,0
60,0,0,0,7,1,0,1,0,4,12,40,0,0,0
0,NA,0.1,0,0,1,1,0,0,4,0,0,0,0,0
NA,0,NA,0,0,0,0,1,0,4,12,20,0,0,0
