"rr_diff","value","prepay","gift","burden"
3,1.241506,1,0,0
6,2.466235,1,1,0
9,14.713524,0,0,1
4,24.628795,0,0,1
6,43.117169,0,0,1
13,17.313976,0,0,1
10,21.625693,0,0,1
15,43.234608,0,0,1
16,10.26759,0,0,1
-1,5.653886,0,0,1
7,11.324548,0,0,1
12,16.978434,0,0,1
8,23.219518,0,0,1
15,15.938253,0,0,1
12,1.476386,1,0,1
6,1.476386,0,0,1
7,14.763855,0,0,1
11,57.780361,0,0,0
19,115.543946,0,0,0
6,13.841114,0,0,0
0,13.841114,0,0,0
5,13.841114,0,0,0
6,1.694488,1,0,1
13,6.744398,1,0,1
0,59.793614,0,0,1
-6,1.358946,0,0,0
-1,4.06006,0,1,0
5,4.93247,1,1,0
4,4.529819,1,1,1
-9,22.80009,0,0,0
12,20.065422,0,0,1
6,3.372199,0,0,1
10,7.801355,1,0,1
-4,7.801355,0,0,1
-9,4.529819,1,1,1
5,22.80009,1,1,1
-7,22.80009,0,1,1
4,20.065422,0,0,1
5,40.130843,0,0,1
5,20.065422,0,0,1
5,40.130843,0,0,1
5,25.736084,0,0,1
12,40.130843,0,0,1
15,23.924157,0,0,1
0,4.630482,1,0,0
11,29.544488,0,0,1
3,2.466235,1,1,1
-1,6.157199,1,1,1
15,10.049488,0,1,1
1,7.381928,1,1,1
8,5.33512,1,0,0
-7,5.33512,0,0,0
-1,26.725934,0,0,0
0,5.33512,0,0,0
4,10.687018,0,0,0
8,16.038916,0,0,0
14,26.725934,0,0,0
11,37.429729,0,0,0
5,3.204428,1,1,0
13,5.33512,1,0,0
11,10.687018,1,0,0
-4,10.687018,0,0,0
