   sid I    m    r basen    t    f r.dif          v      v.dif    b 
 1  20 0 -0.5 0.75   373  0.0  0.0    NA   0.000000         NA -0.5
 2  20 1 -0.5 0.78   373  0.5 -0.5  0.03   1.241506   1.241506 -0.5
 3  20 1 -0.5 0.81   373  0.5  0.5  0.06   2.466235   2.466235 -0.5
 4  30 0 -0.5 0.63    83  0.0  0.0    NA   0.000000         NA  0.5
 5  30 1 -0.5 0.72    69 -0.5 -0.5  0.09  14.713524  14.713524  0.5
 6  40 0  0.5 0.79   730  0.0  0.0    NA   0.000000         NA  0.5
 7  40 1  0.5 0.83   740 -0.5 -0.5  0.04  24.628795  24.628795  0.5
 8  40 1  0.5 0.84   818 -0.5 -0.5  0.06  43.117169  43.117169  0.5
 9  50 0  0.5 0.70   200  0.0  0.0    NA   0.000000         NA  0.5
10  50 1  0.5 0.83   186 -0.5 -0.5  0.13  17.313976  17.313976  0.5
11  50 1  0.5 0.80   214 -0.5 -0.5  0.10  21.625693  21.625693  0.5
12  50 1  0.5 0.85   191 -0.5 -0.5  0.15  43.234608  43.234608  0.5
13  60 0  0.5 0.58   119  0.0  0.0    NA   0.000000         NA  0.5
14  60 1  0.5 0.74   108 -0.5 -0.5  0.16  10.267590  10.267590  0.5
15  71 0 -0.5 0.35   685  0.0  0.0    NA   0.000000         NA  0.5
16  71 1 -0.5 0.34   233 -0.5 -0.5 -0.01   5.653886   5.653886  0.5
17  71 1 -0.5 0.42   232 -0.5 -0.5  0.07  11.324548  11.324548  0.5
18  71 1 -0.5 0.47   231 -0.5 -0.5  0.12  16.978434  16.978434  0.5
19  80 0  0.5 0.59   333  0.0  0.0    NA   0.000000         NA  0.5
20  80 1  0.5 0.67   227 -0.5 -0.5  0.08  23.219518  23.219518  0.5
21  90 0 -0.5 0.60   252  0.0  0.0    NA   0.000000         NA  0.5
22  90 1 -0.5 0.75   199 -0.5 -0.5  0.15  15.938253  15.938253  0.5
23 100 0  0.5 0.30   233  0.0  0.0    NA   0.000000         NA  0.5
24 100 1  0.5 0.42   242  0.5 -0.5  0.12   1.476386   1.476386  0.5
25 100 1  0.5 0.36   226 -0.5 -0.5  0.06   1.476386   1.476386  0.5
26 100 1  0.5 0.36   244 -0.5 -0.5  0.07  14.763855  14.763855  0.5
27 110 0 -0.5 0.58   137  0.0  0.0    NA   0.000000         NA -0.5
28 110 1 -0.5 0.69   147 -0.5 -0.5  0.11  57.780361  57.780361 -0.5
29 110 1 -0.5 0.77   145 -0.5 -0.5  0.19 115.543946 115.543946 -0.5
30 121 0  0.5 0.70   447  0.0  0.0    NA   0.000000         NA -0.5
31 121 1  0.5 0.75   666 -0.5 -0.5  0.06  13.841114  13.841114 -0.5
32 122 0  0.5 0.86  1262  0.0  0.0    NA   0.000000         NA -0.5
33 122 1  0.5 0.85  3126 -0.5 -0.5  0.00  13.841114  13.841114 -0.5
34 123 0  0.5 0.80   603  0.0  0.0    NA   0.000000         NA -0.5
35 123 1  0.5 0.85  2270 -0.5 -0.5  0.05  13.841114  13.841114 -0.5
36 130 1 -0.5 0.44  5249  0.5 -0.5    NA   1.677711         NA  0.5
37 130 1 -0.5 0.50  2874  0.5 -0.5  0.06   3.372199   1.694488  0.5
38 130 1 -0.5 0.57  2934  0.5 -0.5  0.13   8.422108   6.744398  0.5
39 140 1  0.5 0.28    49 -0.5 -0.5    NA  59.793614         NA  0.5
40 140 1  0.5 0.28    50 -0.5 -0.5  0.00 119.587229  59.793614  0.5
41 150 0 -0.5 0.76   279  0.0  0.0    NA   0.000000         NA -0.5
42 150 1 -0.5 0.70   285 -0.5 -0.5 -0.06   1.358946   1.358946 -0.5
43 150 1 -0.5 0.75   304 -0.5  0.5 -0.01   4.060060   4.060060 -0.5
44 160 0  0.5 0.76   678  0.0  0.0    NA   0.000000         NA -0.5
45 160 1  0.5 0.81   656  0.5  0.5  0.05   4.932470   4.932470 -0.5
46 180 0  0.5 0.63   406  0.0  0.0    NA   0.000000         NA  0.5
47 180 1  0.5 0.67   413  0.5  0.5  0.04   4.529819   4.529819  0.5
48 190 0  0.5 0.63    79  0.0  0.0    NA  0.000000        NA -0.5
49 190 1  0.5 0.54    84 -0.5 -0.5 -0.09 22.800090 22.800090 -0.5
50 200 0  0.5 0.73   116  0.0  0.0    NA  0.000000        NA  0.5
51 200 1  0.5 0.85   111 -0.5 -0.5  0.12 20.065422 20.065422  0.5
52 210 0  0.5 0.16   659  0.0  0.0    NA  0.000000        NA  0.5
53 210 1  0.5 0.21   472 -0.5 -0.5  0.06  3.372199  3.372199  0.5
54 220 0  0.5 0.63    97  0.0  0.0    NA  0.000000        NA  0.5
55 220 1  0.5 0.73   107  0.5 -0.5  0.10  7.801355  7.801355  0.5
56 220 1  0.5 0.59   117 -0.5 -0.5 -0.04  7.801355  7.801355  0.5
57 230 0  0.5 0.86   128  0.0  0.0    NA  0.000000        NA  0.5
58 230 1  0.5 0.77   113  0.5  0.5 -0.09  4.529819  4.529819  0.5
59 230 1  0.5 0.90   125  0.5  0.5  0.05 22.800090 22.800090  0.5
60 230 1  0.5 0.79   159 -0.5  0.5 -0.07 22.800090 22.800090  0.5
61 241 0  0.5 0.72  1225  0.0  0.0    NA  0.000000        NA  0.5
62 241 1  0.5 0.76  1324 -0.5 -0.5  0.04 20.065422 20.065422  0.5
63 241 1  0.5 0.77  1155 -0.5 -0.5  0.05 40.130843 40.130843  0.5
64 242 0  0.5 0.68   612  0.0  0.0    NA  0.000000        NA  0.5
65 242 1  0.5 0.73   660 -0.5 -0.5  0.05 20.065422 20.065422  0.5
66 242 1  0.5 0.74   579 -0.5 -0.5  0.05 40.130843 40.130843  0.5
67 250 1  0.5 0.74   716 -0.5 -0.5    NA 25.736084        NA  0.5
68 250 1  0.5 0.79   720 -0.5 -0.5  0.05 51.455392 25.736084  0.5
69 260 0  0.5 0.70   292  0.0  0.0    NA  0.000000        NA  0.5
70 260 1  0.5 0.82   303 -0.5 -0.5  0.12 40.130843 40.130843  0.5
71 270 0  0.5 0.54  1629  0.0  0.0    NA  0.000000        NA  0.5
72 270 1  0.5 0.69 20034 -0.5 -0.5  0.15 23.924157 23.924157  0.5
73 280 0  0.5 0.87   940  0.0  0.0    NA  0.000000        NA -0.5
74 280 1  0.5 0.87  2575  0.5 -0.5  0.00  4.630482  4.630482 -0.5
75 300 0  0.5 0.79    23  0.0  0.0    NA  0.000000        NA  0.5
76 300 1  0.5 0.90    31 -0.5 -0.5  0.11 29.544488 29.544488  0.5
77 310 0  0.5 0.72  2711  0.0  0.0    NA  0.000000        NA  0.5
78 310 1  0.5 0.75  1779  0.5  0.5  0.03  2.466235  2.466235  0.5
79 310 1  0.5 0.71  1759  0.5  0.5 -0.01  6.157199  6.157199  0.5
80 320 0  0.5 0.60   174  0.0  0.0    NA  0.000000        NA  0.5
81 320 1  0.5 0.75   174 -0.5  0.5  0.15 10.049488 10.049488  0.5
82 330 0  0.5 0.93  9493  0.0  0.0    NA  0.000000        NA  0.5
83 330 1  0.5 0.94  3035  0.5  0.5  0.01  7.381928  7.381928  0.5
84 340 0  0.5 0.63   247  0.0  0.0    NA  0.000000        NA -0.5
85 340 1  0.5 0.71   494  0.5 -0.5  0.08  5.335120  5.335120 -0.5
86 350 0 -0.5 0.61   231  0.0  0.0    NA  0.000000        NA -0.5
87 350 1 -0.5 0.53   210 -0.5 -0.5 -0.07  5.335120  5.335120 -0.5
88 360 0 -0.5 0.28  1034  0.0  0.0    NA  0.000000        NA -0.5
89 360 1 -0.5 0.27  1019 -0.5 -0.5 -0.01 26.725934 26.725934 -0.5
90 370 0 -0.5 0.74   608  0.0  0.0    NA  0.000000        NA -0.5
91 370 1 -0.5 0.74   609 -0.5 -0.5  0.00  5.335120  5.335120 -0.5
92 370 1 -0.5 0.78   609 -0.5 -0.5  0.04 10.687018 10.687018 -0.5
93 380 0 -0.5 0.38   906  0.0  0.0    NA  0.000000        NA -0.5
94 380 1 -0.5 0.46   906 -0.5 -0.5  0.08 16.038916 16.038916 -0.5
 95 380 1 -0.5 0.52   906 -0.5 -0.5  0.14 26.725934 26.725934 -0.5
 96 380 1 -0.5 0.49   906 -0.5 -0.5  0.11 37.429729 37.429729 -0.5
 97 400 0 -0.5 0.35    94  0.0  0.0    NA  0.000000        NA -0.5
 98 400 1 -0.5 0.40   178  0.5  0.5  0.05  3.204428  3.204428 -0.5
 99 400 1 -0.5 0.48   178  0.5 -0.5  0.13  5.335120  5.335120 -0.5
100 400 1 -0.5 0.46   351  0.5 -0.5  0.11 10.687018 10.687018 -0.5
101 400 1 -0.5 0.31    92 -0.5 -0.5 -0.04 10.687018 10.687018 -0.5
