"ppvt","educ_cat","momage"
120,2,21
89,1,17
78,2,19
42,1,20
115,4,26
97,1,20
94,1,20
68,2,24
103,3,19
94,3,24
117,2,24
64,4,29
72,2,19
104,2,23
78,3,26
62,1,22
73,1,21
79,3,21
101,3,22
88,2,25
102,2,24
107,2,26
56,1,21
102,2,22
88,2,26
92,2,23
85,1,20
102,2,29
90,2,26
97,3,28
92,2,19
98,3,23
85,2,21
92,2,28
100,2,26
86,2,19
85,2,21
56,3,20
102,3,24
106,3,23
78,1,23
58,2,24
84,2,27
61,3,28
102,3,23
56,4,24
101,3,27
46,3,20
42,2,21
108,2,22
64,3,23
97,2,24
86,2,24
82,2,19
100,1,23
104,2,23
91,2,22
102,2,23
91,3,23
101,1,17
40,1,20
86,2,19
83,2,24
73,3,22
80,2,23
98,2,21
52,2,26
92,3,26
107,2,29
94,2,22
79,3,26
75,1,19
108,2,22
77,4,23
104,2,26
104,3,26
72,2,19
109,2,24
92,2,19
69,2,25
103,4,28
109,4,27
43,1,18
61,3,21
89,2,22
75,1,23
116,2,22
104,4,29
99,2,22
75,1,23
102,2,21
106,2,24
136,1,19
67,2,22
88,2,24
82,3,27
67,1,28
87,3,21
76,2,21
72,2,21
112,3,23
112,3,24
90,2,26
95,1,26
52,2,25
70,2,20
106,1,22
97,1,22
54,1,22
98,2,25
94,4,24
109,2,22
66,2,23
114,2,24
97,2,23
91,2,23
94,2,26
87,1,24
110,3,25
38,2,22
68,2,22
58,2,23
104,2,22
84,2,25
100,2,20
82,1,22
87,3,28
113,4,27
71,1,21
50,1,24
76,1,22
59,1,21
95,1,25
120,2,26
58,1,21
73,3,23
84,3,23
111,1,18
79,1,24
93,1,20
49,2,20
101,3,20
64,2,18
90,2,22
86,1,23
95,2,20
83,2,23
84,2,20
84,2,25
41,1,19
43,1,25
42,1,26
96,3,23
83,2,26
100,1,19
101,3,25
49,1,23
86,2,23
94,2,21
56,2,23
90,2,22
80,2,24
111,3,23
119,2,19
84,2,19
67,1,20
87,1,19
73,1,25
52,2,20
77,3,22
108,2,23
104,4,21
88,1,20
103,1,27
46,1,25
74,2,19
58,2,21
76,3,23
89,4,26
45,2,22
98,2,25
104,2,23
106,3,26
113,2,20
87,2,23
80,1,19
87,2,23
76,1,24
83,1,17
69,2,24
122,3,21
68,2,19
52,2,26
92,2,28
96,1,19
102,2,24
89,1,20
57,1,22
50,2,20
83,3,23
97,4,25
126,2,19
83,2,25
90,2,25
116,4,24
44,2,25
50,1,18
68,2,23
62,2,21
67,2,26
104,2,23
110,3,26
102,2,25
69,2,20
98,1,18
79,2,22
103,1,21
104,1,18
81,2,25
144,4,25
42,1,22
77,2,24
104,2,19
95,2,24
100,2,20
50,1,23
104,3,19
119,2,26
114,1,20
136,4,23
112,2,19
87,3,24
86,2,21
52,4,27
110,3,23
90,2,21
95,2,19
41,1,25
88,2,21
105,2,20
76,2,23
78,1,21
64,3,21
113,3,24
102,2,21
65,2,22
78,2,22
122,2,22
61,2,25
109,1,22
60,2,27
109,2,27
99,4,28
61,2,25
107,2,21
86,3,21
106,2,22
100,2,23
97,2,22
93,4,28
93,1,25
60,2,22
58,2,23
94,2,23
50,2,24
111,4,28
85,2,27
81,2,17
89,2,20
90,2,24
102,2,20
100,1,18
97,2,19
105,2,21
94,2,22
56,2,22
94,2,23
72,2,21
96,4,23
99,2,20
69,2,27
98,2,21
74,3,20
94,3,23
114,2,24
60,1,22
98,2,22
105,4,25
100,2,19
94,3,21
119,2,23
83,2,23
63,3,23
76,1,26
107,3,29
90,2,21
94,4,28
64,3,24
94,2,23
84,2,21
96,3,21
47,2,18
65,2,24
64,1,18
85,3,21
113,2,24
78,1,21
56,3,19
81,3,26
87,2,19
110,2,20
108,2,29
121,2,22
98,2,25
91,2,24
86,3,25
86,2,26
63,2,20
42,3,27
70,2,25
101,2,23
102,3,24
92,2,27
83,2,20
65,4,27
104,1,20
99,4,27
104,3,29
110,2,25
74,3,22
102,2,24
104,2,23
94,1,21
54,1,23
106,1,25
41,1,18
87,2,21
92,1,24
46,3,22
110,3,27
89,2,19
109,2,24
42,2,25
87,2,21
90,2,23
105,4,23
88,2,21
87,3,22
73,2,20
102,1,24
110,3,22
99,2,22
68,3,22
95,3,26
20,1,23
117,2,24
80,1,22
65,1,21
89,3,21
65,2,22
113,2,19
121,2,19
94,2,26
92,3,26
116,3,24
94,2,24
123,2,25
106,2,26
95,4,24
76,2,20
99,2,26
58,3,23
82,1,20
96,2,27
95,2,20
79,3,25
99,1,19
113,2,26
76,2,19
100,2,26
69,3,20
83,1,28
100,1,20
98,2,22
106,1,25
93,3,22
92,3,21
115,2,27
112,2,23
77,3,22
95,1,21
109,2,25
100,2,24
93,4,27
107,2,25
87,3,21
69,2,20
80,1,25
98,1,18
81,2,22
