"","cfdate","faildate","peacekeepers?","badness","delay","censored?"
"1",140,66,1,"white",1,2
"2",150,64,0,"black",1,1
"3",210,74,0,"white",3,2
"4",125,66,1,"white",5,1
"5",126,64,1,"white",1,2
"6",200,65,1,"white",1,2
"7",110,63,1,"other",6,2
"8",165,68,1,"black",1,2
"9",190,63,1,"white",1,2
"10",125,64,1,"white",4,1
"11",200,62,1,"white",2,2
"12",230,73,0,"white",1,1
"13",176,72,0,"hispanic",1,2
"14",265,72,0,"white",1,2
"15",160,72,0,"white",2,2
"16",225,70,0,"white",1,2
"17",107,63,1,"white",4,2
"18",170,68,0,"white",4,2
"19",144,68,0,"white",5,2
"20",193,71,0,"white",6,2
"21",250,65,1,"white",1,2
"22",130,66,1,"white",1,1
"23",100,60,1,"white",2,1
"24",123,65,1,"white",4,1
"25",165,69,0,"white",1,1
"26",130,66,1,"white",1,2
"27",120,65,1,"white",4,2
"28",160,71,0,"white",4,2
"29",172,68,0,"white",1,2
"30",135,68,1,"white",7,2
"31",180,70,0,"white",2,2
"32",112,67,1,"white",1,1
"33",240,64,1,"black",1,2
"34",190,73,0,"black",7,2
"35",145,64,1,"black",1,1
"36",120,62,1,"white",1,1
"37",118,64,1,"white",7,2
"38",114,63,1,"white",3,2
"39",170,69,0,"white",7,2
"40",166,67,0,"white",7,2
"41",124,66,1,"white",4,2
"42",175,72,0,"white",1,2
"43",120,63,1,"black",1,1
"44",126,64,1,"white",1,1
"45",184,63,1,"black",3,2
"46",150,68,0,"white",7,1
"47",150,64,1,"white",1,1
"48",220,73,0,"white",1,2
"49",220,67,1,"white",1,2
"50",999,60,1,"white",1,2
"51",180,72,0,"white",6,2
"52",158,68,1,"white",1,2
"53",255,77,0,"white",7,2
"54",150,64,1,"white",1,2
"55",130,64,1,"white",1,2
"56",999,64,1,"white",5,2
"57",146,63,1,"white",1,2
"58",185,72,0,"white",5,2
"59",160,68,0,"black",1,1
"60",180,68,0,"white",2,2
"61",135,64,1,"white",1,2
"62",168,70,0,"white",3,2
"63",138,61,1,"white",1,1
"64",202,76,0,"black",1,1
"65",115,65,1,"white",2,1
"66",998,64,0,"black",1,2
"67",135,67,1,"black",6,2
"68",150,65,1,"white",1,1
"69",120,64,1,"white",1,2
"70",165,73,0,"white",2,1
"71",130,67,1,"white",1,2
"72",170,65,1,"white",7,2
"73",140,65,1,"white",7,2
"74",145,67,1,"white",5,1
"75",130,NA,1,"white",1,2
"76",208,71,0,"black",1,2
"77",145,68,1,"white",2,2
"78",150,70,1,"white",1,2
"79",100,60,1,"hispanic",1,2
"80",105,65,1,"white",6,2
"81",120,62,1,"white",1,1
"82",160,72,0,"white",7,2
"83",105,66,1,"white",7,2
"84",206,67,0,"black",1,2
"85",145,69,0,"white",6,1
"86",170,70,0,"white",1,2
"87",183,70,0,"white",5,2
"88",150,68,1,"white",5,2
"89",115,66,1,"black",4,2
"90",138,61,1,"black",1,2
"91",120,60,1,"white",1,1
"92",195,71,0,"white",7,1
"93",130,70,1,"white",4,2
"94",140,71,0,"white",2,1
"95",180,73,0,"white",6,2
"96",115,64,1,"white",6,2
"97",150,68,1,"white",1,2
"98",118,66,1,"white",1,2
"99",155,69,0,"other",1,2
"100",155,69,0,"white",6,2
"101",126,63,1,"white",1,1
"102",200,68,1,"hispanic",1,2
"103",130,70,0,"white",1,2
"104",130,63,1,"white",6,2
"105",123,66,1,"black",3,2
"106",110,66,1,"white",2,2
"107",200,64,1,"white",1,2
"108",130,62,0,"hispanic",1,2
"109",190,66,1,"white",2,2
"110",116,64,1,"white",7,2
"111",170,68,0,"white",7,1
"112",190,64,1,"white",1,2
"113",342,67,1,"white",1,2
"114",90,60,1,"white",1,2
"115",200,71,0,"white",6,2
