"daughter_height" "mother_height"
52.5 59.5
52.5 59.5
53.5 59.5
53.5 59.5
55.5 59.5
55.5 59.5
55.5 59.5
55.5 59.5
56.5 58.5
56.5 58.5
56.5 58.5
56.5 58.5
56.5 59.5
56.5 60.5
56.5 60.5
56.5 60.5
56.5 60.5
56.5 60.5
56.5 60.5
56.5 61.5
56.5 61.5
56.5 61.5
56.5 61.5
56.5 61.5
56.5 62.5
56.5 63.5
57.5 55.5
57.5 55.5
57.5 55.5
57.5 55.5
57.5 55.5
57.5 55.5
57.5 56.5
57.5 56.5
57.5 56.5
57.5 56.5
57.5 56.5
57.5 57.5
57.5 57.5
57.5 57.5
57.5 57.5
57.5 57.5
57.5 57.5
57.5 58.5
57.5 58.5
57.5 58.5
57.5 58.5
57.5 58.5
57.5 59.5
57.5 59.5
57.5 59.5
57.5 59.5
57.5 59.5
57.5 59.5
57.5 60.5
57.5 60.5
57.5 60.5
57.5 60.5
57.5 60.5
57.5 60.5
57.5 60.5
57.5 60.5
57.5 60.5
57.5 60.5
57.5 60.5
57.5 60.5
57.5 60.5
57.5 61.5
57.5 61.5
57.5 61.5
57.5 61.5
57.5 61.5
57.5 62.5
57.5 62.5
57.5 62.5
57.5 62.5
57.5 62.5
57.5 63.5
57.5 63.5
57.5 63.5
57.5 64.5
57.5 64.5
57.5 64.5
57.5 64.5
58.5 55.5
58.5 55.5
58.5 56.5
58.5 56.5
58.5 56.5
58.5 56.5
58.5 56.5
58.5 56.5
58.5 56.5
58.5 56.5
58.5 56.5
58.5 57.5
58.5 57.5
58.5 57.5
58.5 57.5
58.5 57.5
58.5 57.5
58.5 58.5
58.5 58.5
58.5 58.5
58.5 58.5
58.5 58.5
58.5 58.5
58.5 58.5
58.5 58.5
58.5 58.5
58.5 59.5
58.5 59.5
58.5 59.5
58.5 59.5
58.5 59.5
58.5 59.5
58.5 59.5
58.5 59.5
58.5 59.5
58.5 59.5
58.5 59.5
58.5 59.5
58.5 59.5
58.5 59.5
58.5 59.5
58.5 59.5
58.5 59.5
58.5 59.5
58.5 59.5
58.5 60.5
58.5 60.5
58.5 60.5
58.5 60.5
58.5 60.5
58.5 60.5
58.5 60.5
58.5 60.5
58.5 60.5
58.5 60.5
58.5 61.5
58.5 62.5
58.5 62.5
58.5 65.5
58.5 66.5
58.5 66.5
58.5 66.5
59.5 57.5
59.5 57.5
59.5 57.5
59.5 57.5
59.5 57.5
59.5 57.5
59.5 57.5
59.5 57.5
59.5 57.5
59.5 57.5
59.5 57.5
59.5 57.5
59.5 57.5
59.5 57.5
59.5 58.5
59.5 58.5
59.5 58.5
59.5 58.5
59.5 58.5
59.5 58.5
59.5 58.5
59.5 58.5
59.5 58.5
59.5 58.5
59.5 58.5
59.5 58.5
59.5 58.5
59.5 58.5
59.5 58.5
59.5 58.5
59.5 58.5
59.5 58.5
59.5 58.5
59.5 58.5
59.5 58.5
59.5 58.5
59.5 58.5
59.5 59.5
59.5 59.5
59.5 59.5
59.5 59.5
59.5 59.5
59.5 59.5
59.5 59.5
59.5 59.5
59.5 59.5
59.5 59.5
59.5 59.5
59.5 59.5
59.5 59.5
59.5 59.5
59.5 59.5
59.5 59.5
59.5 59.5
59.5 59.5
59.5 59.5
59.5 59.5
59.5 59.5
59.5 59.5
59.5 59.5
59.5 59.5
59.5 59.5
59.5 59.5
59.5 59.5
59.5 59.5
59.5 59.5
59.5 59.5
59.5 59.5
59.5 59.5
59.5 59.5
59.5 59.5
59.5 59.5
59.5 59.5
59.5 59.5
59.5 59.5
59.5 59.5
59.5 59.5
59.5 59.5
59.5 59.5
59.5 59.5
59.5 59.5
59.5 59.5
59.5 59.5
59.5 59.5
59.5 59.5
