"y" "defects" "poor" "race" "floor" "dist" "bldg"
"1" 1 0 2 4 2 1 1
"2" 0 1 4 4 2 1 1
"3" 0 0 1 3 2 1 1
"4" 0 1 2 4 2 1 1
"5" 0 0.232012432012432 2.32547169811321 2 3 1 2
"6" 1 1 3 2 2 1 3
"7" 0 1.5 3 2 3 1 3
"8" 1 6 3 2 4 1 3
"9" NA 1.53518554722017 3.32547169811321 2 3 1 4
"10" 1 2 5 4 5 1 5
"11" NA 1.60356161559623 1.32547169811321 2 2 1 6
"12" NA 1.60356161559623 2.32547169811321 2 2 1 6
"13" 1 1 4 2 3 1 7
"14" 1 5 5 4 3 1 8
"15" 1 3 6 3 3 1 8
"16" 0 0 6 3 2 1 9
"17" 1 0 6 3 2 1 9
"18" 1 0 6 3 2 1 9
"19" 1 0 6 3 2 1 9
"20" 0 0 4 4 5 1 10
"21" 1 0 4 3 6 1 10
"22" 0 0 4 3 6 1 10
"23" 0 1 5 3 6 1 10
"24" 0 0 3 4 4 1 11
"25" 0 0 5 4 4 1 11
"26" 0 0 5 3 4 1 11
"27" 0 0 3 4 4 1 11
"28" 0 2 7 2 3 1 12
"29" 1 2 3 4 3 1 12
"30" 1 1 6 1 3 1 13
"31" 1 1 6 4 3 1 14
"32" 1 5 6 2 2 1 15
"33" 1 2 5 2 3 1 16
"34" 1 2 3 4 4 1 16
"35" 1 4 6 3 5 1 17
"36" 1 1 3 4 5 1 18
"37" 0 1 3 2 5 1 18
"38" 1 1 4 4 4 1 18
"39" 1 1 3 4 4 1 19
"40" 1 0 3 2 4 1 20
"41" 1 2 4 4 4 1 20
"42" 1 1 5 4 6 1 21
"43" 1 3 4 4 6 1 21
"44" 0 1 4 3 7 1 21
"45" 1 3 5 3 7 1 21
"46" 0 2 2.32547169811321 3 2 1 22
"47" 0 2 4 3 3 1 23
"48" 0 2 2 3 1 1 24
"49" 0 4 5.32547169811321 2 2 1 25
"50" 0 0 5 3 2 1 26
"51" 1 2 3 3 2 1 26
"52" 0 0 6 3 3 1 26
"53" NA 0.666666666666667 3.33333333333333 2 3 1 26
"54" 0 1 5 3 2 1 27
"55" 1 1 6 3 2 1 27
"56" 1 1 5 3 2 1 27
"57" 0 1 5 4 3 1 27
"58" 1 2 2.32547169811321 5 3 1 28
"59" 1 0.216814159292035 3 3 4 1 29
"60" 1 1 3 2 4 1 30
"61" 1 2 4 3 5 1 31
"62" 0 0 4 3 2 1 32
"63" 0 0 6 4 2 1 32
"64" 0 0 3.5 3 2 1 32
"65" 1 5 5 3 5 1 33
"66" 1 7 4 3 5 1 34
"67" 1 5 4 3 6 1 35
"68" 1 3 6 2 5 1 35
"69" 0 2 3.32547169811321 2 2 1 36
"70" 0 0 3 4 4.67226890756303 1 37
"71" 0 0 2.32547169811321 1 2 1 38
"72" 1 1.16363636363636 5 4 6 1 39
"73" 0 0 4 2 2 1 40
"74" 0 1 4 2 4 1 40
"75" 0 0 4 4 4 1 41
"76" 1 1 4 3 5 1 42
"77" 0 3 4 3 3 1 42
"78" 0 2 6 2 4 1 42
"79" 0 2.0337552742616 4 3 4 1 43
"80" 0 3 6 3 4 1 44
"81" 0 4 6 3 4 1 45
"82" 1 5.06837606837607 6 2 4 1 46
"83" 0 1 6 3 4 1 47
"84" 1 0 6 2 4 1 47
"85" 0 0 5 3 3 1 48
"86" 0 2 6 3 3 1 49
"87" 0 2 7 3 4 1 49
"88" 0 2 4 4 4 1 49
"89" 0 1 6 3 8 1 50
"90" 0 1 5 3 8 1 51
"91" 0 0 5 2 8 1 52
"92" 1 5 7 4 8 1 52
"93" 1 1 2 4 5 1 53
"94" 1 0 2 3 5 1 53
"95" 1 1 6 3 5 1 53
"96" 1 2 5 3 6 1 53
"97" 0 0 7 2 7 1 54
"98" 0 1 6 3 7 1 54
"99" 0 0 6 3 7 1 54
"100" 0 1 6 3 7 1 54
"101" 0 1 4 3 5 1 55
"102" NA 4 3 3 2 1 56
"103" 0 0 6 3 7 1 57
"104" 0 0 7 3 7 1 58
"105" 0 1 5 3 7 1 59
"106" 0 0 8 3 7 1 60
"107" 0 3 3 3 4 1 61
"108" 0 4 5 3 4 1 62
"109" 1 5 6 4 4 1 62
"110" 1 0 4 3 4 1 62
"111" 0 0 7 3 7 1 63
"112" 1 1 5 3 7 1 63
"113" 1 3 6 2 7 1 63
"114" 0 0 7 3 7 1 63
"115" 0 2 5 2 3 1 64
"116" 0 0 7 3 3 1 64
"117" 1 6 7 3 3 1 64
"118" 0 2 6 4 3 1 64
"119" 1 0 4 3 5 1 65
