"y.subset" "defects.subset" "poor.subset" "race.subset" "floor.subset" "dist.subset" "bldg.subset"
"1" 1 5 5 3 5 1 1
"2" 1 5 4 3 6 1 2
"3" 1 3 6 2 5 1 2
"4" 1 1.16363636363636 5 4 6 1 3
"5" 1 5.06837606837607 6 2 4 1 4
"6" 0 0 5 3 3 1 5
"7" 0 0 5 2 8 1 6
"8" 1 5 7 4 8 1 6
"9" 0 0 8 3 7 1 7
"10" 0 0 4 4 7 1 8
"11" 1 4 5 3 7 1 8
"12" 1 0 5 2 7 1 8
"13" 1 1 6 4 3 1 9
"14" 1 1 5 4 4 1 9
"15" 0 1 6 2 8 1 10
"16" 0 0 4 3 8 1 10
"17" 0 5 6 3 8 1 10
"18" 0 0 6 4 8 1 10
"19" 1 1 5 3 6 1 11
"20" 0 1 6 3 6 1 11
"21" 0 1 5 3 6 1 11
"22" 0 2 4 3 6 1 11
"23" 1 4.31081081081081 6 3 6 1 12
"24" 1 5 6 3 4 1 158
"25" 1 0 5 3 3 2 13
"26" 1 3 5 3 4 2 13
"27" NA 2.66307917995035 1.40969162995595 1 2 2 14
"28" 0 0 4 5 6 2 15
"29" 0 1 5 3 6 2 15
"30" 1 0 1 2 5 2 15
"31" 1 0 4.40969162995595 4 2 2 16
"32" 1 5 7 1 2 2 17
"33" 0 2 5 2 2 2 17
"34" 1 3 5 3 3 2 17
"35" 0 0 4 3 3 2 18
"36" 0 0 4 2 4 2 19
"37" 1 3 6 4 3 2 20
"38" 0 3 5 1 3 2 20
"39" 1 3 4 2 3 2 20
"40" 1 4 5 1 3 2 20
"41" 1 0 4 3 4 2 21
"42" 0 2 7 3 4 2 22
"43" 1 5 5 3 4 2 22
"44" 1 2 7 3 5 2 22
"45" 0 1 6 3 5 2 22
"46" 1 2 5 4 6 2 23
"47" 0 4 5 1 2 2 160
"48" 0 2 5 1 3 2 160
"49" 0 0 2.34883720930233 3 2 3 24
"50" 0 0 6 3 4 3 25
"51" 1 0 5 3 4 3 25
"52" 0 1 7 3 5 3 25
"53" 1 6 6 2 2 3 26
"54" 0 5 3 2 3 3 26
"55" 1 3 3 2 3 3 26
"56" 1 5.66666666666667 4 2 3 3 26
"57" 0 3 6 2 4 3 27
"58" 0 5 6 2 5 3 28
"59" 0 3 6 2 5 3 28
"60" NA 1.94829224517960 4.34883720930233 2 6 3 29
"61" 0 0 5 2 2 3 30
"62" 0 3 3 2 3 3 30
"63" 1 7 3 4 5 3 31
"64" 1 6 6 4 2 3 32
"65" 1 1 5 2 4 3 33
"66" 1 1 4 4 5 3 34
"67" 1 1 3 4 5 3 35
"68" NA 1.94829224517960 6.34883720930233 2 8 3 36
"69" 1 1 4 4 3 3 37
"70" 0 0 3 2 6 3 159
"71" 1 2 5 5 3 4 38
"72" 0 1 3 2 6 4 39
"73" 1 1 5 4 6 4 39
"74" 1 4 3 2 4 4 40
"75" 0 1 5 4 5 4 40
"76" NA 3.88137387444838 5.34210526315789 4 6 4 41
"77" 0 1.10648148148148 4 4 4 4 42
"78" 1 9 7 2 4 4 43
"79" 1 3 3 4 1 4 44
"80" 1 1 4 4 1 4 44
"81" 0 5 3 4 2 4 44
"82" 0 3 3 2 2 4 44
"83" 0 1 4 4 2 4 45
"84" 0 1 5 2 1 4 45
"85" 1 1 6 3 3 4 46
"86" 0 2 6 3 4 4 47
"87" NA 1.66666666666667 3 2 3.33333333333333 4 48
"88" 1 3 3 3 6 4 48
"89" 1 1 5 2 2 4 48
"90" 0 1 4 2 2 4 48
"91" 0 1 3 2 2 4 49
"92" 0 0 4 4 3 4 49
"93" 0 1 3 3 2 4 50
"94" 0 1 5 2 2 4 50
"95" 1 1 2 2 7 4 51
"96" 1 1 3 2 7 4 51
"97" 1 5 3 2 7 4 51
"98" 1 2.09569377990431 4 4 4 4 52
"99" 0 0.0956937799043062 5 5 1 4 53
"100" 0 0.0956937799043062 5 2 1 4 53
"101" 1 3 4 6 2 4 54
"102" 1 1 2 6 2 4 54
"103" 0 0 3 4 3 5 55
"104" 1 0 4 4 3 5 56
"105" NA 1.43581393380988 1.28729281767956 2 7 5 57
"106" NA 1.43581393380988 1.28729281767956 2 7 5 57
"107" NA 1.57060071565549 4.28729281767956 2 2 5 58
"108" 0 0 4 3 3 5 59
"109" 1 1 6 2 6 5 60
"110" NA 1.43581393380988 5.28729281767956 3 2 5 61
"111" 1 7 4 2 3 5 62
"112" NA 2.34 4 3 5 5 63
"113" NA 1.44938859444337 3.28729281767956 4 3 5 64
"114" 1 3 5 4 4 5 65
"115" 1 5 5 2 4 5 65
"116" 1 3 5 2 5 5 65
"117" NA 3.66666666666667 5 2 3 5 65
"118" 1 1.10256410256410 3 5 5 5 66
"119" 1 5 4 3 5 5 67
"120" 1 0 1.28729281767956 4 2 5 68
"121" NA 2 3.66666666666667 2 3 5 69
"122" 1 1 5 3 6 5 69
"123" 0 2 6 4 1 5 69
"124" 1 3 7 3 2 5 69
"125" 0 0 4 4 7 5 70
"126" NA 1.43581393380988 4.28729281767956 3 4 5 71
"127" 1 1 5 2 3 5 72
"128" 1 0 3 3 6 5 73
"129" 1 2 3 3 6 5 73
"130" 1 1 6 4 6 5 73
"131" 0 0 5 3 6 5 73
"132" 0 0 6 3 3 5 74
"133" 1 4 4 4 3 5 74
"134" NA 1.33333333333333 4.33333333333333 3 3 5 74
"135" 0 0 3 3 3 5 74
"136" 1 4 6 2 3 5 75
"137" 0 0 1 5 2 6 76
"138" 0 0 2 5 3 6 76
"139" 0 0 3 5 2 6 76
"140" 0 0 1 5 3 6 76
"141" 0 0 1.12698412698413 1 5 6 77
"142" 1 2 3 1 5 6 78
"143" 1 2 3 1 5 6 78
"144" 1 2 3 1 5 6 78
"145" 0 0.0169491525423729 2 1 2 6 79
"146" 0 0 1 1 3 6 80
"147" 1 0 4 1 2 6 80
"148" 0 0 3.12698412698413 1 4 6 81
"149" 1 1 1.12698412698413 1 4 6 81
"150" 0 0 1.12698412698413 1 4 6 81
"151" 0 0 1.12698412698413 1 4 6 81
"152" 0 0 4 1 4 6 82
"153" 1 0 1 1 4 6 82
"154" 0 2 3 4 6 6 83
"155" 0 1 5 3 6 6 83
"156" 1 3 3 5 6 6 83
"157" 1 6 3 1 6 6 83
"158" NA 1.05884514110959 1.12698412698413 1 7 6 84
"159" 0 0 4 1 2 6 85
"160" 0 0 3 1 2 6 85
"161" 0 4 3 1 2 6 85
"162" 0 0 3 4 3 6 85
"163" 1 1 5 2 6 6 86
"164" 1 5 2 5 2 6 87
"165" 1 0 4 4 4 6 88
"166" 0 0.369565217391304 1.17592592592593 2 2 7 89
"167" 1 2 3 4 2 7 90
"168" 0 0 5 4 3 7 91
"169" 0 0 4 3 2 7 92
"170" 0 1 2 3 4 7 92
"171" NA 1.14124033602981 1.17592592592593 2 2 7 93
"172" 0 1 4 2 2 7 94
"173" 0 3 3 1 3 7 95
"174" NA 4 2 2 3 7 95
"175" NA 4 3 2 3 7 95
"176" 0 5 3 2 4 7 95
"177" 1 1 4 2 3 7 96
"178" 0 0 2 3 2 7 97
"179" NA 0 2 4 3 7 97
"180" 0 0 4 2 2 7 98
"181" 0 1 5 3 3 7 99
"182" 0 0 3 3 2 7 100
"183" 1 1 3 1 5 7 101
"184" 0 1 4 4 5 7 101
"185" NA 1.14124033602981 3.17592592592593 1 6 7 102
"186" NA 1.14124033602981 3.17592592592593 1 6 7 102
"187" NA 1.14124033602981 3.17592592592593 4 6 7 102
"188" 0 5 2 2 4 7 103
"189" 0 4 3 2 4 7 103
"190" 1 3 3 3 2 7 104
"191" 1 5 3 6 2 7 104
"192" 1 2 3 2 2 7 104
"193" 0 3 3 4 3 7 104
"194" 0 2 5 4 4 7 105
"195" 1 3 5 4 3 7 106
"196" 0 0 5 4 3 7 106
"197" 0 5 5 4 3 7 106
"198" 0 1 5 4 3 7 107
"199" 0 0 3 4 8 7 108
"200" 1 1 6 3 2 7 109
"201" 0 5 4 3 4 7 110
"202" NA 0.5 1 1 3 8 111
"203" 0 1 2 1 3 8 111
"204" 0 0 3 1 2 8 111
"205" NA 0.386464529810291 1.21428571428571 1 2 8 112
"206" 0 1 2.21428571428571 1 2 8 113
"207" 0 0 3.21428571428571 1 2 8 114
"208" 0 0 2.21428571428571 1 2 8 114
"209" 0 1.00458715596330 2.21428571428571 2 2 8 115
"210" NA 0.381877373846989 1.21428571428571 1 1 8 116
"211" 0 0 3 1 3 8 117
"212" NA 0.666666666666667 1.21428571428571 2 9 8 118
"213" 0 2 1.21428571428571 3 9 8 118
"214" 0 0 1.21428571428571 3 9 8 118
"215" 0 0 1.21428571428571 2 9 8 118
"216" NA 0.333333333333333 1.21428571428571 2 8 8 119
"217" 0 1 1.21428571428571 2 8 8 119
"218" 0 0 1.21428571428571 2 7 8 119
"219" 0 0 1.21428571428571 2 7 8 119
"220" 0 0 1.21428571428571 3 9 8 120
"221" 0 0 1.21428571428571 2 9 8 120
"222" NA 0.381877373846989 1.21428571428571 2 2 8 121
"223" NA 0.381877373846989 3.21428571428571 2 3 8 121
"224" NA 0.381877373846989 1.21428571428571 2 2 8 121
"225" 0 1 1.21428571428571 4 8 8 122
"226" NA 1 1.21428571428571 2 8 8 122
"227" 0 2 1.21428571428571 1 8 8 122
"228" 0 0 1.21428571428571 2 8 8 122
"229" 0 0 3.21428571428571 1 2 8 123
"230" 0 0 2.21428571428571 1 3 8 123
"231" 0 1 1.21428571428571 1 3 8 124
"232" 0 0 2.21428571428571 1 3 8 124
"233" NA 0.95439507422961 1.13846153846154 1 2 9 125
"234" NA 0.95439507422961 2.13846153846154 1 3 9 126
"235" 0 4.01449275362319 4 3 3.74407582938389 9 127
"236" 0 0 1.13846153846154 1 3 9 128
"237" 0 0 1.13846153846154 1 2 9 128
"238" 0 7 4 5 3 9 129
"239" 1 1 5 4 4 9 130
"240" 0 0 3 1 6 9 131
"241" NA 0 3 3 3 9 132
"242" 0 0 2 3 3 9 132
"243" 0 0 4 1 3 9 132
"244" NA 0 1 3 3 9 132
"245" 0 2 6 4 4 9 133
"246" 0 1 6 3 4 9 133
"247" 1 3 4 4 5 9 134
"248" 1 3 4 4 7 9 134
"249" 0 0 2 1 7 9 135
"250" 0 0 2.21705426356589 2 3 10 136
"251" 1 5 2.21705426356589 2 2 10 137
"252" 1 6 3 2 3.01659751037344 10 138
"253" 0 0 1.21705426356589 2 3 10 139
"254" NA 1.12524881069684 2.21705426356589 2 3.01659751037344 10 140
"255" 1 3 2 2 3 10 141
"256" 0 3 3 2 3 10 142
"257" 0 6 3 2 2 10 142
"258" 0 0 1.21705426356589 4 2 10 143
"259" 0 1 3 2 5 10 144
"260" 0 3 6 1 5 10 144
"261" 0 4 3 2 5 10 144
"262" NA 2.66666666666667 3 2 5 10 144
"263" 0 1 1.21705426356589 2 3 10 145
"264" 0 3 1 2 2 10 146
"265" 0 0 3 3 3 10 146
"266" 0 0 2 2 2 10 146
"267" 0 0 2 2 2 10 146
"268" 0 1.04504504504505 2 2 3 10 147
"269" NA 1.25779385574189 2.21705426356589 2 2 10 148
"270" NA 1.25779385574189 1.21705426356589 2 3 10 148
"271" 0 0.045045045045045 2.21705426356589 2 2 10 149
"272" 0 1 2 2 4 10 150
"273" 0 1 4 2 2 10 150
"274" 0 0 4 2 3 10 150
"275" 0 0 1.21705426356589 3 2 10 151
"276" NA 1.17029385574189 2.21705426356589 4 1 10 152
"277" NA 8 6 2 5 10 153
"278" 1 8 6 2 1 10 153
"279" 0 1 2 1 2 10 154
"280" 0 0 2 1 3 10 154
"281" 0 0 3 1 2 10 154
"282" 1 5 3 2 2 10 155
"283" 0 4 4 3 3 10 155
"284" 1 2.04504504504505 3 4 4 10 156
"285" NA 1 2 2 2 10 157
"286" 0 1 2 2 3 10 157
"287" NA 0 1.1875 1 3 11 161
"288" 0 0 2.1875 1 4 11 161
"289" 0 0 2.1875 1 2 11 162
"290" 0 0 2.1875 1 2 11 162
"291" 0 0 2.1875 1 3 11 162
"292" 0 0 3 1 2 11 163
"293" 0 0 1 1 3 11 163
"294" NA 0 2 1 3 11 163
"295" NA 0.313510899752318 3.1875 5 1 11 164
"296" 0 0 2 1 4 11 165
"297" 0 0 3 1 2 11 166
"298" 0 0 4 1 3 11 167
"299" 0 0 3 1 4 11 167
"300" NA 0 3 1 4 11 167
"301" 0 0 4 1 2 11 167
"302" 1 4 3 4 4 11 168
"303" 0 1 3 1 2 11 169
"304" 0 1 2 4 2 11 170
"305" 0 0 4 3 3 11 170
"306" 1 3 6 4 4 11 170
"307" 0 0 6 3 4 11 171
"308" 0 0 6 4 4 11 171
"309" 0 0 3 4 4 11 171
"310" 0 0 3 1 2 11 172
"311" 0 0 3 1 3 11 172
"312" 0 0 1 1 3 11 172
"313" 1 1.02702702702703 4.1875 1 3 11 173
"314" NA 0.313510899752318 2.1875 1 2 11 174
"315" 0 1 6 3 6 11 175
"316" 0 1 6 3 6 11 175
"317" NA 0 4 2 5 11 176
"318" 0 0 4 4 6 11 176
"319" 1 0 4 3 2 11 177
"320" NA 0 3 1 2 11 177
"321" 0 0 4 3 4 11 177
"322" 0 0 4 3 2 11 178
"323" 0 0.0610687022900763 3 3 4 11 446
"324" 0 0 4 2 4 11 449
"325" 0 0 1.10791366906475 3 8 12 179
"326" 1 0 1.10791366906475 2 8 12 179
"327" NA 0 3.10791366906475 1 8 12 179
"328" 0 1 3 2 4 12 180
"329" 0 1 3 3 4 12 181
"330" 0 1 1.10791366906475 2 5 12 182
"331" 0 2 2.10791366906475 1 4 12 183
"332" NA 1.05277702675405 3.10791366906475 2 4 12 184
"333" NA 1.13120839930307 1.10791366906475 2 6 12 185
"334" NA 1.05277702675405 3.10791366906475 4 3 12 186
"335" NA 1.05277702675405 2.10791366906475 2 2 12 187
"336" 0 2 3 1 4 12 188
"337" 0 1 5 2 4 12 189
"338" 0 0 4 1 4 12 189
"339" 0 0 4 2 4 12 189
"340" 0 0 1.10791366906475 1 3 12 190
"341" NA 1.05277702675405 2.10791366906475 1 5 12 191
"342" 0 1 2.10791366906475 2 2 12 192
"343" NA 1.05277702675405 2.10791366906475 2 2 12 193
"344" 0 1 5 3 3 12 194
"345" 1 3 6 4 3 12 194
"346" 0 2 4 2 6 12 195
"347" 0 1 5 2 2 12 196
"348" 1 7 4 4 2 12 447
"349" 0 2 4 2 3 13 197
"350" 0 0.0406091370558376 1.24550898203593 2 3.55982905982906 13 198
"351" 0 0 3 2 3 13 199
"352" 1 4.28359979126144 1.24550898203593 1 2 13 200
"353" 0 0 1.24550898203593 2 2 13 201
"354" NA 1.14652530524864 4.24550898203593 2 4 13 202
"355" NA 1.14652530524864 3.24550898203593 2 2 13 203
"356" 0 0 1.24550898203593 2 2 13 204
"357" 1 0 3 2 2 13 205
"358" 0 1 3 2 2 13 205
"359" NA 1.1059161681928 2.24550898203593 2 2 13 206
"360" 1 1 2 2 4 13 207
"361" 1 0 1 2 4 13 207
"362" 0 1.08695652173913 3.24550898203593 2 2 13 208
"363" 0 1 3 2 4 13 209
"364" 0 1 3.24550898203593 2 2 13 210
"365" 1 0 3.24550898203593 3 2 13 211
"366" 0 5 3 2 4 13 212
"367" 0 0 3 1 2 13 213
"368" 0 0.0406091370558376 6 2 3 13 214
"369" 1 2.04060913705584 5 4 2 13 215
"370" 0 4 7 6 8 13 216
"371" 0 1 8 3 8 13 216
"372" 0 2 7 2 8 13 216
"373" 0 0 7 2 8 13 216
"374" 1 0 5 4 2 14 217
"375" 1 0 3 4 3 14 217
"376" 1 1 4 3 3 14 218
"377" 1 1 5 4 2 14 219
"378" NA 1 4 4 3 14 219
"379" NA 1.46600753993820 2.23456790123457 3 2 14 220
"380" NA 1.46600753993820 2.23456790123457 1 2 14 221
"381" 0 0 1.23456790123457 2 2 14 222
"382" 1 0.144444444444444 2.23456790123457 2 2 14 223
"383" 1 1.12849162011173 3 4 3 14 224
"384" 0 1 2.23456790123457 2 2 14 225
"385" 1 5 5 2 3 14 226
"386" 0 0 3 2 2 14 227
"387" 1 4 3 4 3 14 227
"388" 0 0 2.23456790123457 5 2 14 228
"389" 1 2 3 4 3 14 229
"390" 0 1 4 4 4 14 230
"391" 0 0 4 2 2 14 230
"392" 0 0 4 3 2 14 230
"393" 0 2 6 4 3 14 230
"394" 1 1 2.23456790123457 3 2 14 231
"395" 0 0 4 3 6 14 232
"396" 0 0 5 5 6 14 232
"397" 0 0 4 4 6 14 232
"398" 0 3 4 3 6 14 232
"399" 1 0 5 3 3 14 233
"400" 0 2 2 3 3 14 233
"401" 1 0 4 4 4 14 233
"402" 0 1.14444444444444 3 4 4 14 234
"403" 0 0 1.11602209944751 3 2 15 235
"404" 1 4.01041666666667 3 2 3 15 236
"405" 1 0 1 2 2 15 237
"406" 0 0 3 2 3 15 237
"407" 1 6.01041666666667 4 2 2 15 238
"408" 1 1.01041666666667 3 3 3 15 239
"409" 0 0.0104166666666667 3 3 3 15 240
"410" 1 5.01041666666667 6 4 4 15 241
"411" 0 0 2 2 1 15 242
"412" 1 0.0104166666666667 3.11602209944751 2 2 15 243
"413" 1 8 4 2 2 15 244
"414" 0 3 2 3 7 15 245
"415" 1 5 3 2 7 15 245
"416" 1 4 3 2 7 15 245
"417" 0 0 3 2 7 15 245
"418" 0 0 6 2 7 15 246
"419" 0 4 7 2 7 15 246
"420" 1 1 5 2 7 15 246
"421" NA 0.908965653639311 6.11602209944751 4 7 15 247
"422" 0 0 4 2 7 15 248
"423" 1 0 5 1 7 15 249
"424" 0 0 5 1 7 15 250
"425" 0 1 5 3 7 15 251
"426" 0 0 7 2 7 15 251
"427" 0 1 4 2 7 15 251
"428" 0 1 4.33333333333333 2 2 15 251
"429" 0 0 5 2 2 15 252
"430" 1 0 3 2 2 15 252
"431" 0 1 2 2 2 15 252
"432" 0 3 5 4 2 15 448
"433" 1 1 5 4 2 15 448
"434" 0 1 3 1 3 15 448
"435" 0 1 3 4 4 15 448
"436" 0 0.0828729281767956 1.07936507936508 1 5 16 253
"437" 0 0.0828729281767956 1.07936507936508 1 5 16 253
"438" 0 3 1.07936507936508 1 4 16 254
"439" 0 0 1.07936507936508 1 7 16 255
"440" 0 1.30256410256410 3.07936507936508 1 7 16 256
"441" 0 1 4 4 3 16 257
"442" NA 0.902725219642513 3.07936507936508 1 2 16 258
"443" 0 1 2 1 5 16 259
"444" 0 2 1.07936507936508 5 2 16 260
"445" 0 1.08287292817680 3 4 3 16 261
"446" 1 2 2.07936507936508 3 2 16 262
"447" 0 0 3 3 2 16 263
"448" NA 0.902725219642513 4.07936507936508 1 4 16 264
"449" 0 0 2 1 2 16 265
"450" 0 2 2 1 3 16 265
"451" 0 1 2 1 4 16 265
"452" 0 2 1.07936507936508 1 2 16 266
"453" 1 0.0828729281767956 2 2 1 16 267
"454" 0 0.0828729281767956 3 2 3 16 267
"455" 0 1 2 1 4 16 268
"456" 1 0 1 1 2 16 269
"457" 1 3 2 1 3 16 269
"458" 0 5.0828729281768 4 1 4 16 270
"459" 1 0 5 3 4 16 271
"460" 1 0 5 3 4 16 271
"461" 1 0 4 1 4 16 271
"462" 0 1 3.07936507936508 1 3 16 272
"463" 0 0 5 2 2 16 273
"464" 0 0 5 2 2 16 273
"465" 0 0 6 2 2 16 274
"466" 1 0 5.33333333333333 3 5 16 275
"467" 1 2 6 2 6 16 275
"468" 1 3.33333333333333 6 2 6 16 275
"469" 1 5 5 3 6 16 275
"470" 1 5 6 2 4 16 276
"471" 1 2 6 3 4 16 276
"472" NA 0.94361501465701 1.06338028169014 4 2 17 277
"473" 0 2 2.06338028169014 2 2 17 278
"474" 0 0 1.06338028169014 3 2 17 278
"475" 0 0 3 5 2 17 279
"476" 0 1 1 5 3 17 279
"477" 0 1 2 4 4 17 280
"478" 0 1 3 3 5 17 280
"479" 0 1 2 5 3 17 281
"480" 0 2 3 5 2 17 282
"481" 0 2 5 5 2 17 282
"482" NA 1.07823039927239 3.06338028169014 2 2 17 283
"483" 0 2 4 4 2 17 284
"484" 0 1 5 1 5 17 285
"485" 0 0 4 4 3 17 286
"486" 0 2 3 3 2 17 287
"487" 0 0 4 1 2 17 287
"488" 1 0 4 3 3 17 287
"489" NA 0.94361501465701 4.06338028169014 1 3 17 288
"490" 0 2.22119547119547 4 1 3 17 445
"491" 1 0 3.2 2 2 18 289
"492" 1 3 5 2 3 18 290
"493" 0 2 7 2 3 18 290
"494" 1 1 7 2 4 18 290
"495" 0 2 1.2 2 2 18 291
"496" 1 5 6 2 2 18 292
"497" 1 2 5 2 3 18 292
"498" 0 0.231319178259184 4 2 2 18 293
"499" 1 5 1.2 4 3 18 294
"500" 1 1 4 2 3 18 295
"501" 0 3 7 2 4 18 295
"502" 0 0.0654205607476635 3 2 4 18 296
"503" 0 4 3 2 4 18 297
"504" 1 7 4 3 3 18 298
"505" 0 5 4 2 2 18 299
"506" 0 1 3 3 2 18 299
"507" 1 2 6 2 6 18 300
"508" 0 1 7 2 6 18 300
"509" 0 1 4 2 7 18 300
"510" 1 2 4 2 4 18 301
"511" 0 1 4 2 4 18 301
"512" 1 0 3 2 4 18 301
"513" 0 1 6 4 5 18 301
"514" 0 0 1.10897435897436 1 2 19 302
"515" 1 2 5 2 4 19 303
"516" 1 0 4 2 7 19 304
"517" 1 2 3 2 7 19 304
"518" 1 3 5 2 3 19 305
"519" 0 0 5 2 4 19 305
"520" NA 1.35376108042546 3.10897435897436 2 6 19 306
"521" 0 0 3 2 2 19 307
"522" 0 0 4.10897435897436 2 3 19 308
"523" 0 0 3 2 5 19 309
"524" 1 0 3 2 5 19 309
"525" 0 1 3 2 2 19 309
"526" 1 1 3 2 7 19 310
"527" 0 0 3 2 7 19 310
"528" 0 0 4 2 7 19 310
"529" 0 1 4 2 7 19 310
"530" 0 0.0224215246636771 1.02631578947368 1 2 20 311
"531" 0 0 1.02631578947368 1 2 20 312
"532" 0 1 1.02631578947368 1 2 20 312
"533" 0 0 1.02631578947368 1 2 20 312
"534" 0 0 3 1 5 20 313
"535" 0 0 3 1 3 20 313
"536" 0 2 4 1 4 20 313
"537" 1 2 5 1 5 20 313
"538" 0 0 2 1 2 20 314
"539" 0 0 1 1 5 20 315
"540" 0 2 3 1 5 20 315
"541" NA 0.666666666666667 1 1 6 20 315
"542" 0 0 4 1 6 20 315
"543" 0 0 2 1 5 20 316
"544" 0 0 2 1 5 20 316
"545" 0 0 2 1 3 20 317
"546" 0 0 1 1 2 20 317
"547" NA 0 2 1 2 20 317
"548" 0 0 3 5 2 20 318
"549" 0 1 3 1 3 20 318
"550" 1 1 4 1 3 20 319
"551" 0 0 1 4 3 20 319
"552" 0 0 3 1 4 20 320
"553" 0 1 3 1 2 20 320
"554" 0 0 3 1 2 20 320
"555" 0 0 4 1 3 20 320
"556" 0 1 3 1 6 20 321
"557" 1 0 4 1 6 20 321
"558" 0 0 3 1 7 20 321
"559" 0 0.0316901408450704 4 5 2 21 322
"560" 0 0 3.07262569832402 1 2 21 323
"561" 0 0 2 4 4 21 324
"562" 0 0 1.07262569832402 5 2 21 325
"563" 0 0 1.07262569832402 1 3 21 326
"564" 1 0 4 4 4 21 327
"565" 1 0 2 1 3 21 328
"566" 0 0.0316901408450704 2.07262569832402 1 4 21 329
"567" NA 0.487754863330489 2.07262569832402 1 2 21 330
"568" 0 0 2 1 2 21 331
"569" 0 0 2 1 2 21 332
"570" 0 0 2 1 3 21 332
"571" 0 0 1 1 2 21 332
"572" NA 0 4 1 3 21 332
"573" NA 1.48775486333049 3.07262569832402 1 2 21 333
"574" 0 0 2.07262569832402 1 2 21 334
"575" 0 0 3.07262569832402 1 3 21 334
"576" 0 0 3 1 3 21 335
"577" 0 0 2.33333333333333 1 3 21 335
"578" 0 0 5 4 3 21 335
"579" 0 0 5 1 3 21 335
"580" 0 0 2 1 2 21 336
"581" 0 0 3.07262569832402 3 3 21 337
"582" 0 0 5 1 3 21 338
"583" 0 0 5 1 2 21 338
"584" 0 0 5 1 3 21 338
"585" 0 3 4 1 3 21 338
"586" 0 0 2 1 3 21 339
"587" 0 0 2 1 3 21 340
"588" 0 1 1.07262569832402 5 2 21 341
"589" 0 0 5 1 2 21 342
"590" 0 0 3 1 3 21 342
"591" 0 0.0316901408450704 4 1 3 21 343
"592" 0 0 3 1 3 21 344
"593" 0 0 4 1 2 21 345
"594" 1 4 5 1 2 21 345
"595" 0 0.0316901408450704 3 4 2 21 346
"596" 0 3 2 1 2 22 347
"597" 0 0 2.11392405063291 1 2 22 348
"598" 0 1.08 3 3 4 22 349
