"borough" "numunits" "stories" "race" "personrm" "housewgt" "sequenceno" "under6" "cd" "unitflr2" "regext" "totincom2" "subsidy" "housing" "poverty" "povertyx2" "extwin4_2" "extflr5_2" "intcrack2" "inthole2" "intpeel_cat" "intleak2" "duration" "board2" "struct" "old" "help" "rodent2" "foreign" "dilap" "black_Mean" "board2_Mean" "foreign_Mean" "help_Mean" "hispanic_Mean" "old_Mean" "poverty_Mean" "povertyx2_Mean" "pubhous_Mean" "regext_Mean" "struct_Mean" "dilap_Mean" "ownhous_Mean" "duration_Mean" "extwin4_2_Mean" "extflr5_2_Mean" "intcrack2_Mean" "inthole2_Mean" "intleak2_Mean" "vacrate" "bldg" "dist" "dist.stratum" "dist.id"
"1" 1 1 1 4 0.4 221.67439 849428 1 1 2 0 89000 NA 3 0 0 0 0 0 0 0 0 11 1 1 0 1 1 1 0 0.23 0.26 0.64 0.55 0.74 0.59 0.48 0.73 0.28 0.54 0.43 0.03 0.05 11.6 0.02 0.07 0.22 0.16 0.27 0.05 1 1 10 1
"2" 1 1 1 4 0.5 178.84964 614941 1 1 2 0 6000 0 4 1 1 0 0 0 0 0 0 2 0 0 0 1 0 0 0 0.23 0.26 0.64 0.55 0.74 0.59 0.48 0.73 0.28 0.54 0.43 0.03 0.05 11.6 0.02 0.07 0.22 0.16 0.27 0.05 1 1 10 1
"3" 1 1 1 3 0.6 171.05256 319687 1 1 2 0 65112 NA 3 0 0 0 0 0 0 0 0 10 0 1 0 1 0 1 0 0.23 0.26 0.64 0.55 0.74 0.59 0.48 0.73 0.28 0.54 0.43 0.03 0.05 11.6 0.02 0.07 0.22 0.16 0.27 0.05 1 1 10 1
"4" 1 1 1 4 0.4 221.67439 234969 1 1 2 0 76000 NA 4 0 0 0 0 0 0 0 0 13 0 0 0 1 0 1 0 0.23 0.26 0.64 0.55 0.74 0.59 0.48 0.73 0.28 0.54 0.43 0.03 0.05 11.6 0.02 0.07 0.22 0.16 0.27 0.05 1 1 10 1
"5" 1 3 1 2 0.2 168.49764 788175 1 1 3 NA 25000 NA 3 0 0 0 NA 0 NA 0 0 36 1 1 1 0 0 1 0 0.23 0.26 0.64 0.55 0.74 0.59 0.48 0.73 0.28 0.54 0.43 0.03 0.05 11.6 0.02 0.07 0.22 0.16 0.27 0.05 2 1 10 1
"6" 1 5 2 2 0.25 171.66205 445339 1 1 2 0 26000 0 4 0 0 0 1 0 0 0 0 16 1 1 1 1 1 0 0 0.23 0.26 0.64 0.55 0.74 0.59 0.48 0.73 0.28 0.54 0.43 0.03 0.05 11.6 0.02 0.07 0.22 0.16 0.27 0.05 3 1 10 1
"7" 1 5 2 2 0.4 170.33447 524533 1 1 3 NA 57250 0 4 0 0 0 1 0 NA 0 0 13 1 1 1 1 0 0 0 0.23 0.26 0.64 0.55 0.74 0.59 0.48 0.73 0.28 0.54 0.43 0.03 0.05 11.6 0.02 0.07 0.22 0.16 0.27 0.05 3 1 10 1
"8" 1 5 2 2 1.4 186.57207 670191 1 1 4 0 67060 0 4 0 0 0 1 1 1 2 0 12 1 0 1 0 1 1 0 0.23 0.26 0.64 0.55 0.74 0.59 0.48 0.73 0.28 0.54 0.43 0.03 0.05 11.6 0.02 0.07 0.22 0.16 0.27 0.05 3 1 10 1
"9" 1 5 1 2 0.6 171.05256 310056 1 1 3 NA 18000 NA 4 0 1 0 0 NA NA NA NA 1 0 NA 1 NA NA NA 0 0.23 0.26 0.64 0.55 0.74 0.59 0.48 0.73 0.28 0.54 0.43 0.03 0.05 11.6 0.02 0.07 0.22 0.16 0.27 0.05 4 1 10 1
"10" 1 7 3 4 1 186.57207 86143 1 1 5 0 34000 0 2 0 1 0 1 0 0 0 0 6 1 0 1 1 1 1 0 0.23 0.26 0.64 0.55 0.74 0.59 0.48 0.73 0.28 0.54 0.43 0.03 0.05 11.6 0.02 0.07 0.22 0.16 0.27 0.05 5 1 10 1
