"y" "defects" "poor" "dist" "bldg"
"1" 0 0 3 1 1
"2" 0 0 5 1 1
"3" 0 0 5 1 1
"4" 0 0 3 1 1
"5" 0 2 5 1 2
"6" 0 1 4 2 3
"7" 0 0 6 2 4
"8" 1 1 6 2 4
"9" 1 1 6 2 4
"10" 1 0 4 2 5
"11" NA 0.975008036001286 3.74821565828484 3 6
"12" 0 2 6 3 7
"13" 0 2 6 3 7
"14" 0 4 7 3 7
"15" 1 4 7 3 7
"16" NA 0.975008036001286 3.74821565828484 3 8
"17" 1 4 4 4 9
"18" 1 4 5 4 9
"19" 0 2 2 4 10
"20" 1 2 2 4 10
"21" 1 0.975008036001286 4 4 10
"22" 1 1 3 4 10
"23" 1 4 3 4 11
"24" 1 6 6 4 11
"25" 0 1 3.74821565828484 5 12
"26" 0 1 3.74821565828484 5 12
"27" 0 1 2 5 12
"28" 1 0 3 5 13
"29" 0 2 3 6 14
"30" 0 1 5 6 14
"31" 1 3 3.74821565828484 6 14
"32" 1 6 3 6 14
"33" 0 0.975008036001286 3 6 15
"34" NA 0.975008036001286 3.74821565828484 6 15
"35" NA 0.975008036001286 3.74821565828484 7 16
"36" NA 0.975008036001286 3.74821565828484 7 17
"37" 0 1 4 7 18
"38" 0 1 3 7 19
"39" 0 1 5 7 20
"40" 0 0 3.74821565828484 8 21
"41" 0 0.975008036001286 3.74821565828484 8 21
"42" 0 0.975008036001286 3.74821565828484 8 21
"43" 0 0.975008036001286 3.74821565828484 8 21
"44" NA 0.975008036001286 3.74821565828484 8 22
"45" 0 1 3.74821565828484 8 22
"46" 0 0 3.74821565828484 8 22
"47" 0 0 3.74821565828484 8 22
"48" NA 0.975008036001286 3.74821565828484 9 23
"49" 0 0 2 9 24
"50" 0 0 3.74821565828484 9 24
"51" NA 0.975008036001286 3.74821565828484 9 24
"52" 0 1 2 9 24
"53" NA 0.975008036001286 3.74821565828484 9 25
"54" 1 0.975008036001286 3.74821565828484 9 25
"55" 0 0 3.74821565828484 10 26
"56" 0 0 4 10 27
"57" 0 0 4 10 27
"58" 0 1 3.74821565828484 10 27
"59" 0 0 2 10 27
"60" 0 0 3.74821565828484 10 28
"61" 0 0 3 10 29
"62" 0 0 3 10 29
"63" 0 0 3 10 29
"64" 1 5 4 10 30
"65" 1 3 4 10 30
"66" 0 4 3 10 30
"67" 0 6 6 10 30
"68" NA 0.975008036001286 3.74821565828484 11 31
"69" 0 0 2 11 31
"70" NA 0.975008036001286 3.74821565828484 11 31
"71" NA 0.975008036001286 3.74821565828484 11 31
"72" 0 0 2 11 32
"73" 0 0.975008036001286 3.74821565828484 11 32
"74" 0 0.975008036001286 3.74821565828484 11 32
"75" 0 1 2 11 33
"76" 0 1 3 11 33
"77" NA 0.975008036001286 3.74821565828484 11 33
"78" 0 0 3.74821565828484 11 33
"79" 0 0 5 11 34
"80" 0 0 5 11 34
"81" 0 0 5 11 34
"82" 0 4 3.74821565828484 12 35
"83" 1 0 3.74821565828484 12 35
"84" 0 0 3 12 35
"85" 0 0 4 12 36
"86" 1 2 3 12 37
"87" 0 2 4 12 37
"88" 1 5 7 12 37
"89" 1 1 6 12 37
"90" NA 0.975008036001286 3.74821565828484 12 38
"91" NA 0.975008036001286 3.74821565828484 13 39
"92" 0 0 4 14 40
"93" NA 0.975008036001286 3.74821565828484 14 40
"94" 0 0.975008036001286 3 14 41
"95" 0 2 2 14 41
"96" 1 0 5 14 42
"97" 0 0.975008036001286 5 15 43
"98" 0 0.975008036001286 3.74821565828484 15 44
"99" 1 1 3 15 45
"100" NA 0.975008036001286 3.74821565828484 15 46
"101" 0 1 3.74821565828484 15 46
"102" 0 0 3.74821565828484 15 46
"103" 0 0 3 15 46
"104" NA 0.975008036001286 3.74821565828484 16 47
"105" 0 0.975008036001286 2 16 47
"106" 0 4 3 16 48
"107" 0 0 3.74821565828484 16 48
"108" 0 1 2 16 48
"109" 0 2 3.74821565828484 16 48
"110" 0 5 3.74821565828484 17 49
"111" 0 2 3 17 50
"112" 0 0 4 17 50
"113" 1 0 4 17 50
"114" 1 2 5 17 50
"115" 1 1 3.74821565828484 18 51
"116" 0 1 3 19 52
"117" 0 1 3 19 52
"118" 0 1 3 19 52
"119" 0 1 3 19 52
"120" 0 1 3.74821565828484 19 53
"121" 0 0 3.74821565828484 19 54
"122" NA 0.975008036001286 3.74821565828484 20 55
"123" 0 0 3.74821565828484 20 55
"124" 0 0 3.74821565828484 20 56
"125" 0 0.975008036001286 3.74821565828484 20 56
"126" 0 0 3 20 57
"127" 0 0.975008036001286 3 20 58
"128" 0 0 2 20 58
"129" 0 0 3.74821565828484 21 59
"130" 0 0 2 21 59
"131" 0 0 2 21 59
"132" 0 0 3 21 59
"133" 0 0 3.74821565828484 21 60
"134" 0 0 3 21 61
"135" 0 0 3 21 61
"136" 0 1 4 21 61
"137" 0 3 5 21 61
"138" 0 0 3.74821565828484 21 62
"139" 0 5 4 21 63
"140" 0 0 3.74821565828484 21 63
"141" 0 0 3 21 64
"142" 0 0.975008036001286 2 21 64
"143" NA 0.975008036001286 3.74821565828484 21 64
"144" 0 0 3 21 65
"145" 0 0.975008036001286 5 21 65
"146" NA 0.975008036001286 3.74821565828484 21 65
"147" 1 0.975008036001286 3.74821565828484 21 65
"148" NA 0.975008036001286 3.74821565828484 22 66
"149" 0 0.975008036001286 3.74821565828484 22 67
"150" 1 0.975008036001286 3.74821565828484 22 67
"151" 0 0 2 22 67
"152" 0 0 3.74821565828484 24 68
"153" 0 0 3.74821565828484 24 68
"154" 0 0 3.74821565828484 24 68
"155" 0 0 3.74821565828484 24 68
"156" 0 2 4 24 69
"157" 0 0.975008036001286 3.74821565828484 24 69
"158" 0 0.975008036001286 3.74821565828484 24 69
"159" 0 1 3 24 70
"160" NA 0.975008036001286 3.74821565828484 24 70
"161" 0 2 3 24 71
"162" 0 0 4 24 71
"163" 0 1 7 24 72
"164" 0 1 6 24 72
"165" 0 1 3 24 73
"166" 1 0.975008036001286 4 24 74
"167" 0 0.975008036001286 3.74821565828484 25 75
"168" 0 0 3 25 76
"169" 0 0 3.74821565828484 25 77
"170" 1 0.975008036001286 3.74821565828484 25 78
"171" 0 2 3 25 78
"172" 0 1 2 25 78
"173" NA 0.975008036001286 3.74821565828484 25 78
"174" 0 2 6 25 79
"175" 0 0.975008036001286 3 25 79
"176" 0 0.975008036001286 5 25 79
"177" 1 4 2 25 80
"178" 1 0 3 25 80
"179" 1 3 5 25 80
"180" 0 0 2 27 81
"181" 0 0 3.74821565828484 27 81
"182" 0 0 3.74821565828484 27 82
"183" 0 0 3.74821565828484 27 82
"184" 0 1 3.74821565828484 27 82
"185" 0 0.975008036001286 3.74821565828484 27 83
"186" 0 0 3.74821565828484 27 84
"187" 0 0 3.74821565828484 27 84
"188" 0 0 3.74821565828484 27 84
"189" 1 3 3.74821565828484 27 84
"190" 1 0 3.74821565828484 28 85
"191" 0 2 5 28 86
"192" 0 0.975008036001286 4 28 86
"193" 0 3 6 28 86
"194" 0 1 6 28 86
"195" 1 0 3.74821565828484 29 87
"196" 0 0 3.74821565828484 29 87
"197" NA 0.975008036001286 3.74821565828484 29 88
"198" 1 0 5 29 88
"199" 0 0 3 29 88
"200" 0 0 3.74821565828484 29 89
"201" 0 0 3.74821565828484 29 89
"202" NA 0.975008036001286 3.74821565828484 29 90
"203" 0 0 3 29 91
"204" NA 0.975008036001286 3.74821565828484 29 91
"205" 0 1 4 30 92
"206" 0 0.975008036001286 4 30 92
"207" 0 0.975008036001286 4 30 92
"208" 0 5 5 30 93
"209" 0 1 3.74821565828484 31 94
"210" 0 0 3 31 95
"211" 1 3 3 31 95
"212" 0 1 5 31 96
"213" 0 0 2 31 97
"214" 0 1 3 31 97
"215" NA 0.975008036001286 3.74821565828484 31 97
"216" 0 0 3.74821565828484 31 97
"217" 0 0 3 31 98
"218" 1 1 4 31 99
"219" 1 6 3 31 99
"220" 1 1 4 31 99
"221" 0 0.975008036001286 3 31 99
"222" NA 0.975008036001286 2 31 100
"223" NA 0.975008036001286 5 31 100
"224" 0 3 2 31 101
"225" 0 2 2 31 101
"226" 0 0 3 31 101
"227" NA 0.975008036001286 3.74821565828484 31 101
"228" 0 0 5 31 102
"229" 0 0 5 31 102
"230" NA 0.975008036001286 3.74821565828484 32 103
"231" 0 1 3.74821565828484 32 104
"232" 0 1 3.74821565828484 32 104
"233" 0 2 3.74821565828484 32 104
"234" NA 0.975008036001286 3.74821565828484 32 104
"235" 0 0 3.74821565828484 32 105
"236" 0 0 4 32 106
"237" NA 0.975008036001286 3.74821565828484 32 106
"238" 0 0 3 32 107
"239" 0 0 4 32 108
"240" 0 0 2 32 108
"241" NA 0.975008036001286 3.74821565828484 32 108
"242" 0 0 3.74821565828484 32 108
"243" 0 0 3 32 109
"244" 0 0 3 32 109
"245" 1 0 3 32 109
"246" 0 0 3 32 109
"247" 0 0 3 32 110
"248" 0 0 4 33 111
"249" 0 0.975008036001286 3.74821565828484 33 111
"250" 0 0 3.74821565828484 33 111
"251" 1 2 3 33 111
"252" 0 0.975008036001286 3.74821565828484 33 112
"253" 0 0 3.74821565828484 33 113
"254" 0 1 2 33 114
"255" 0 1 3.74821565828484 33 114
"256" 0 0 3.74821565828484 33 114
"257" NA 0.975008036001286 3.74821565828484 33 114
"258" NA 2 3.74821565828484 33 115
"259" NA 0.975008036001286 3.74821565828484 33 115
"260" NA 0.975008036001286 3.74821565828484 33 115
"261" 0 0 3.74821565828484 33 115
"262" 1 0 3.74821565828484 33 116
"263" NA 0.975008036001286 3.74821565828484 33 116
"264" 0 1 3.74821565828484 33 116
"265" 0 0 3.74821565828484 33 116
"266" 0 1 4 34 117
"267" 0 1 4 34 117
"268" 0 4 4 34 117
"269" NA 0.975008036001286 4 35 118
"270" 1 0.975008036001286 4 35 118
"271" 1 4 3 35 118
"272" 0 0 2 35 118
"273" 1 4 2 35 119
"274" 0 1 4 36 120
"275" 0 1 6 36 120
"276" 0 0.975008036001286 6 36 120
"277" 1 2 6 36 121
"278" 1 2 5 36 122
"279" 0 0 6 36 123
"280" 1 3 6 36 124
"281" 1 5 5 36 125
"282" 0 1 3 36 125
"283" 0 2 5 36 126
"284" 0 6 6 36 127
"285" 0 4 4 36 127
"286" 1 7 4 36 127
"287" 0 0 3.74821565828484 37 128
"288" 1 0 4 37 129
"289" 0 0 4 37 130
"290" 0 0.975008036001286 3 37 131
"291" 1 5 4 37 131
"292" 1 2 4 37 131
"293" NA 0.975008036001286 3.74821565828484 38 132
"294" 1 3 4 38 132
"295" 1 5 6 38 132
"296" 1 1 6 38 132
"297" 0 0 5 38 133
"298" 1 0 5 38 133
"299" 0 0 3 38 133
"300" 1 1 3 38 133
