"dist.defects" "dist.poor"
"1" 1.12 2.7
"2" 1.31 2.54
"3" 1.57 2.11
"4" 1.54 2.18
"5" 1.1 2.06
"6" 0.69 1.24
"7" 0.75 1.65
"8" 0.25 0.88
"9" 0.57 1.47
"10" 0.73 1.46
"11" 0.35 1.9
"12" 0.7 1.58
"13" 0.87 2.46
"14" 1.21 2.6
"15" 0.69 1.95
"16" 0.63 1.43
"17" 0.82 1.48
"18" 1.11 2.21
"19" 0.89 1.57
"20" 0.33 1.02
"21" 0.32 1.42
"22" 0.64 1.62
"23" 0.42 1.63
"24" 0.8 1.59
"25" 0.37 1.23
"26" 1.15 2.25
"27" 0.66 1.35
"28" 0.33 0.98
"29" 0.54 1.15
"30" 1.2 2.01
"31" 0.55 1.34
"32" 0.25 1.06
"33" 0.39 1.16
"34" 0.27 0.98
"35" 0.9 2.19
"36" 1.31 2.49
"37" 0.79 2.51
"38" 0.89 1.94
"39" 0.4 1.51
"40" 0.43 1.29
"41" 0.51 1.2
"42" 0.62 1.28
"43" 0.28 1.15
"44" 0.32 1.04
"45" 0.31 0.95
"46" 0.35 1
"47" 0.42 1.15
"48" 0.21 0.86
"49" 0.37 0.59
"50" 0.42 1.1
"51" 0.24 0.61
"52" 0.35 1.24
"53" 0.66 1.11
"54" 0.17 0.84
"55" 0.06 0.58
