borough,numunits,stories,housewgt,sequenceno,cd,unitflr2,regext,housing,extwin4_2,extflr5_2,intcrack2,inthole2,intpeel_cat,intleak2,board2,struct,old,rodent2,dilap
1,1,1,221.67439,849428,1,2,0,3,0,0,0,0,0,0,1,1,0,1,0
1,1,1,178.84964,614941,1,2,0,4,0,0,0,0,0,0,0,0,0,0,0
1,1,1,171.05256,319687,1,2,0,3,0,0,0,0,0,0,0,1,0,0,0
1,1,1,221.67439,234969,1,2,0,4,0,0,0,0,0,0,0,0,0,0,0
1,3,1,168.49764,788175,1,3,,3,0,,0,,0,0,1,1,1,0,0
1,5,2,171.66205,445339,1,2,0,4,0,1,0,0,0,0,1,1,1,1,0
1,5,2,170.33447,524533,1,3,,4,0,1,0,,0,0,1,1,1,0,0
1,5,2,186.57207,670191,1,4,0,4,0,1,1,1,2,0,1,0,1,1,0
1,5,1,171.05256,310056,1,3,,4,0,0,,,,,0,,1,,0
1,7,3,186.57207,86143,1,5,0,2,0,1,0,0,0,0,1,0,1,1,0
1,3,2,171.05256,144972,1,2,,3,0,,,,,,0,,1,,0
1,3,2,221.67439,418306,1,2,,3,0,,,,,,0,,1,,0
1,10,4,15.51273,62520,1,3,0,2,0,0,0,0,0,0,0,0,1,1,0
1,10,4,14.77416,666603,1,3,0,2,0,1,1,1,0,1,1,0,1,1,0
1,10,4,15.51273,834543,1,3,0,2,0,1,0,0,0,1,1,0,1,1,0
1,3,1,186.57207,535089,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0
1,3,1,168.49764,102104,1,2,0,1,0,0,0,0,0,0,0,1,0,1,0
1,3,1,186.57207,652813,1,2,0,1,0,0,0,0,0,0,0,1,0,1,0
1,3,1,168.49764,923164,1,2,0,1,0,0,0,0,0,0,0,1,0,1,0
1,10,4,186.57207,326280,1,5,0,2,0,0,0,0,0,0,1,1,1,0,0
1,10,4,178.84964,365993,1,6,,2,0,0,0,0,0,0,1,1,1,1,0
1,10,4,186.57207,773671,1,6,0,2,0,0,0,0,0,0,1,1,1,0,0
1,10,4,247.89078,170365,1,6,0,2,0,0,0,0,0,0,1,0,1,0,0
1,10,4,189.67769,128311,1,4,1,2,0,0,0,0,0,0,0,1,1,0,0
1,10,4,191.49159,948690,1,4,1,2,0,0,0,0,0,0,0,1,1,0,0
1,10,4,189.67769,898054,1,4,1,2,0,0,0,0,0,0,0,1,1,0,0
1,10,4,176.21004,938231,1,4,1,2,0,0,0,0,0,0,0,1,1,0,0
1,11,5,182.99832,86544,1,3,1,2,0,0,0,0,0,1,1,0,1,0,0
1,11,5,178.84964,725140,1,3,1,2,0,0,0,0,0,1,0,0,1,1,0
1,11,4,249.15661,850136,1,3,0,2,0,0,0,0,0,0,0,0,1,1,0
1,10,5,170.33447,458188,1,3,1,2,0,0,0,0,0,0,0,0,1,1,0
1,10,4,16.29233,885059,1,2,0,4,0,0,1,1,1,1,1,0,1,1,0
1,9,3,15.71861,656026,1,3,0,4,0,0,0,0,1,0,1,0,1,1,0
1,9,3,182.99832,482104,1,4,1,2,0,0,0,0,0,1,0,0,1,1,0
1,9,4,178.84964,218389,1,5,1,2,0,0,1,0,2,0,0,0,1,1,0
1,10,4,191.49159,970836,1,5,1,2,0,0,0,0,0,1,0,1,1,1,0
1,10,4,182.99832,659943,1,5,1,2,0,0,0,0,0,0,0,0,1,0,0
1,10,4,178.84964,135212,1,4,1,2,0,0,0,0,0,0,0,0,1,1,0
1,10,3,186.57207,100784,1,4,0,2,0,0,0,0,0,0,0,0,1,1,0
1,10,4,189.67769,460717,1,4,0,2,0,0,0,0,0,0,0,1,1,1,0
1,10,4,235.29088,117459,1,4,1,2,0,0,0,1,0,0,1,0,1,1,0
1,10,5,191.49159,93422,1,6,0,4,0,0,0,1,0,0,0,1,0,1,0
1,10,5,178.84964,898186,1,6,0,4,0,0,1,0,0,1,0,0,0,1,0
1,10,5,191.49159,646457,1,7,1,4,0,0,0,0,0,0,0,0,0,0,0
1,10,5,176.21004,9291,1,7,0,4,0,0,0,0,1,1,0,0,0,1,0
1,5,2,192.07356,773604,1,2,0,3,0,0,1,0,0,0,0,0,1,0,0
1,3,2,186.57207,479003,1,3,0,4,0,0,0,0,1,0,0,0,1,0,0
1,5,2,171.66205,287101,1,1,0,4,0,0,0,0,0,1,0,0,1,0,0
1,3,1,226.18077,159827,1,2,0,4,0,0,1,0,1,1,1,0,1,0,0
1,9,3,226.18077,293777,1,2,0,2,0,0,0,0,0,0,0,1,1,0,0
1,9,3,226.18077,792587,1,2,1,2,0,0,0,0,0,1,0,0,1,1,0
1,9,3,226.18077,595617,1,3,1,2,0,0,0,0,0,0,0,1,1,0,0
1,9,3,226.18077,18390,1,3,,2,0,0,,,,,0,,1,,0
1,9,4,191.49159,681190,1,2,1,2,0,0,0,0,0,1,0,1,1,0,0
1,9,4,235.29088,598795,1,2,1,2,0,0,0,0,0,0,0,0,1,1,0
1,9,4,168.49764,196462,1,2,1,2,0,0,1,0,0,0,0,1,1,1,0
1,9,4,186.57207,382240,1,3,1,2,0,0,0,0,0,1,0,1,1,0,0
1,7,4,178.84964,553740,1,3,1,4,0,0,1,0,0,0,0,0,1,1,0
1,8,4,178.84964,676664,1,4,1,2,0,0,,0,0,0,0,1,1,1,0
1,7,3,235.29088,375208,1,4,0,2,0,0,0,0,0,0,0,0,1,1,0
1,8,4,186.57207,986792,1,5,1,2,0,0,1,0,0,1,0,1,1,1,0
1,10,5,172.33043,916219,1,2,1,2,0,0,0,0,0,0,0,1,1,0,0
1,10,5,171.66205,999055,1,2,1,2,0,0,0,0,0,0,0,1,1,0,0
1,10,5,176.21004,668438,1,2,1,3,0,0,0,0,0,0,0,1,1,0,0
1,10,4,15.13553,998787,1,5,0,4,0,1,1,1,0,1,1,0,1,1,0
1,10,5,249.15661,344703,1,5,1,2,0,1,1,0,2,1,0,0,1,1,1
1,10,4,189.67769,174734,1,6,,2,0,1,1,1,0,0,0,0,1,1,1
1,10,4,172.33043,772162,1,5,0,2,0,1,0,0,0,0,1,0,1,1,1
1,3,1,182.99832,73892,1,2,1,4,0,0,0,0,0,1,1,0,1,0,0
1,5,2,191.49159,645919,1,,0,4,0,0,0,0,0,0,1,1,1,0,0
1,1,1,221.67439,675093,1,2,0,3,0,0,0,0,0,0,1,1,1,0,0
1,8,4,15.51273,7343,1,6,0,2,0,0,0,,0,0,0,0,1,1,0
1,10,4,15.13553,261030,1,2,0,4,0,0,0,0,0,0,0,1,1,0,0
1,10,4,182.99832,255139,1,4,1,4,0,0,0,0,0,1,0,1,1,0,0
1,10,5,171.66205,964529,1,4,0,4,0,0,0,0,0,0,0,1,1,0,0
1,10,4,176.21004,741971,1,5,1,4,0,0,0,0,0,0,0,0,1,1,0
1,10,4,170.33447,829123,1,3,1,4,0,0,1,0,0,1,0,0,1,0,0
1,10,4,182.99832,252740,1,4,1,4,0,0,0,0,0,1,1,0,1,0,0
1,10,4,178.84964,816936,1,4,1,4,0,0,0,0,0,1,0,0,1,0,
1,10,4,191.49159,403142,1,4,1,4,0,1,0,0,0,1,1,0,1,0,0
1,11,6,168.49764,172462,1,4,1,1,0,0,1,1,1,0,0,0,0,0,0
1,10,5,171.66205,500716,1,4,,1,0,,1,1,1,1,0,0,0,1,0
1,11,6,168.49764,870750,1,4,,1,0,0,0,0,0,0,0,0,0,0,0
1,11,6,171.66205,139474,1,4,,1,0,0,0,0,0,0,0,1,0,1,0
1,9,4,178.84964,463351,1,3,1,2,0,0,0,0,0,0,0,1,1,0,0
1,10,4,213.63450,280139,1,3,1,2,0,0,1,0,0,0,1,0,1,0,0
1,10,4,213.63450,101842,1,4,1,2,0,0,0,0,0,1,1,0,1,0,0
1,10,4,249.15661,669065,1,4,1,2,0,0,0,0,0,1,0,0,1,0,0
1,12,6,186.57207,467502,1,8,0,1,0,0,0,0,0,0,0,0,0,0,0
1,11,6,178.84964,621631,1,8,0,1,0,0,0,0,0,0,0,0,0,0,0
1,12,6,226.18077,214547,1,8,1,1,0,0,0,0,0,0,0,1,0,0,0
1,12,6,186.57207,211966,1,8,0,1,0,0,1,1,2,0,0,0,0,1,0
1,10,4,178.84964,496251,1,5,1,3,0,0,0,0,0,0,0,0,1,1,0
1,10,4,186.57207,749711,1,5,1,3,0,0,0,0,0,0,0,1,1,1,0
1,10,4,186.57207,250163,1,5,,2,0,0,0,0,0,1,0,1,1,1,0
1,10,4,235.29088,303007,1,6,0,4,0,0,0,0,0,1,0,0,1,1,0
1,12,6,171.66205,444135,1,7,0,1,0,0,0,0,,0,0,1,0,0,0
1,12,6,171.66205,156796,1,7,1,1,0,0,0,0,0,0,0,0,0,0,0
1,12,6,168.49764,555187,1,7,1,1,0,0,0,,0,0,0,1,0,0,0
1,12,6,171.66205,9592,1,7,0,1,0,0,1,0,0,0,0,1,0,0,0
1,7,3,171.66205,790911,1,5,1,2,0,0,0,0,0,0,0,0,1,0,0
1,6,3,176.21004,592604,1,2,0,4,0,0,0,1,0,1,1,0,1,,1
1,9,6,168.49764,364473,1,7,1,1,0,0,0,0,0,0,0,1,0,0,0
1,12,6,235.29088,936811,1,7,1,1,0,0,0,0,0,0,0,1,0,0,0
1,9,6,235.29088,445570,1,7,1,1,0,0,0,0,0,0,0,0,0,0,0
1,12,6,213.63450,727702,1,7,1,1,0,0,0,0,0,0,1,1,0,0,0
1,10,4,191.49159,525876,1,4,1,2,0,0,0,0,0,1,0,0,1,0,1
1,10,5,168.49764,841661,1,4,0,2,0,0,1,1,0,1,0,0,1,0,0
1,10,5,178.84964,209092,1,4,0,2,0,0,1,0,2,1,0,0,1,1,0
1,10,5,168.49764,596616,1,4,0,2,0,0,0,0,0,0,0,1,1,1,0
1,12,6,176.21004,262870,1,7,1,1,0,0,0,0,0,0,0,1,0,0,0
1,12,6,189.67769,721765,1,7,1,1,0,0,0,0,0,0,1,0,0,1,0
1,12,6,186.57207,63086,1,7,0,1,0,0,1,1,0,0,1,0,0,1,0
