"borough" "numunits" "stories" "race" "personrm" "housewgt" "sequenceno" "under6" "cd" "unitflr2" "regext" "totincom2" "subsidy" "housing" "poverty" "povertyx2" "extwin4_2" "extflr5_2" "intcrack2" "inthole2" "intpeel_cat" "intleak2" "duration" "board2" "struct" "old" "help" "rodent2" "foreign" "dilap" "black_Mean" "board2_Mean" "foreign_Mean" "help_Mean" "hispanic_Mean" "old_Mean" "poverty_Mean" "povertyx2_Mean" "pubhous_Mean" "regext_Mean" "struct_Mean" "dilap_Mean" "ownhous_Mean" "duration_Mean" "extwin4_2_Mean" "extflr5_2_Mean" "intcrack2_Mean" "inthole2_Mean" "intleak2_Mean" "vacrate" "bldg"
"24" 1 10 4 4 1 189.67769 128311 1 1 4 1 43540 0 2 0 0 0 0 0 0 0 0 1 0 1 1 1 0 1 0 0.23 0.26 0.64 0.55 0.74 0.59 0.48 0.73 0.28 0.54 0.43 0.03 0.05 11.6 0.02 0.07 0.22 0.16 0.27 0.05 11
"25" 1 10 4 4 1.33 191.49159 948690 2 1 4 1 15000 0 2 1 1 0 0 0 0 0 0 9 0 1 1 1 0 1 0 0.23 0.26 0.64 0.55 0.74 0.59 0.48 0.73 0.28 0.54 0.43 0.03 0.05 11.6 0.02 0.07 0.22 0.16 0.27 0.05 11
"26" 1 10 4 3 2 189.67769 898054 3 1 4 1 10000 0 2 1 1 0 0 0 0 0 0 3 0 1 1 1 0 1 0 0.23 0.26 0.64 0.55 0.74 0.59 0.48 0.73 0.28 0.54 0.43 0.03 0.05 11.6 0.02 0.07 0.22 0.16 0.27 0.05 11
"27" 1 10 4 4 0.67 176.21004 938231 1 1 4 1 28100 0 2 0 0 0 0 0 0 0 0 3 0 1 1 0 0 1 0 0.23 0.26 0.64 0.55 0.74 0.59 0.48 0.73 0.28 0.54 0.43 0.03 0.05 11.6 0.02 0.07 0.22 0.16 0.27 0.05 11
"33" 1 9 3 2 1 15.71861 656026 2 1 3 0 18200 0 4 1 1 0 0 0 0 1 0 17 1 0 1 1 1 0 0 0.23 0.26 0.64 0.55 0.74 0.59 0.48 0.73 0.28 0.54 0.43 0.03 0.05 11.6 0.02 0.07 0.22 0.16 0.27 0.05 16
"34" 1 9 3 4 1.5 182.99832 482104 1 1 4 1 57000 0 2 0 0 0 0 0 0 0 1 8 0 0 1 0 1 1 0 0.23 0.26 0.64 0.55 0.74 0.59 0.48 0.73 0.28 0.54 0.43 0.03 0.05 11.6 0.02 0.07 0.22 0.16 0.27 0.05 16
"46" 1 5 2 3 0.25 192.07356 773604 1 1 2 0 12000 NA 3 0 1 0 0 1 0 0 0 26 0 0 1 0 0 1 0 0.23 0.26 0.64 0.55 0.74 0.59 0.48 0.73 0.28 0.54 0.43 0.03 0.05 11.6 0.02 0.07 0.22 0.16 0.27 0.05 22
"58" 1 7 4 5 0.75 178.84964 553740 1 1 3 1 48900 NA 4 0 0 0 0 1 0 0 0 4 0 0 1 0 1 1 0 0.23 0.26 0.64 0.55 0.74 0.59 0.48 0.73 0.28 0.54 0.43 0.03 0.05 11.6 0.02 0.07 0.22 0.16 0.27 0.05 28
"71" 1 1 1 1 0.33 221.67439 675093 1 1 2 0 101000 NA 3 0 0 0 0 0 0 0 0 19 1 1 1 1 0 0 0 0.23 0.26 0.64 0.55 0.74 0.59 0.48 0.73 0.28 0.54 0.43 0.03 0.05 11.6 0.02 0.07 0.22 0.16 0.27 0.05 38
"83" 1 11 6 3 0.33 168.49764 870750 1 1 4 NA 7728 0 1 1 1 0 0 0 0 0 0 6 0 0 0 1 0 1 0 0.23 0.26 0.64 0.55 0.74 0.59 0.48 0.73 0.28 0.54 0.43 0.03 0.05 11.6 0.02 0.07 0.22 0.16 0.27 0.05 47
