"rownames","id","site","sex","age","viewcat","setting","viewenc","prebody","prelet","preform","prenumb","prerelat","preclasf","postbody","postlet","postform","postnumb","postrelat","postclasf","peabody","agecat","encour","_Isite_2","_Isite_3","_Isite_4","_Isite_5","regular","watched","encouraged","y","pretest"
1,1,1,1,66,1,2,1,16,23,12,40,14,20,18,30,14,44,14,23,62,1,1,0,0,0,0,0,0,1,30,23
2,2,1,2,67,3,2,1,30,26,9,39,16,22,30,37,17,39,14,22,8,1,1,0,0,0,0,1,1,1,37,26
3,3,1,1,56,3,2,2,22,14,9,9,9,8,21,46,15,40,9,19,32,1,0,0,0,0,0,1,1,0,46,14
4,4,1,1,49,1,2,2,23,11,10,14,9,13,21,14,13,19,8,15,27,0,0,0,0,0,0,0,0,0,14,11
5,5,1,1,69,4,2,2,32,47,15,51,17,22,32,63,18,54,14,21,71,1,0,0,0,0,0,1,1,0,63,47
6,6,1,2,54,3,2,2,29,26,10,33,14,14,27,36,14,39,16,24,32,1,0,0,0,0,0,1,1,0,36,26
7,7,1,2,47,3,2,2,23,12,11,13,11,12,22,45,12,44,12,15,28,0,0,0,0,0,0,1,1,0,45,12
8,8,1,1,51,2,2,1,32,48,19,52,15,23,31,47,18,51,17,23,38,0,1,0,0,0,0,1,1,1,47,48
9,9,1,1,69,4,2,1,27,44,18,42,15,20,32,50,17,48,14,24,49,1,1,0,0,0,0,1,1,1,50,44
10,10,1,2,53,3,2,1,30,38,17,31,10,17,32,52,19,52,17,24,32,1,1,0,0,0,0,1,1,1,52,38
11,11,1,2,58,2,2,2,25,48,14,38,16,18,26,52,15,42,10,17,43,1,0,0,0,0,0,1,1,0,52,48
12,12,1,2,58,4,2,2,21,25,13,29,16,21,17,29,15,40,10,19,58,1,0,0,0,0,0,1,1,0,29,25
13,13,1,2,49,1,2,2,28,8,9,13,8,12,20,16,9,18,10,13,39,0,0,0,0,0,0,0,0,0,16,8
14,14,1,1,64,2,2,1,26,11,15,21,10,15,26,28,15,35,16,14,43,1,1,0,0,0,0,1,1,1,28,11
15,15,1,2,58,2,2,1,23,15,9,16,9,11,28,21,10,22,10,17,56,1,1,0,0,0,0,1,1,1,21,15
16,16,1,1,49,3,2,1,25,12,17,24,12,18,28,45,14,45,13,21,37,0,1,0,0,0,0,1,1,1,45,12
17,17,1,1,57,2,2,1,25,15,13,16,10,18,25,24,16,28,8,18,43,1,1,0,0,0,0,1,1,1,24,15
18,18,1,1,45,4,2,1,16,12,8,11,6,3,25,16,11,17,9,9,29,0,1,0,0,0,0,1,1,1,16,12
19,19,1,1,45,3,2,1,25,16,12,23,10,13,32,46,18,35,14,19,45,0,1,0,0,0,0,1,1,1,46,16
20,20,1,1,60,3,2,2,19,19,8,23,14,10,28,50,12,38,12,13,51,1,0,0,0,0,0,1,1,0,50,19
21,21,1,2,65,4,2,1,29,24,14,41,10,23,29,48,20,51,15,24,55,1,1,0,0,0,0,1,1,1,48,24
22,22,1,1,44,4,1,1,25,15,17,22,11,16,32,42,19,45,15,19,49,0,1,0,0,0,0,1,1,1,42,15
23,23,1,2,38,3,1,1,20,9,2,7,8,9,22,23,17,19,15,14,31,0,1,0,0,0,0,1,1,1,23,9
24,24,1,1,35,4,1,1,11,6,8,16,8,9,22,27,16,20,14,15,40,0,1,0,0,0,0,1,1,1,27,6
25,25,1,2,42,2,1,1,15,7,8,11,12,7,14,13,7,21,12,10,48,0,1,0,0,0,0,1,1,1,13,7
26,26,1,2,50,2,1,1,26,14,10,36,13,17,25,18,14,42,13,18,35,0,1,0,0,0,0,1,1,1,18,14
27,27,1,1,61,4,2,2,28,42,16,40,16,11,24,27,15,20,14,14,62,1,0,0,0,0,0,1,1,0,27,42
28,28,1,2,34,4,1,1,17,13,7,10,5,11,21,17,13,13,10,15,42,0,1,0,0,0,0,1,1,1,17,13
29,29,1,1,60,3,1,2,23,13,9,23,11,14,28,20,18,45,14,21,58,1,0,0,0,0,0,1,1,0,20,13
30,30,1,2,39,2,1,1,11,5,5,5,5,1,27,15,13,9,8,12,29,0,1,0,0,0,0,1,1,1,15,5
31,31,1,1,39,3,1,1,24,4,11,25,11,17,21,11,12,13,9,10,49,0,1,0,0,0,0,1,1,1,11,4
32,32,1,2,41,2,1,1,24,8,3,14,8,8,21,17,10,18,9,14,30,0,1,0,0,0,0,1,1,1,17,8
33,33,1,2,55,3,1,1,31,15,17,45,16,24,32,43,18,46,13,21,62,1,1,0,0,0,0,1,1,1,43,15
34,34,1,2,42,3,1,1,23,11,7,15,6,7,29,27,14,33,9,19,58,0,1,0,0,0,0,1,1,1,27,11
35,35,1,1,50,4,1,1,18,17,12,28,12,17,29,41,15,48,12,22,55,0,1,0,0,0,0,1,1,1,41,17
36,36,1,1,58,2,1,1,13,12,6,10,6,11,29,23,11,27,8,10,33,1,1,0,0,0,0,1,1,1,23,12
37,37,1,2,59,3,1,2,27,7,13,23,12,10,32,39,18,49,16,19,55,1,0,0,0,0,0,1,1,0,39,7
38,38,1,2,36,1,1,2,11,12,9,5,5,3,12,12,6,13,9,6,27,0,0,0,0,0,0,0,0,0,12,12
39,39,1,1,51,2,1,1,32,16,16,34,15,17,21,17,6,21,8,12,62,0,1,0,0,0,0,1,1,1,17,16
40,40,1,1,51,2,1,1,31,18,13,33,15,14,21,16,11,7,9,11,58,0,1,0,0,0,0,1,1,1,16,18
41,41,1,1,48,3,1,1,13,14,8,8,10,11,21,22,10,28,8,19,34,0,1,0,0,0,0,1,1,1,22,14
42,42,1,1,43,2,1,1,17,13,14,13,11,14,24,19,12,22,11,20,32,0,1,0,0,0,0,1,1,1,19,13
43,43,1,2,35,3,1,2,23,12,8,9,5,5,29,11,8,9,11,11,32,0,0,0,0,0,0,1,1,0,11,12
44,44,1,2,36,1,1,2,11,2,6,5,2,4,21,6,11,6,6,7,28,0,0,0,0,0,0,0,0,0,6,2
45,45,1,2,39,2,1,2,20,18,6,4,4,6,19,8,11,22,10,10,29,0,0,0,0,0,0,1,1,0,8,18
46,46,1,1,45,4,1,2,14,13,9,16,9,12,29,48,17,48,14,19,35,0,0,0,0,0,0,1,1,0,48,13
47,47,1,1,58,3,1,2,30,38,15,45,14,18,32,48,19,46,14,23,67,1,0,0,0,0,0,1,1,0,48,38
48,48,1,2,38,3,1,1,13,10,7,8,5,7,26,36,14,20,10,16,29,0,1,0,0,0,0,1,1,1,36,10
49,49,1,2,57,4,1,1,26,15,11,22,10,15,24,20,18,28,12,18,35,1,1,0,0,0,0,1,1,1,20,15
50,50,1,1,49,3,1,2,26,35,10,47,13,17,26,13,7,12,11,14,67,0,0,0,0,0,0,1,1,0,13,35
51,51,1,1,55,1,2,2,24,11,10,18,8,10,20,10,14,23,10,10,39,1,0,0,0,0,0,0,0,0,10,11
52,52,1,2,44,4,2,2,25,39,18,41,9,21,30,47,20,50,11,23,90,0,0,0,0,0,0,1,1,0,47,39
53,53,1,1,56,1,2,2,13,11,6,15,10,11,15,13,9,13,10,6,46,1,0,0,0,0,0,0,0,0,13,11
54,54,1,2,48,2,2,2,17,11,9,14,8,9,26,32,15,27,11,11,39,0,0,0,0,0,0,1,1,0,32,11
55,55,1,1,50,2,2,2,16,10,8,9,7,6,21,15,17,17,12,15,34,0,0,0,0,0,0,1,1,0,15,10
56,56,1,1,52,1,2,2,16,15,6,13,11,13,19,14,14,18,7,16,38,1,0,0,0,0,0,0,0,0,14,15
57,57,1,2,51,2,2,1,24,14,10,20,10,17,28,21,17,36,19,17,34,0,1,0,0,0,0,1,1,1,21,14
58,58,1,2,58,1,2,2,25,17,17,23,14,15,25,16,19,28,4,20,37,1,0,0,0,0,0,0,0,0,16,17
59,59,1,2,48,3,2,2,13,10,10,13,9,7,27,15,14,23,11,12,33,0,0,0,0,0,0,1,1,0,15,10
60,60,1,1,54,4,2,2,16,13,10,10,9,7,19,20,14,19,12,11,36,1,0,0,0,0,0,1,1,0,20,13
61,61,2,1,52,4,2,2,20,35,15,21,8,20,27,48,19,47,15,22,49,1,0,1,0,0,0,1,1,0,48,35
62,62,2,2,48,1,2,2,20,12,11,13,7,11,28,19,17,17,11,17,53,0,0,1,0,0,0,0,0,0,19,12
63,63,2,1,55,4,2,2,28,13,10,29,11,12,30,31,19,45,15,22,65,1,0,1,0,0,0,1,1,0,31,13
64,64,2,1,55,2,2,2,23,16,5,32,10,13,28,28,15,46,13,17,55,1,0,1,0,0,0,1,1,0,28,16
65,65,2,2,55,2,1,2,30,27,11,39,12,17,32,40,19,52,17,23,85,1,0,1,0,0,0,1,1,0,40,27
66,66,2,2,56,1,1,1,26,18,10,30,12,9,29,46,13,44,13,17,43,1,1,1,0,0,0,0,0,1,46,18
67,67,2,2,50,3,2,1,31,15,10,24,11,20,31,43,18,52,14,23,65,0,1,1,0,0,0,1,1,1,43,15
68,68,2,1,51,3,2,1,28,19,14,37,13,15,32,47,19,48,15,22,75,0,1,1,0,0,0,1,1,1,47,19
69,69,2,1,58,3,2,2,30,14,17,37,13,20,28,38,15,36,16,18,85,1,0,1,0,0,0,1,1,0,38,14
70,70,2,2,55,4,2,2,27,10,10,12,14,16,31,42,16,31,13,20,40,1,0,1,0,0,0,1,1,0,42,10
71,71,2,2,41,4,1,2,24,22,14,42,14,21,30,49,19,50,14,22,58,0,0,1,0,0,0,1,1,0,49,22
72,72,2,2,51,4,1,2,20,13,11,22,11,15,27,17,11,20,14,14,42,0,0,1,0,0,0,1,1,0,17,13
73,73,2,1,52,4,2,1,29,13,9,18,10,10,30,23,17,28,12,17,69,1,1,1,0,0,0,1,1,1,23,13
74,74,2,2,54,3,2,1,30,26,13,23,10,17,32,42,12,37,12,19,58,1,1,1,0,0,0,1,1,1,42,26
75,75,2,1,47,4,1,1,19,12,11,16,11,12,28,43,18,38,14,17,37,0,1,1,0,0,0,1,1,1,43,12
76,76,2,1,50,4,1,1,31,30,15,47,15,19,23,48,19,49,13,20,62,0,1,1,0,0,0,1,1,1,48,30
77,77,2,2,55,4,1,1,31,13,18,39,15,24,31,51,19,50,14,23,99,1,1,1,0,0,0,1,1,1,51,13
78,78,2,1,50,3,2,1,32,27,13,29,13,12,31,45,19,53,16,23,75,0,1,1,0,0,0,1,1,1,45,27
79,79,2,2,57,2,2,1,31,19,14,36,13,11,32,50,17,47,15,22,82,1,1,1,0,0,0,1,1,1,50,19
80,80,2,2,55,4,1,2,20,12,9,16,11,18,30,30,14,18,12,16,47,1,0,1,0,0,0,1,1,0,30,12
81,81,2,2,55,4,1,2,26,14,8,24,13,12,30,45,19,43,15,24,62,1,0,1,0,0,0,1,1,0,45,14
82,82,2,1,50,3,2,1,30,44,15,45,12,11,32,53,19,52,15,23,67,0,1,1,0,0,0,1,1,1,53,44
83,83,2,1,52,3,2,1,26,13,11,34,12,12,30,45,17,43,13,21,40,1,1,1,0,0,0,1,1,1,45,13
84,84,2,2,45,2,2,1,28,12,9,16,7,8,28,21,14,32,9,17,41,0,1,1,0,0,0,1,1,1,21,12
85,85,2,2,52,3,2,1,24,14,8,18,8,7,28,43,12,41,13,15,56,1,1,1,0,0,0,1,1,1,43,14
86,86,2,1,53,4,1,1,26,17,15,32,13,16,27,37,15,31,14,23,73,1,1,1,0,0,0,1,1,1,37,17
87,87,2,2,53,4,2,2,29,10,17,23,13,15,32,51,19,48,16,21,85,1,0,1,0,0,0,1,1,0,51,10
88,88,2,2,53,2,2,2,23,12,12,15,11,17,28,20,15,19,8,19,59,1,0,1,0,0,0,1,1,0,20,12
89,89,2,2,56,3,1,2,28,29,11,43,13,22,31,32,15,40,15,21,58,1,0,1,0,0,0,1,1,0,32,29
90,90,2,2,54,4,2,2,32,46,15,48,13,21,32,51,19,50,16,23,92,1,0,1,0,0,0,1,1,0,51,46
91,91,2,1,50,2,2,1,22,17,8,18,12,14,25,16,14,32,14,17,69,0,1,1,0,0,0,1,1,1,16,17
92,92,2,1,50,3,1,1,29,25,14,35,15,20,26,36,16,31,8,15,56,0,1,1,0,0,0,1,1,1,36,25
93,93,2,2,53,4,1,1,25,17,12,30,13,17,29,40,17,40,13,22,78,1,1,1,0,0,0,1,1,1,40,17
94,94,2,1,45,4,1,1,21,16,12,15,11,17,29,36,19,29,10,16,58,0,1,1,0,0,0,1,1,1,36,16
95,95,2,2,56,4,1,1,32,22,15,32,11,13,31,46,20,51,14,24,78,1,1,1,0,0,0,1,1,1,46,22
96,96,2,1,53,3,1,1,31,14,16,29,11,17,32,43,19,42,13,22,67,1,1,1,0,0,0,1,1,1,43,14
97,97,2,2,46,4,1,1,22,28,14,20,5,15,32,42,13,29,15,18,69,0,1,1,0,0,0,1,1,1,42,28
98,98,2,2,46,2,1,2,30,18,14,23,11,11,29,33,13,36,8,16,53,0,0,1,0,0,0,1,1,0,33,18
99,99,2,1,50,3,1,2,18,13,8,14,11,12,19,23,11,31,12,17,55,0,0,1,0,0,0,1,1,0,23,13
100,0,2,2,47,1,1,2,17,10,5,11,8,7,18,19,9,8,10,13,53,0,0,1,0,0,0,0,0,0,19,10
101,101,2,1,56,2,2,1,27,11,15,22,13,14,30,47,20,45,15,24,67,1,1,1,0,0,0,1,1,1,47,11
102,102,2,2,46,3,1,1,27,13,13,22,12,13,28,36,17,46,11,20,62,0,1,1,0,0,0,1,1,1,36,13
103,103,2,2,45,4,1,1,21,23,14,27,13,20,31,48,19,44,11,24,59,0,1,1,0,0,0,1,1,1,48,23
104,104,2,2,46,4,1,1,19,17,4,19,10,13,28,36,16,29,10,15,46,0,1,1,0,0,0,1,1,1,36,17
105,105,2,2,47,3,1,1,31,9,14,24,11,16,32,42,17,42,11,20,58,0,1,1,0,0,0,1,1,1,42,9
106,106,2,1,52,2,2,1,26,16,12,30,14,16,27,29,20,41,15,21,92,1,1,1,0,0,0,1,1,1,29,16
107,107,2,2,52,4,2,1,24,15,12,30,14,14,31,45,18,49,13,23,48,1,1,1,0,0,0,1,1,1,45,15
108,108,2,1,56,2,1,1,21,22,12,25,12,15,29,37,14,46,14,18,65,1,1,1,0,0,0,1,1,1,37,22
109,109,2,1,48,4,1,1,28,22,13,19,11,8,32,48,18,43,15,19,67,0,1,1,0,0,0,1,1,1,48,22
110,110,2,1,49,3,1,1,25,16,13,18,15,15,27,48,13,45,15,18,59,0,1,1,0,0,0,1,1,1,48,16
111,111,2,2,55,4,2,1,32,8,13,23,11,17,29,35,18,36,11,19,39,1,1,1,0,0,0,1,1,1,35,8
112,112,2,2,45,3,1,1,22,15,12,20,9,14,25,21,15,21,9,16,47,0,1,1,0,0,0,1,1,1,21,15
113,113,2,1,45,3,1,1,32,16,14,30,11,17,25,26,17,39,13,19,51,0,1,1,0,0,0,1,1,1,26,16
114,114,2,2,48,4,1,1,31,6,8,13,7,13,29,32,15,23,7,16,43,0,1,1,0,0,0,1,1,1,32,6
115,115,2,1,58,1,1,2,19,14,12,23,11,10,28,15,10,34,11,7,65,1,0,1,0,0,0,0,0,0,15,14
116,116,3,1,55,2,1,1,20,16,7,14,9,9,21,11,13,20,13,13,39,1,1,0,1,0,0,1,1,1,11,16
117,117,3,2,48,1,1,2,20,15,5,13,8,7,21,14,3,17,10,7,33,0,0,0,1,0,0,0,0,0,14,15
118,118,3,2,52,3,1,1,14,6,3,9,4,8,18,19,20,18,12,20,34,1,1,0,1,0,0,1,1,1,19,6
119,119,3,2,58,1,1,1,20,11,5,25,9,7,26,16,10,23,12,12,35,1,1,0,1,0,0,0,0,1,16,11
120,120,3,1,50,3,2,2,13,12,5,11,10,9,21,18,10,19,10,9,32,0,0,0,1,0,0,1,1,0,18,12
121,121,3,1,58,3,2,2,22,19,11,35,10,17,23,44,18,46,13,19,44,1,0,0,1,0,0,1,1,0,44,19
122,122,3,2,49,4,2,2,14,13,7,5,5,7,17,16,12,19,12,15,31,0,0,0,1,0,0,1,1,0,16,13
123,123,3,1,56,4,2,2,24,17,9,16,11,10,29,35,17,40,14,19,44,1,0,0,1,0,0,1,1,0,35,17
124,124,3,1,50,1,1,2,7,14,4,10,5,5,19,15,13,14,13,17,27,0,0,0,1,0,0,0,0,0,15,14
125,125,3,2,49,1,1,1,20,18,3,14,6,6,11,12,6,8,9,5,29,0,1,0,1,0,0,0,0,1,12,18
126,126,3,1,46,2,1,1,15,14,8,23,14,12,25,18,14,30,12,16,47,0,1,0,1,0,0,1,1,1,18,14
127,127,3,1,57,2,1,1,26,14,9,23,15,9,28,15,14,24,12,9,35,1,1,0,1,0,0,1,1,1,15,14
128,128,3,1,44,1,2,2,12,9,7,14,9,14,13,13,7,17,9,7,32,0,0,0,1,0,0,0,0,0,13,9
129,129,3,2,41,2,2,2,16,14,9,10,11,9,22,17,9,23,8,13,36,0,0,0,1,0,0,1,1,0,17,14
130,130,3,2,58,4,2,1,17,9,11,28,8,13,29,13,12,29,12,15,38,1,1,0,1,0,0,1,1,1,13,9
131,131,3,2,60,4,2,1,31,19,11,27,11,16,31,31,17,38,13,22,42,1,1,0,1,0,0,1,1,1,31,19
132,132,3,2,40,2,1,1,12,14,3,17,6,6,16,13,6,17,10,9,27,0,1,0,1,0,0,1,1,1,13,14
133,133,3,2,37,2,1,1,7,4,6,4,5,4,13,13,6,14,9,11,60,0,1,0,1,0,0,1,1,1,13,4
134,134,3,1,45,1,1,1,12,5,5,9,7,7,15,13,12,20,12,11,28,0,1,0,1,0,0,0,0,1,13,5
135,135,3,1,60,3,1,1,17,18,9,14,7,6,32,36,13,32,13,12,33,1,1,0,1,0,0,1,1,1,36,18
136,136,3,1,52,2,1,2,18,13,9,24,10,16,25,15,12,26,11,10,55,1,0,0,1,0,0,1,1,0,15,13
137,137,3,2,46,4,1,1,20,12,4,17,8,8,28,22,17,38,14,20,29,0,1,0,1,0,0,1,1,1,22,12
138,138,3,2,60,4,1,1,23,16,9,25,11,14,29,26,17,38,16,22,46,1,1,0,1,0,0,1,1,1,26,16
139,139,3,1,60,3,1,1,17,11,10,15,10,14,11,13,7,16,9,13,33,1,1,0,1,0,0,1,1,1,13,11
140,140,3,1,59,3,1,1,7,16,11,10,6,10,15,14,9,14,8,10,32,1,1,0,1,0,0,1,1,1,14,16
