school,person,round,proposal,value,vote,cutoff.12,cutoff.23,sd.logit
2,501,1,1,3,1,45.2349997236653,53.3449997656763,9.62798670543328
2,501,2,1,99,3,45.2349997236653,53.3449997656763,9.62798670543328
2,501,3,1,62,1,45.2349997236653,53.3449997656763,9.62798670543328
2,501,4,1,9,1,45.2349997236653,53.3449997656763,9.62798670543328
2,501,5,1,15,1,45.2349997236653,53.3449997656763,9.62798670543328
2,501,6,1,68,3,45.2349997236653,53.3449997656763,9.62798670543328
2,501,7,1,37,1,45.2349997236653,53.3449997656763,9.62798670543328
2,501,8,1,54,3,45.2349997236653,53.3449997656763,9.62798670543328
2,501,9,1,78,3,45.2349997236653,53.3449997656763,9.62798670543328
2,501,10,1,31,1,45.2349997236653,53.3449997656763,9.62798670543328
2,501,11,1,39,1,45.2349997236653,53.3449997656763,9.62798670543328
2,501,12,1,54,1,45.2349997236653,53.3449997656763,9.62798670543328
2,501,13,1,45,1,45.2349997236653,53.3449997656763,9.62798670543328
2,501,14,1,47,3,45.2349997236653,53.3449997656763,9.62798670543328
2,501,15,1,23,1,45.2349997236653,53.3449997656763,9.62798670543328
2,501,16,1,68,3,45.2349997236653,53.3449997656763,9.62798670543328
2,501,17,1,59,3,45.2349997236653,53.3449997656763,9.62798670543328
2,501,18,1,1,1,45.2349997236653,53.3449997656763,9.62798670543328
2,501,19,1,44,3,45.2349997236653,53.3449997656763,9.62798670543328
2,501,20,1,1,1,45.2349997236653,53.3449997656763,9.62798670543328
2,501,21,1,14,1,45.2349997236653,53.3449997656763,9.62798670543328
2,501,22,1,14,1,45.2349997236653,53.3449997656763,9.62798670543328
2,501,23,1,90,3,45.2349997236653,53.3449997656763,9.62798670543328
2,501,24,1,43,1,45.2349997236653,53.3449997656763,9.62798670543328
2,501,25,1,42,1,45.2349997236653,53.3449997656763,9.62798670543328
2,501,26,1,14,1,45.2349997236653,53.3449997656763,9.62798670543328
2,501,27,1,53,3,45.2349997236653,53.3449997656763,9.62798670543328
2,501,28,1,7,1,45.2349997236653,53.3449997656763,9.62798670543328
2,501,29,1,48,2,45.2349997236653,53.3449997656763,9.62798670543328
2,501,30,1,36,2,45.2349997236653,53.3449997656763,9.62798670543328
2,502,1,1,6,1,45.64,91.67,6.96849983855923
2,502,2,1,2,1,45.64,91.67,6.96849983855923
2,502,3,1,68,2,45.64,91.67,6.96849983855923
2,502,4,1,76,2,45.64,91.67,6.96849983855923
2,502,5,1,16,1,45.64,91.67,6.96849983855923
2,502,6,1,76,2,45.64,91.67,6.96849983855923
2,502,7,1,1,1,45.64,91.67,6.96849983855923
2,502,8,1,31,1,45.64,91.67,6.96849983855923
2,502,9,1,40,2,45.64,91.67,6.96849983855923
