school,person,round,proposal,value,vote,cutoff.12,cutoff.23,sd.logit
1,101,1,1,16,1,32.8349996193087,58.75,1.103
1,101,2,1,23,1,32.8349996193087,58.75,1.103
1,101,3,1,63,3,32.8349996193087,58.75,1.103
1,101,4,1,98,3,32.8349996193087,58.75,1.103
1,101,5,1,16,1,32.8349996193087,58.75,1.103
1,101,6,1,36,2,32.8349996193087,58.75,1.103
1,101,7,1,20,1,32.8349996193087,58.75,1.103
1,101,8,1,87,3,32.8349996193087,58.75,1.103
1,101,9,1,59,3,32.8349996193087,58.75,1.103
1,101,10,1,14,1,32.8349996193087,58.75,1.103
1,101,11,1,7,1,32.8349996193087,58.75,1.103
1,101,12,1,88,3,32.8349996193087,58.75,1.103
1,101,13,1,58,2,32.8349996193087,58.75,1.103
1,101,14,1,14,1,32.8349996193087,58.75,1.103
1,101,15,1,16,1,32.8349996193087,58.75,1.103
1,101,16,1,40,2,32.8349996193087,58.75,1.103
1,101,17,1,46,2,32.8349996193087,58.75,1.103
1,101,18,1,5,1,32.8349996193087,58.75,1.103
1,101,19,1,71,3,32.8349996193087,58.75,1.103
1,101,20,1,51,2,32.8349996193087,58.75,1.103
1,101,21,1,48,2,32.8349996193087,58.75,1.103
1,101,22,1,55,2,32.8349996193087,58.75,1.103
1,101,23,1,68,3,32.8349996193087,58.75,1.103
1,101,24,1,28,1,32.8349996193087,58.75,1.103
1,101,25,1,91,3,32.8349996193087,58.75,1.103
1,101,26,1,21,1,32.8349996193087,58.75,1.103
1,101,27,1,20,1,32.8349996193087,58.75,1.103
1,101,28,1,27,1,32.8349996193087,58.75,1.103
1,101,29,1,46,2,32.8349996193087,58.75,1.103
1,101,30,1,79,3,32.8349996193087,58.75,1.103
1,102,1,1,96,3,34.3649996362578,61.9449997982081,0.870599718584839
1,102,2,1,64,3,34.3649996362578,61.9449997982081,0.870599718584839
1,102,3,1,48,2,34.3649996362578,61.9449997982081,0.870599718584839
1,102,4,1,71,3,34.3649996362578,61.9449997982081,0.870599718584839
1,102,5,1,94,3,34.3649996362578,61.9449997982081,0.870599718584839
1,102,6,1,99,3,34.3649996362578,61.9449997982081,0.870599718584839
1,102,7,1,12,1,34.3649996362578,61.9449997982081,0.870599718584839
1,102,8,1,22,1,34.3649996362578,61.9449997982081,0.870599718584839
1,102,9,1,17,1,34.3649996362578,61.9449997982081,0.870599718584839
1,102,10,1,38,2,34.3649996362578,61.9449997982081,0.870599718584839
1,102,11,1,18,1,34.3649996362578,61.9449997982081,0.870599718584839
1,102,12,1,58,2,34.3649996362578,61.9449997982081,0.870599718584839
1,102,13,1,42,2,34.3649996362578,61.9449997982081,0.870599718584839
1,102,14,1,23,1,34.3649996362578,61.9449997982081,0.870599718584839
1,102,15,1,76,3,34.3649996362578,61.9449997982081,0.870599718584839
1,102,16,1,19,1,34.3649996362578,61.9449997982081,0.870599718584839
1,102,17,1,44,2,34.3649996362578,61.9449997982081,0.870599718584839
1,102,18,1,98,3,34.3649996362578,61.9449997982081,0.870599718584839
