cut1.rate,cut2.rate,err.rate,cut1.mean,cut2.mean,err.mean,cut1.rate.w,cut2.rate.w,err.rate.w,cut1.mean.w,cut2.mean.w,err.mean.w
28.5,58.5,0,28.5,58.5,0,28.5,58.5,0,28.5,58.5,0
31.5,58.5,0,31.5,58.5,0,31.5,58.5,0,31.5,58.5,0
33.5,62.5,0,33.5,62.5,0,33.5,62.5,0,33.5,62.5,0
26.5,66.5,0,26.5,66.5,0,26.5,66.5,0,26.5,66.5,0
43.5,75.5,0.166666666666667,48.5,82.5,1.66666666666667,70.5,83.5,0.0917752616962188,69.5,83.5,1.10516983550523
41.5,66.5,0.0666666666666667,43.5,66.5,0.483333333333333,41.5,66.5,0.0330698568681906,43.5,66.5,0.151847895748772
29.5,81.5,0.0666666666666667,32.5,81.5,0.116666666666667,29.5,81.5,0.0628498184148686,32.5,81.5,0.0702200384533219
32.5,61.5,0,32.5,61.5,0,32.5,61.5,0,32.5,61.5,0
55.5,73.5,0,55.5,73.5,0,55.5,73.5,0,55.5,73.5,0
6.5,77.5,0.133333333333333,10.5,77.5,1.88333333333333,6.5,77.5,0.0954496902371288,8.5,77.5,0.783059175389874
41.5,50.5,0.0666666666666667,30.5,56.5,1.13333333333333,41.5,50.5,0.0459303567613758,41.5,56.5,0.81689809869686
10.5,74.5,0.3,40.5,64.5,9.66666666666667,41.5,74.5,0.217133091219825,41.5,74.5,6.98615680410169
28.5,83.5,0.133333333333333,48.5,83.5,1.71666666666667,28.5,83.5,0.197650074770348,53.5,83.5,2.0996795556505
28.5,82.5,0.233333333333333,32.5,72.5,2.9,32.5,82.5,0.129032258064516,32.5,80.5,1.02725913266396
8.5,53.5,0.1,9.5,68.5,0.333333333333333,10.5,72.5,0.0437086092715232,10.5,71.5,0.174471266823328
28.5,53.5,0.0333333333333333,34.5,53.5,0.0333333333333333,35.5,53.5,0.0170903653065584,35.5,53.5,0.0256355479598376
56.5,81.5,0.0333333333333333,58.5,81.5,0.0333333333333333,56.5,81.5,0.00922879726554155,56.5,81.5,0.0230719931638539
35.5,54.5,0,35.5,54.5,0,35.5,54.5,0,35.5,54.5,0
32.5,93.5,0.2,32.5,84.5,2.73333333333333,32.5,97.5,0.138004699850459,45.5,93.5,1.76526383251442
47.5,97.5,0.1,44.5,92.5,1.03333333333333,47.5,97.5,0.0485793633838923,47.5,97.5,0.300683614612262
19.5,44.5,0.166666666666667,21.5,44.5,4.13333333333333,19.5,49.5,0.109805597094638,19.5,36.5,2.70335398419141
2.5,75.5,0.133333333333333,7.5,73.5,0.6,2.5,75.5,0.0473830378124332,7.5,74.5,0.24949797051912
24.5,42.5,0.166666666666667,35.5,55.5,1.16666666666667,24.5,55.5,0.0372569963682974,25.5,55.5,0.429609057893613
66.5,66.5,0,66.5,66.5,0,66.5,66.5,0,66.5,66.5,0
35.5,57.5,0.0666666666666667,36.5,57.5,0.266666666666667,35.5,57.5,0.0198248237556078,35.5,57.5,0.0317880794701987
31.5,51.5,0.166666666666667,36.5,73.5,2.13333333333333,31.5,51.5,0.132322153386029,36.5,71.5,1.50942106387524
26.5,62.5,0.1,36.5,62.5,2.38333333333333,26.5,62.5,0.041102328562273,36.5,62.5,0.353428754539628
30.5,74.5,0.333333333333333,36.5,69.5,7.56666666666667,30.5,58.5,0.275411236915189,35.5,66.5,4.00903653065584
30.5,63.5,0,30.5,63.5,0,30.5,63.5,0,30.5,63.5,0
0,69.5,0.333333333333333,35.5,64.5,16.25,0,69.5,0.275496688741722,29.5,88.5,13.5819269386883
