cut1.rate,cut2.rate,err.rate,cut1.mean,cut2.mean,err.mean,cut1.rate.w,cut2.rate.w,err.rate.w,cut1.mean.w,cut2.mean.w,err.mean.w
43.5,43.5,0.166666666666667,47.5,47.5,1.23333333333333,45.5,48.5,0.168767357402264,43.5,47.5,1.10591753898740
38.5,93.5,0.1,52.5,89.5,0.8,38.5,93.5,0.100576799829096,52.5,89.5,0.569920957060457
38.5,97.5,0.0333333333333333,38.5,93.5,0.3,38.5,97.5,0.00581072420422987,38.5,97.5,0.0552018799401837
0,0,0.0333333333333333,7.5,7.5,1.08333333333333,0,0,0.00581072420422987,7.5,7.5,0.197030549027985
27.5,79.5,0.0666666666666667,27.5,81.5,0.2,27.5,86.5,0.0290536210211493,27.5,86.5,0.0835718863490707
44.5,52.5,0.0666666666666667,44.5,65.5,0.7,44.5,52.5,0.00713522751548814,44.5,58.5,0.141636402478103
28.5,88.5,0.133333333333333,40.5,88.5,0.783333333333333,36.5,88.5,0.106088442640461,41.5,88.5,0.557551805169836
50.5,98.5,0.466666666666667,44.5,44.5,17.4,0,1.5,0.510147404400769,26.5,26.5,14.4098055970946
39.5,58.5,0,39.5,58.5,0,39.5,58.5,0,39.5,58.5,0
29.5,68.5,0.166666666666667,39.5,73.5,1.06666666666667,39.5,68.5,0.114633625293741,40.5,73.5,0.528241828669088
59.5,63.5,0.1,56.5,69.5,0.833333333333333,59.5,63.5,0.0401196325571459,56.5,64.5,0.233304849391156
25.5,89.5,0.1,32.5,81.5,1.13333333333333,25.5,89.5,0.0351207007049776,32.5,89.5,0.488164922025208
41.5,58.5,0.0666666666666667,34.5,58.5,0.416666666666667,41.5,58.5,0.0724631488998077,34.5,58.5,0.170284127323222
39.5,77.5,0.1,40.5,81.5,0.4,41.5,89.5,0.0296945097201453,41.5,89.5,0.174428540910062
16.5,50.5,0.0333333333333333,16.5,57.5,1.03333333333333,16.5,50.5,0.00581072420422987,16.5,57.5,0.200106814783166
45.5,71.5,0.0666666666666667,47.5,70.5,0.233333333333333,45.5,71.5,0.0252082888271737,47.5,71.5,0.0482375560777612
26.5,47.5,0.266666666666667,26.5,54.5,2.93333333333333,11.5,60.5,0.225293740653707,23.5,54.5,2.14842982268746
98.5,98.5,0.6,58.5,58.5,19.2333333333333,98.5,98.5,0.590173039948729,48.5,48.5,21.9708395641957
47.5,83.5,0.233333333333333,30.5,83.5,4.46666666666667,18.5,91.5,0.206408886989959,17.5,91.5,2.46122623371075
27.5,73.5,0.133333333333333,37.5,76.5,1.11666666666667,27.5,73.5,0.0568254646443068,35.5,74.5,0.534415723136082
7.5,92.5,0.0333333333333333,7.5,92.5,0.0833333333333333,7.5,92.5,0.0192693868831446,7.5,92.5,0.0481734672078616
