"G1mat","G2mat","G3mat","G1por","G2por","G3por","school","sex","age","address","famsize","Pstatus","Medu","Fedu","traveltime","studytime","failures","schoolsup","famsup","paid","activities","nursery","higher","internet","romantic","famrel","freetime","goout","Dalc","Walc","health","absences"
7,10,10,13,13,13,0,0,15,0,0,1,1,1,2,4,1,1,1,1,1,1,1,1,0,3,1,2,1,1,1,2
NA,NA,NA,8,9,9,0,0,15,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
8,6,5,13,11,11,0,0,15,0,0,1,1,1,1,2,2,1,1,0,0,0,1,1,1,3,3,4,2,4,5,2
14,13,13,14,13,12,0,0,15,0,0,1,2,2,1,1,0,1,1,1,1,1,1,0,0,4,3,1,1,1,2,8
10,9,8,10,11,10,0,0,15,0,0,1,2,4,1,3,0,1,1,1,1,1,1,1,0,4,3,2,1,1,5,2
10,10,10,13,13,13,0,0,15,0,0,1,3,3,2,3,2,0,1,1,1,1,1,1,1,4,2,1,2,3,3,8
12,12,11,11,12,12,0,0,15,0,0,1,3,4,1,3,0,1,1,1,1,1,1,1,0,4,3,2,1,1,5,2
12,0,0,10,11,12,0,0,15,0,0,1,3,4,2,3,2,0,1,0,0,1,1,1,1,4,2,2,2,2,5,0
8,9,8,11,10,11,0,0,15,0,1,1,2,2,2,2,0,1,1,1,0,1,1,1,0,4,1,3,1,3,4,2
16,16,16,15,15,15,0,0,15,0,1,1,3,1,2,4,0,0,1,0,0,0,1,1,0,4,4,2,2,3,3,12
10,11,11,10,10,10,0,0,15,1,0,0,3,3,1,4,0,1,0,0,0,1,1,0,0,4,3,3,1,1,4,10
NA,NA,NA,9,8,9,0,0,15,1,0,0,3,3,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
14,15,15,15,14,15,0,0,15,1,0,0,4,3,1,2,0,0,1,1,1,1,1,1,0,4,3,2,1,1,1,0
8,0,0,11,12,13,0,0,15,1,0,1,1,1,3,1,0,0,1,0,1,0,1,1,1,4,3,3,1,2,4,0
9,10,10,13,12,12,0,0,15,1,0,1,1,1,1,2,0,0,1,0,1,0,1,1,0,4,3,2,2,3,4,2
8,11,11,12,12,12,0,0,15,1,0,1,1,1,1,2,0,0,1,1,0,1,1,1,0,4,4,2,1,2,5,0
10,11,11,13,12,13,0,0,15,1,0,1,1,2,1,2,0,0,1,1,0,0,1,1,0,4,3,2,1,1,5,2
NA,NA,NA,11,11,11,0,0,15,1,0,1,1,2,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
16,15,15,14,14,14,0,0,15,1,0,1,1,2,1,2,0,0,0,0,0,0,1,1,0,3,2,3,1,2,1,2
10,12,12,10,12,13,0,0,15,1,0,1,2,1,3,3,0,0,1,0,1,1,1,1,0,5,2,2,1,1,4,4
7,8,8,10,10,10,0,0,15,1,0,1,2,2,1,4,0,1,1,1,0,1,1,1,0,5,1,2,1,1,3,8
8,7,6,11,11,11,0,0,15,1,0,1,2,3,2,1,0,0,1,0,1,1,1,0,0,3,5,1,1,1,5,0
6,7,0,11,11,11,0,0,15,1,0,1,3,2,1,2,3,0,1,0,0,1,1,1,0,3,3,2,1,1,3,0
7,6,6,11,10,10,0,0,15,1,0,1,3,2,2,2,0,1,1,1,0,1,1,1,0,4,3,5,1,1,2,26
15,14,15,14,14,14,0,0,15,1,0,1,4,2,1,3,0,0,1,1,1,1,1,1,1,3,2,2,1,1,5,2
13,14,14,15,15,15,0,0,15,1,0,1,4,2,1,3,0,0,1,0,1,1,1,1,0,5,3,3,1,3,1,4
16,17,18,14,13,13,0,0,15,1,0,1,4,3,1,1,0,0,0,1,1,1,1,1,0,4,5,5,1,3,1,4
