"","height","weight","female","income","ethnicity","education","mother_education","father_education","walk","exercise","smokenow","tense","angry"
"1","66","140","1",NA,"white","12","12","12","7","1","2","3","3"
"2","64","150","0",NA,"black","12",NA,NA,"1","1","1","7","7"
"3","74","210","0","50000","white","16","16","16","3","3","2","0","0"
"4","66","125","1","60000","white","16","16","16","6","5","1","0","0"
"5","64","126","1","30000","white","16","16","16","8","1","2","1","1"
"6","65","200","1","25000","white","17","17",NA,"8","1","2","0","0"
"7","63","110","1","50000","other","16","16","16","5","6","2","0","0"
"8","68","165","1","62000","black","18","18","18","1","1","2","2","2"
"9","63","190","1","51000","white","17","17","17","3","1","2","4","4"
"10","64","125","1","9000","white","15","15","15","7","4","1","4","4"
"11","62","200","1","29000","white","12","12","12","2","2","2","0","0"
"12","73","230","0","32000","white","17","17","17","7","1","1","0","0"
"13","72","176","0","2000","hispanic","15","15","15","8","1","2","0","0"
"14","72","265","0","45000","white",NA,"99","99","1","1","2","0","0"
"15","72","160","0","27000","white","12","12","12","1","2","2","1","1"
"16","70","225","0","6530","white","16","16",NA,"4","1","2","0","0"
"17","63","107","1","0","white","14","14","14","7","4","2","2","2"
"18","68","170","0","30000","white","11",NA,NA,"7","4","2","0","0"
"19","68","144","0","12000","white","12","12","12","6","5","2","2","2"
"20","71","193","0","15000","white","18","18","18","4","6","2","0","0"
"21","65","250","1","12000","white","12","12","12","5","1","2","1","1"
"22","66","130","1","20000","white","11","11","11","8","1","1","0","0"
"23","60","100","1","0","white","12","12","12","4","2","1","7","7"
"24","65","123","1","25000","white","12","12","12","1","4","1","0","0"
"25","69","165","0",NA,"white","10","10","10","1","1","1","0","0"
"26","66","130","1","22000","white","16","16","16","5","1","2","1","1"
"27","65","120","1","25000","white","16","16","16","5","4","2","1","1"
"28","71","160","0",NA,"white","14","14","14","7","4","2","0","0"
"29","68","172","0","17000","white","12","12","12","8","1","2","0","0"
"30","68","135","1","40000","white","14","14","14","8","7","2","1","1"
"31","70","180","0","44000","white","13","13","13","8","2","2","4","4"
"32","67","112","1","0","white","9","9","9","1","1","1","0","0"
"33","64","240","1","7000","black","12","12","12","8","1","2","4","4"
"34","73","190","0","53000","black","13","13","13","6","7","2","2","2"
"35","64","145","1","5000","black","12",NA,NA,"3","1","1","7","7"
"36","62","120","1","5000","white","13","13","13","2","1","1","0","0"
"37","64","118","1",NA,"white","12",NA,NA,"5","7","2","0","0"
"38","63","114","1","14000","white","14","14","14","5","3","2","0","0"
"39","69","170","0","35000","white","14","14","14","8","7","2","1","1"
"40","67","166","0","5500","white","14","14","14","6","7","2","0","0"
"41","66","124","1","40000","white","12","12","12","4","4","2","0","0"
"42","72","175","0","34000","white","12","12",NA,"2","1","2","0","0"
"43","63","120","1","5000","black","12","12","12","4","1","1","7","7"
"44","64","126","1",NA,"white","12","12","12","1","1","1","0","0"
"45","63","184","1","10000","black","12","12","12","8","3","2","3","3"
"46","68","150","0","0","white","11","11",NA,"2","7","1","1","1"
"47","64","150","1","27000","white","16","16","16","2","1","1","0","0"
"48","73","220","0","62000","white","14","14",NA,"8","1","2","2","2"
"49","67","220","1","15000","white","12","12","12","1","1","2","0","0"
"50","60","999","1","0","white","12","12","12","8","1","2","0","0"
"51","72","180","0","50000","white","16","16","16","5","6","2","1","1"
"52","68","158","1","0","white","12",NA,NA,"3","1","2","0","0"
"53","77","255","0","41000","white","16","16","16","7","7","2","0","0"
"54","64","150","1","0","white","10","10","10","8","1","2","0","0"
"55","64","130","1","15000","white","14","14","14","4","1","2","3","3"
"56","64","999","1","25000","white","12","12","12","1","5","2","7","7"
"57","63","146","1","25000","white","16","16","16","5","1","2","1","1"
"58","72","185","0","75000","white","17","17","17","8","5","2","4","4"
"59","68","160","0",NA,"black","16","16",NA,"1","1","1","0","0"
"60","68","180","0","27000","white","17","17","17","5","2","2","0","0"
"61","64","135","1","12000","white","12","12","12","8","1","2","7","7"
"62","70","168","0",NA,"white","12","12","12","7","3","2","0","0"
"63","61","138","1","7500","white","14","14","14","8","1","1","0","0"
"64","76","202","0",NA,"black","11",NA,NA,"1","1","1","7","7"
"65","65","115","1","25000","white","12","12","12","7","2","1","0","0"
"66","64","998","0",NA,"black","12",NA,NA,"3","1","2","0","0"
"67","67","135","1","30000","black","14","14","14","8","6","2","7","7"
"68","65","150","1","21000","white","12","12","12","8","1","1","0","0"
"69","64","120","1","27000","white","14","14","14","5","1","2","0","0"
"70","73","165","0","35000","white","16","16","16","7","2","1","0","0"
"71","67","130","1","3000","white","15","15","15","1","1","2","1","1"
"72","65","170","1","25000","white","12","12","12","8","7","2","2","2"
"73","65","140","1","24000","white","12","12","12","1","7","2","1","1"
"74","67","145","1","32000","white","18","18","18","4","5","1","1","1"
"75",NA,"130","1",NA,"white","4",NA,NA,"1","1","2","0","0"
"76","71","208","0",NA,"black","12",NA,NA,"8","1","2","0","0"
"77","68","145","1","10000","white","17","17","17","7","2","2","1","1"
"78","70","150","1","0","white","12","12","12","5","1","2","0","0"
"79","60","100","1","11000","hispanic","12","12","12","2","1","2","0","0"
"80","65","105","1","18700","white","13","13","13","5","6","2","0","0"
"81","62","120","1","20000","white","12","12","12","2","1","1","7","7"
"82","72","160","0","3500","white","10","10","10","4","7","2","0","0"
"83","66","105","1",NA,"white","14","14","14","8","7","2","0","0"
"84","67","206","0","13000","black","8","8","8","8","1","2","5","5"
"85","69","145","0",NA,"white","12","12","12","4","6","1","0","0"
"86","70","170","0","25000","white","12","12","12","1","1","2","0","0"
"87","70","183","0","21000","white","17","17","17","5","5","2","0","0"
"88","68","150","1","34000","white","17","17","17","5","5","2","2","2"
"89","66","115","1","5000","black","12","12","12","7","4","2","1","1"
"90","61","138","1",NA,"black","12",NA,NA,"7","1","2","1","1"
"91","60","120","1","6000","white","12","12","12","1","1","1","0","0"
"92","71","195","0","17000","white","12","12","12","8","7","1","1","1"
"93","70","130","1",NA,"white","12","12","12","2","4","2","1","1"
"94","71","140","0","35000","white","12",NA,NA,"1","2","1","0","0"
"95","73","180","0","4000","white","13","13","13","6","6","2","0","0"
"96","64","115","1","5000","white","16","16","16","8","6","2","1","1"
"97","68","150","1","14000","white","14","14","14","4","1","2","0","0"
"98","66","118","1","10000","white","12","12","12","8","1","2","0","0"
"99","69","155","0",NA,"other","13",NA,NA,"4","1","2","7","7"
"100","69","155","0","25000","white","16","16","16","2","6","2","4","4"
"101","63","126","1","0","white","8",NA,"8","1","1","1","0","0"
"102","68","200","1",NA,"hispanic","12","12",NA,"7","1","2","7","7"
"103","70","130","0","87000","white","18","18","18","1","1","2","0","0"
"104","63","130","1","16000","white","14","14","14","4","6","2","0","0"
"105","66","123","1","0","black","13","13","13","8","3","2","1","1"
"106","66","110","1","15000","white","12","12","12","5","2","2","2","2"
"107","64","200","1","0","white","12",NA,NA,"4","1","2","3","3"
"108","62","130","0","16000","hispanic","14","14",NA,"1","1","2","0","0"
"109","66","190","1","25000","white","18","18","18","8","2","2","0","0"
"110","64","116","1","16500","white","14","14","14","8","7","2","5","5"
"111","68","170","0","15000","white","12","12","12","3","7","1","0","0"
"112","64","190","1","4000","white","9","9",NA,"2","1","2","0","0"
"113","67","342","1","3840","white","9","9",NA,"5","1","2","0","0"
"114","60","90","1","5000","white","6",NA,NA,"1","1","2","0","0"
"115","71","200","0","22000","white","12","12","12","1","6","2","0","0"
"116","60","135","1","200","white","16","16","16","8","1","2","3","3"
"117","66","140","1","26000","white","16","16","16","2","5","2","3","3"
"118","66","120","1","2500","white","15","15","15","1","1","2","2","2"
"119","65","125","1","17000","white","14","14","14","1","1","2","0","0"
"120","63","112","1","25000","white","16","16","16","4","5","2","0","0"
"121","70","130","1","8000","white","13","13","13","8","7","2","1","1"
"122","68","215","0","25000","white","12",NA,"12","1","3","2","0","0"
"123","65","98","1","0","white","13","13","13","7","1","2","0","0"
"124","66","138","1","12000","white","13","13","13","4","1","1","0","0"
"125","62","123","1","10000","white","12","12","12","8","6","1","0","0"
"126","60","105","1","5000","white","8","8","8","7","1","2","0","0"
"127","76","220","0",NA,"white","16","16","16","3","6","2","0","0"
"128","66","140","1","10000","white","15","15","15","8","1","1","2","2"
"129","64","173","1","0","white","14","14","14","4","1","1","0","0"
"130","72","185","0","15000","white","12","12","12","8","2","2","0","0"
"131","66","130","1",NA,"white","12","12","12","1","1","1","2","2"
"132","62","135","1",NA,"white","8",NA,NA,"1","1","2","0","0"
"133","66","190","1","35000","other","12","12","12","8","6","2","0","0"
"134","69","190","0","15000","black","11",NA,NA,"4","4","2","0","0"
"135","68","135","1",NA,"white","15","15","15","5","6","2","3","3"
"136","67","115","1","2400","hispanic","8","8","8","8","4","1","1","1"
"137","68","150","0","30000","hispanic","12","12","12","4","6","2","2","2"
"138","70","150","0","30000","white","12","12","12","5","6","2","1","1"
"139","62","125","1","10000","white","12","12","12","6","4","2","5","5"
"140","70","162","0",NA,"white","18","18","18","8","5","2","0","0"
"141","63","137","1","5000","white","13","13","13","7","2","1","0","0"
"142","66","125","1","12000","white","13","13","13","1","1","2","5","5"
"143","70","80","1","20000","white","10","10","10","2","1","2","0","0"
"144","68","160","1","20000","white","12","12","12","3","1","2","1","1"
"145","70","160","0","20000","white","14","14","14","8","7","2","0","0"
"146","65","125","1","25000","white","18","18","18","8","7","2","1","1"
"147","68","110","1","5000","white","8",NA,NA,"1","4","2","0","0"
"148","66","133","1","0","white","12","12","12","3","1","2","4","4"
"149","71","180","0","25000","white","18","18","18","8","1","2","0","0"
"150","66","135","1","1200","white","12","12","12","7","7","2","2","2"
"151","62","130","1","5000","white","12","12",NA,"6","4","2","0","0"
"152","68","120","1","700","white","16","16","16","4","5","2","0","0"
"153","70","150","0","20000","white","16","16","16","1","4","1","0","0"
"154","61","110","1","10000","hispanic","12","12","12","8","6","1","0","0"
"155","63","128","1","30000","white","12","12","12","7","7","2","0","0"
"156","72","185","0","25000","hispanic","8",NA,NA,"8","1","2","0","0"
"157","64","200","1","40000","white","14","14",NA,"8","7","2","0","0"
"158","67","155","0","25000","white","12",NA,NA,"8","7","2","0","0"
"159","66","135","1","35000","white","18","18","18","5","2","2","0","0"
"160","68","135","1",NA,"white","14","14","14","8","4","2","0","0"
"161","61","130","1","10000","white","17","17","17","7","1","2","0","0"
"162","69","132","1","60000","white","18","18","18","8","1","2","0","0"
"163","62","103","1","35000","white","12","12","12","8","1","2","0","0"
"164","64","150","1","0","white","12",NA,NA,"4","7","2","3","3"
"165","68","130","1","18000","white","12","12","12","7","1","1","0","0"
"166","60","128","1","15000","white","12",NA,NA,"4","5","2","5","5"
"167","71","155","0",NA,"white","18","18","18","8","3","2","1","1"
"168","64","155","1","16040","white","12",NA,NA,"8","1","2","3","3"
"169","67","140","1","15000","black","14","14","14","8","1","1","7","7"
"170","69","160","0","10000","white","17","17",NA,"1","7","2","2","2"
"171","67","185","1","33000","white","13","13","13","2","1","2","0","0"
"172","68","130","1","18000","white","12","12","12","7","7","2","0","0"
"173","63","105","1","15000","white","12","12","12","7","1","2","7","7"
"174","71","145","0","21000","white","12",NA,"12","4","7","2","0","0"
"175","64","124","1","21000","black","17","17","17","3","1","2","0","0"
"176","68","170","0","37000","white","11","11","11","4","4","2","2","2"
"177","68","126","1","38000","white","17","17","17","7","6","2","2","2"
"178","66","142","1","17000","hispanic","14","14","14","4","4","1","0","0"
"179","66","130","1","0","white","12","12","12","4","3","1","2","2"
"180","66","130","1","0","other","16","16","16","8","2","2","0","0"
"181","60","100","1","15000","white","16","16","16","1","1","2","1","1"
"182","77","210","0","32000","white","16","16","16","1","7","2","1","1"
"183",NA,"150","0","25000","white","12",NA,NA,"1","1","1","0","0"
"184","67","160","1","27500","white","12","12","12","4","1","2","0","0"
"185","66","140","0","15000","white","12",NA,NA,"8","1","1","0","0"
"186","62","120","1","16500","white","12","12","12","8","1","1","3","3"
"187","63","123","1",NA,"white","13",NA,NA,"5","7","2","0","0"
"188","64","118","1","0","white","17","17","17","8","6","2","5","5"
"189","72","175","1","0","white","12","12","12","7","1","2","2","2"
"190","67","150","1","25000","white","18","18","18","7","5","2","1","1"
"191","61","116","1","27000","white","18","18","18","4","7","2","2","2"
"192","64","220","1","5000","white","12",NA,"12","5","1","1","7","7"
"193","70","155","0",NA,"other","14",NA,NA,"8","1","2","3","3"
"194","62","125","1","70000","white","16","16","16","8","1","2","0","0"
"195","63","150","1","5000","white","12","12","12","4","5","2","2","2"
"196","68","135","0","5000","white","16","16","16","1","4","2","1","1"
"197","69","158","0","62000","other","18","18","18","4","1","2","1","1"
"198","64","160","1","15000","black","12","12","12","8","1","1","0","0"
"199","64","158","1","20000","white","15","15","15","8","4","1","0","0"
"200","72","185","0","4000","white","15","15","15","4","5","1","2","2"
"201","72","172","0",NA,"white","12","12","12","7","6","2","0","0"
"202","64","130","1","60000","white","16","16","16","5","1","2","2","2"
"203","61","150","1","5000","white","13","13","13","8","1","2","7","7"
"204","74","230","0","30000","white","12","12","12","7","4","1","3","3"
"205","70","165","0","70000","white","14","14","14","5","4","1","2","2"
"206","64","115","1","5000","white","16","16","16","8","1","2","0","0"
"207","71","195","0","50000","white","16","16","16","8","4","1","0","0"
"208","63","120","1","44000","white","12","12","12","8","6","1","0","0"
"209",NA,"999","1",NA,"white","18","18","18","1","7","2","0","0"
"210","73","215","0",NA,"white","18","18","18","4","4","1","0","0"
"211","67","135","0",NA,"white","17","17","17","4","4","2","2","2"
"212","64","133","1","30000","white","14","14","14","4","7","2","2","2"
"213","73","200","0","15000","black","14","14",NA,"8","7","2","2","2"
"214","64","211","1",NA,"white","16","16","16","3","1","1","0","0"
"215","63","150","1","45000","white","15","15","15","6","1","2","0","0"
"216","62","130","1","0","white","16","16","16","5","1","2","6","6"
"217","62","140","1","10000","white","16","16","16","3","1","2","7","7"
"218","70","170","1","23000","white","17","17","17","6","3","2","5","5"
"219","62","115","1","0","white","12","12","12","1","1","2","7","7"
"220","71","175","0","45000","white","17","17","17","6","1","2","0","0"
"221","71","170","0","15000","white","14","14","14","8","6","1","0","0"
"222","71","185","0",NA,"white","17","17","17","2","4","1","5","5"
"223","70","169","1","4000","white","14","14","14","8","1","2","0","0"
"224","67","160","0","17000","white","14","14","14","1","6","2","0","0"
"225","64","130","1","30000","white","12","12","12","6","4","2","3","3"
"226","67","112","1","27500","white","12","12","12","3","3","1","1","1"
"227","62","140","1","5688","white","8","8",NA,"6","1","2","3","3"
"228","62","137","1","18000","hispanic","13","13","13","6","1","2","0","0"
"229","67","170","0","45000","white","14","14","14","6","7","2","3","3"
"230","66","160","1","35000","white","17","17","17","8","1","2","0","0"
"231","64","154","1",NA,"white","12","12","12","8","1","2","0","0"
"232","68","185","0","43000","black","13","13","13","7","1","2","7","7"
"233","62","140","1","32000","black","14","14","14","6","2","2","1","1"
"234","62","118","1","25000","black","12","12",NA,"7","7","2","0","0"
"235","66","148","1","0","black","5","5",NA,"6","1","2","1","1"
"236","68","165","1","10000","black","18","18","18","3","2","2","4","4"
"237","65","130","1",NA,"hispanic","12","12","12","8","1","2","1","1"
"238","74","160","0","15000","white","12","12","12","2","5","1","3","3"
"239",NA,"999","1",NA,"other","16","16","16","8","7","2","1","1"
"240","74","185","0","60000","white","13","13","13","8","3","1","0","0"
"241","68","190","0",NA,"white","18","18","18","5","1","2","1","1"
"242","70","180","0",NA,"white","16","16","16","2","2","1","0","0"
"243","71","175","0","30000","white","15","15","15","1","1","2","0","0"
"244","68","150","1","21000","other","12","12","12","8","4","2","5","5"
"245","62","110","1","2400","white","16","16","16","3","4","2","7","7"
"246","68","240","1","5000","white","10","10","10","8","7","1","0","0"
"247","62","150","1","45000","black","15","15","15","2","1","2","2","2"
"248","66","136","1","1000","white","15","15","15","5","7","2","0","0"
"249","68","170","0","27000","white","12","12","12","8","1","1","3","3"
